Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Taxes Assets,Other Investments,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Gross PPE,Construction In Progress,Other Properties,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Inventory,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Date,Retained Earnings,Additional Paid In Capital,Derivative Product Liabilities,Non Current Accrued Expenses,Tradeand Other Payables Non Current,Non Current Deferred Revenue,Pensionand Other Post Retirement Benefit Plans Current,Other Payable,Dividends Payable,Non Current Prepaid Assets,Financial Assets,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Accumulated Depreciation,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Hedging Assets Current,Restricted Cash,Prepaid Assets,Other Inventories,Finished Goods,Work In Process,Raw Materials,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Equivalents,Cash Financial
12580279206.0,12580279206.0,1156226500000.0,1531805300000.0,3222612800000.0,4568256300000.0,-179364500000.0,3222612800000.0,334251300000.0,3370702300000.0,4150222200000.0,3650905500000.0,280203200000.0,3370702300000.0,3307800900000.0,62901400000.0,62901400000.0,3451024200000.0,1938249500000.0,13011200000.0,381910200000.0,1034574100000.0,255054200000.0,779519900000.0,506860200000.0,1512774700000.0,113380400000.0,497231200000.0,79197100000.0,418034100000.0,69173600000.0,380848900000.0,5946000000.0,374902900000.0,7101929700000.0,5768519500000.0,36288800000.0,14237700000.0,414449300000.0,110739000000.0,110739000000.0,553820600000.0,78700000.0,148089500000.0,26725100000.0,121364400000.0,3996592300000.0,3996592300000.0,,1399384400000.0,2597207900000.0,1333410200000.0,64535000000.0,783900000.0,522505100000.0,4200700000.0,0.0,197629500000.0,543756000000.0,502428500000.0,41327500000.0,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,
12580279206.0,12580279206.0,1097528500000.0,1434962400000.0,2726090300000.0,4250816300000.0,-1303900000.0,2726090300000.0,280420100000.0,3096274000000.0,3946860700000.0,3364010500000.0,267736500000.0,3096274000000.0,3033372600000.0,62901400000.0,62901400000.0,3326809400000.0,1872651100000.0,13662800000.0,351373700000.0,1072396900000.0,221810200000.0,850586700000.0,415846000000.0,1454158300000.0,220277900000.0,362565500000.0,58609900000.0,303955600000.0,55487900000.0,372577400000.0,4686200000.0,367891200000.0,6690819900000.0,5237965500000.0,34562100000.0,18985800000.0,234176400000.0,107642700000.0,107642700000.0,528829800000.0,78700000.0,370183700000.0,248503700000.0,121680000000.0,3494882500000.0,3494882500000.0,297717000000.0,1241947600000.0,1955217900000.0,1452854400000.0,79332500000.0,241200000.0,543012100000.0,4343400000.0,0.0,202951400000.0,622973800000.0,565960000000.0,57013800000.0,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,
12580279206.0,12580279206.0,1265455600000.0,1422548200000.0,2440633400000.0,4098328600000.0,-181196400000.0,2440633400000.0,130692600000.0,2806473000000.0,3790068500000.0,3012550400000.0,206077400000.0,2806473000000.0,2743571600000.0,62901400000.0,62901400000.0,3132736900000.0,1810035200000.0,12498200000.0,321357900000.0,1067630800000.0,84035300000.0,983595500000.0,404230700000.0,1322701700000.0,97590800000.0,354917400000.0,46657300000.0,308260100000.0,52487400000.0,340483500000.0,4057500000.0,336426000000.0,6145287300000.0,5003782000000.0,34805600000.0,24145900000.0,200325600000.0,94215900000.0,94215900000.0,536711500000.0,78700000.0,365839600000.0,245505500000.0,120334100000.0,3281722100000.0,3281722100000.0,289473600000.0,1068209200000.0,1924039300000.0,1141505300000.0,69593300000.0,538300000.0,442380700000.0,4576100000.0,1340100000.0,187515800000.0,435561000000.0,409161000000.0,26400000000.0,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,
