Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Current Provisions,Payables,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
9795219.0,9795219.0,58515000.0,58966000.0,503772000.0,565907000.0,431284000.0,503772000.0,506941000.0,519239000.0,506941000.0,506941000.0,408989000.0,,,97952000.0,97952000.0,182219000.0,15179000.0,1000.0,,12298000.0,12298000.0,2880000.0,167040000.0,3261000.0,46668000.0,46668000.0,8696000.0,108415000.0,108415000.0,689160000.0,90837000.0,8338000.0,,1274000.0,3169000.0,,78056000.0,,78056000.0,2503000.0,75553000.0,,,,598324000.0,58033000.0,,292806000.0,,,,243356000.0,,,4129000.0,3678000.0,451000.0,,2024-03-31
7852719.0,7852719.0,73083000.0,74300000.0,199373000.0,275307000.0,305383000.0,199373000.0,201007000.0,205179000.0,201007000.0,201007000.0,122480000.0,,,78527000.0,78527000.0,445941000.0,169478000.0,1000.0,,4172000.0,4172000.0,2135000.0,276463000.0,2519000.0,70128000.0,70128000.0,6079000.0,197737000.0,197737000.0,646948000.0,65102000.0,4670000.0,,1326000.0,1634000.0,,57472000.0,,57472000.0,20107000.0,37365000.0,,,,581846000.0,53070000.0,,251372000.0,,,,274133000.0,,,3271000.0,2054000.0,1217000.0,,2023-09-30
6356683.0,6356683.0,184635000.0,250572000.0,141409000.0,393998000.0,253668000.0,141409000.0,143426000.0,302913000.0,143426000.0,143426000.0,11678000.0,-181941000.0,26700000.0,63567000.0,63567000.0,537592000.0,161692000.0,1000.0,2204000.0,159487000.0,159487000.0,2204000.0,375900000.0,1912000.0,91085000.0,91085000.0,4054000.0,277788000.0,277788000.0,681018000.0,51449000.0,2295000.0,1822000.0,1027000.0,2017000.0,2017000.0,46109000.0,-16327000.0,62436000.0,6442000.0,39667000.0,50657000.0,5337000.0,0.0,629568000.0,54676000.0,54674000.0,250732000.0,118808000.0,2465000.0,129459000.0,256201000.0,0.0,256201000.0,67961000.0,2024000.0,65937000.0,65938000.0,2023-03-31
