Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Preferred Securities Outside Stock Equity,Non Current Accrued Expenses,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
31249250.0,31249250.0,1639129000.0,1657578000.0,1468863000.0,3126441000.0,751185000.0,1468863000.0,1468863000.0,1763395000.0,1468863000.0,1468863000.0,1312565000.0,,,156298000.0,156298000.0,2001585000.0,385961000.0,-2000.0,,,91431000.0,294532000.0,294532000.0,,1615624000.0,30344000.0,1363046000.0,1363046000.0,,74579000.0,43831000.0,,,43831000.0,3470448000.0,1103639000.0,3489000.0,,94063000.0,,989986000.0,,989986000.0,826000.0,989160000.0,,,,,2366809000.0,800423000.0,,,1346759000.0,,,,,24934000.0,154124000.0,,,40569000.0,22120000.0,18449000.0,,2024-03-31
22848913.0,22848913.0,1895322000.0,1915009000.0,1144947000.0,3059956000.0,661747000.0,1144947000.0,1144947000.0,1686399000.0,1144947000.0,1144947000.0,1082397000.0,,,62550000.0,62550000.0,2348613000.0,641466000.0,,,,98093000.0,541452000.0,541452000.0,1921000.0,1707147000.0,38328000.0,1373557000.0,1373557000.0,88375000.0,88375000.0,79830000.0,,,79830000.0,3493560000.0,1124666000.0,4217000.0,,85599000.0,,1019450000.0,,1019450000.0,0.0,1019450000.0,,,,,2368894000.0,814176000.0,,,1271337000.0,,,,,18007000.0,226027000.0,,,39347000.0,19660000.0,19687000.0,,2023-09-30
22848913.0,22848913.0,1769090000.0,1779763000.0,1110505000.0,2890268000.0,617625000.0,1110505000.0,1110505000.0,1664668000.0,1110505000.0,1110505000.0,1047955000.0,269012000.0,218364000.0,62550000.0,62550000.0,2182758000.0,687765000.0,1000.0,25000000.0,1921000.0,106681000.0,554163000.0,554163000.0,1921000.0,1494993000.0,21677000.0,1225600000.0,1225600000.0,66041000.0,66041000.0,132173000.0,83952000.0,0.0,48221000.0,3293263000.0,1180645000.0,4217000.0,18947000.0,91831000.0,91831000.0,1069867000.0,-1300057000.0,2369924000.0,0.0,4764000.0,1922253000.0,388418000.0,54489000.0,0.0,2112618000.0,615746000.0,8499000.0,618323000.0,1232671000.0,3725000.0,515563000.0,75654000.0,637729000.0,25992000.0,216460000.0,0.0,216460000.0,10673000.0,20340000.0,10673000.0,10673000.0,2023-03-31
