Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.169853,141737000.0,82028000.0,31408000.0,202722000.0,141737000.0,110329000.0,-187000.0,187000.0,,82028000.0,82028000.0,243045000.0,,,,,82028000.0,82028000.0,0.0,82028000.0,-9519000.0,91434000.0,91434000.0,18708000.0,110142000.0,50208000.0,-187000.0,187000.0,,60121000.0,40323000.0,6870000.0,31408000.0,31408000.0,100444000.0,202722000.0,303166000.0,303166000.0,2024-03-31
0.0,0.101985,55924000.0,45451000.0,1074000.0,223627000.0,55924000.0,54850000.0,-1185000.0,1185000.0,,45451000.0,45451000.0,228257000.0,20249392.0,20249392.0,2.24,2.24,45451000.0,45451000.0,0.0,45451000.0,-2741000.0,48192000.0,48192000.0,5473000.0,53665000.0,5264000.0,-1185000.0,1185000.0,,49587000.0,4630000.0,2081000.0,1074000.0,1074000.0,54217000.0,223627000.0,277844000.0,277844000.0,2023-12-31
0.0,0.288709,51028000.0,33903000.0,1028000.0,259865000.0,51028000.0,50000000.0,-50000.0,50000.0,,33903000.0,33903000.0,263531000.0,20249392.0,20249392.0,1.67,1.67,33903000.0,33903000.0,0.0,33903000.0,-1627000.0,35530000.0,35530000.0,14421000.0,49950000.0,5216000.0,-50000.0,50000.0,,44784000.0,3666000.0,1004000.0,1028000.0,1028000.0,48450000.0,259865000.0,308315000.0,308315000.0,2023-09-30
0.0,0.250614,34482000.0,25102000.0,1038000.0,182642000.0,34482000.0,33444000.0,-54000.0,54000.0,,25102000.0,25102000.0,186830000.0,20249392.0,20249392.0,1.24,1.24,25102000.0,25102000.0,0.0,25102000.0,79000.0,25023000.0,25023000.0,8368000.0,33390000.0,5106000.0,-54000.0,54000.0,,28338000.0,4188000.0,1192000.0,1038000.0,1038000.0,32526000.0,182642000.0,215168000.0,215168000.0,2023-06-30
0.0,0.28971,46499000.0,31842000.0,585000.0,409088000.0,46499000.0,45914000.0,7549000.0,113000.0,,31842000.0,31842000.0,413691000.0,,,,,31842000.0,31842000.0,0.0,31842000.0,,32532000.0,32532000.0,13269000.0,45801000.0,-46622000.0,7549000.0,113000.0,,37670000.0,4603000.0,-1054000.0,585000.0,585000.0,42273000.0,409088000.0,451361000.0,451361000.0,2023-03-31
,,,,,,,,,,317000.0,,,,20249392.0,20249392.0,5.15,5.15,,,,,117000.0,,,,,,,,317000.0,,,,,,,,,,2022-12-31
0.0,0.247548,78917000.0,50206000.0,8209000.0,213995000.0,78917000.0,70708000.0,-43000.0,43000.0,,50206000.0,50206000.0,227154000.0,20249392.0,20249392.0,2.48,2.48,50206000.0,50206000.0,0.0,50206000.0,-2967000.0,53173000.0,53173000.0,17493000.0,70665000.0,7413000.0,-43000.0,43000.0,,63296000.0,13159000.0,3688000.0,8209000.0,8209000.0,76455000.0,213995000.0,290450000.0,290450000.0,2024-06-30 00:00:00
