Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Revenue,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
,,1167580000.0,3205850000.0,2387110000.0,3619130000.0,1327770000.0,2387110000.0,1982790000.0,2396070000.0,2458520000.0,2396070000.0,,2396070000.0,2214730000.0,,,181340000.0,181340000.0,4919130000.0,1811180000.0,6070000.0,,1804140000.0,1741690000.0,62450000.0,970000.0,3107950000.0,41540000.0,1401710000.0,241100000.0,1160610000.0,1150000.0,1558770000.0,,,1558770000.0,7315200000.0,2879480000.0,103440000.0,,116880000.0,190700000.0,190700000.0,8960000.0,8960000.0,2428050000.0,,2428050000.0,1490000.0,2426560000.0,,,,,4435720000.0,394590000.0,,,,1936370000.0,,,,,1847020000.0,,,257740000.0,202260000.0,55480000.0,,2024-03-31
17969614.0,17969614.0,1228810000.0,3246000000.0,2280760000.0,3546170000.0,1209110000.0,2280760000.0,1987430000.0,2287600000.0,2379890000.0,2287600000.0,,2287600000.0,2107900000.0,,,179700000.0,179700000.0,5551260000.0,1860390000.0,7170000.0,,1851590000.0,1759300000.0,92290000.0,1630000.0,3690870000.0,40630000.0,1394410000.0,228130000.0,1166280000.0,1020000.0,2134140000.0,,,2134140000.0,7838860000.0,2938880000.0,99140000.0,,126320000.0,201700000.0,201700000.0,6840000.0,6840000.0,2480080000.0,,2480080000.0,2700000.0,2477380000.0,,,,,4899980000.0,468340000.0,,,,2283300000.0,,,,,1928360000.0,,,219980000.0,190220000.0,29760000.0,,2023-09-30
17969614.0,17969614.0,1128110000.0,3097700000.0,2246770000.0,3444630000.0,1158090000.0,2246770000.0,1905290000.0,2252220000.0,2370700000.0,2252220000.0,0.0,2252220000.0,10700000.0,608060000.0,1221830000.0,179700000.0,179700000.0,5098050000.0,1811810000.0,8210000.0,8160000.0,1803050000.0,1684570000.0,118480000.0,600000.0,3286240000.0,25220000.0,1294650000.0,220720000.0,1073930000.0,1020000.0,1820960000.0,12190000.0,20000.0,1808750000.0,7350270000.0,2905940000.0,93520000.0,259130000.0,135970000.0,212680000.0,212680000.0,5450000.0,5450000.0,2437790000.0,-1517860000.0,3955650000.0,4380000.0,2433410000.0,930410000.0,2981130000.0,39730000.0,0.0,4444330000.0,528940000.0,58490000.0,78960000.0,531690000.0,1804220000.0,1535940000.0,126500000.0,141780000.0,31140000.0,1875530000.0,-57930000.0,1933460000.0,64300000.0,171340000.0,64300000.0,64300000.0,2023-03-31
