Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Gross PPE,Construction In Progress,Other Properties,Current Assets,Other Current Assets,Inventory,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Date,Retained Earnings,Additional Paid In Capital,Derivative Product Liabilities,Non Current Deferred Revenue,Current Deferred Taxes Liabilities,Pensionand Other Post Retirement Benefit Plans Current,Other Payable,Dividends Payable,Non Current Prepaid Assets,Financial Assets,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Accumulated Depreciation,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Hedging Assets Current,Restricted Cash,Prepaid Assets,Inventories Adjustments Allowances,Other Inventories,Finished Goods,Work In Process,Raw Materials,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Financial
,138460973.0,138460973.0,5083360000.0,7080970000.0,11286780000.0,19860480000.0,7772800000.0,11286780000.0,842360000.0,13621870000.0,15647600000.0,13621870000.0,13621870000.0,13483410000.0,138460000.0,138460000.0,12172520000.0,3247740000.0,19980000.0,467610000.0,2668040000.0,642310000.0,2025730000.0,57800000.0,8924780000.0,239900000.0,4412930000.0,200050000.0,4212880000.0,405500000.0,3348120000.0,67620000.0,3280500000.0,25794390000.0,9096810000.0,115640000.0,164340000.0,120670000.0,120670000.0,2335090000.0,953140000.0,1381950000.0,6252390000.0,6252390000.0,72050000.0,6180340000.0,16697580000.0,685760000.0,4449310000.0,16550000.0,0.0,5185550000.0,6360410000.0,5205160000.0,1155250000.0,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,138430000.0,138430000.0,5345960000.0,7216000000.0,10284120000.0,19008280000.0,7680780000.0,10284120000.0,927990000.0,12720270000.0,15064480000.0,12720270000.0,12720270000.0,12581840000.0,138430000.0,138430000.0,12683240000.0,3764300000.0,12140000.0,538530000.0,3067080000.0,722870000.0,2344210000.0,102000000.0,8918940000.0,267350000.0,4148920000.0,205120000.0,3943800000.0,373990000.0,3356510000.0,185390000.0,3171120000.0,25403510000.0,8803790000.0,54430000.0,141220000.0,103890000.0,103890000.0,2436150000.0,1062730000.0,1373420000.0,6045380000.0,6045380000.0,172000000.0,5873380000.0,16599720000.0,539620000.0,4686170000.0,16440000.0,146520000.0,4833280000.0,6377690000.0,5435640000.0,942050000.0,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,
,138392594.0,138392594.0,5416330000.0,7175210000.0,9715460000.0,18662170000.0,7468320000.0,9715460000.0,757840000.0,12244800000.0,14893010000.0,12244800000.0,12244800000.0,12106410000.0,138390000.0,138390000.0,12100400000.0,3946370000.0,22640000.0,607280000.0,3179890000.0,531680000.0,2648210000.0,75720000.0,8154030000.0,234790000.0,3995320000.0,226160000.0,3769160000.0,348400000.0,3060550000.0,137390000.0,2923160000.0,24345200000.0,8722850000.0,116630000.0,124820000.0,106070000.0,106070000.0,2529340000.0,1165470000.0,1363870000.0,5823310000.0,5823310000.0,273690000.0,5549620000.0,15622350000.0,516140000.0,4826040000.0,13200000.0,138830000.0,4608360000.0,5519780000.0,4518740000.0,1001040000.0,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,
