Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Current Provisions,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
147522032.0,147522032.0,3638296000.0,3639779000.0,920786000.0,4561576000.0,953713000.0,920786000.0,921797000.0,4421797000.0,921797000.0,921797000.0,-553423000.0,,1475220000.0,1475220000.0,5078105000.0,3501729000.0,,0.0,3500000000.0,3500000000.0,1729000.0,1576376000.0,1073000.0,139779000.0,139779000.0,1519000.0,55865000.0,0.0,55865000.0,5999902000.0,3469813000.0,5801000.0,,,16313000.0,16313000.0,1011000.0,1011000.0,3446688000.0,,3446688000.0,0.0,3446688000.0,,,,,2530089000.0,216463000.0,2225113000.0,,,47329000.0,,,,,,,38668000.0,,,2516000.0,1033000.0,1483000.0,,2024-03-31
147522032.0,147522032.0,3690523000.0,3690950000.0,1172947000.0,4865060000.0,1193258000.0,1172947000.0,1174110000.0,4674110000.0,1174110000.0,1174110000.0,-301110000.0,,1475220000.0,1475220000.0,4984777000.0,3501683000.0,,0.0,3500000000.0,3500000000.0,1683000.0,1483094000.0,307000.0,190950000.0,190950000.0,2392000.0,67323000.0,0.0,67323000.0,6158887000.0,3482535000.0,5538000.0,,,11723000.0,11723000.0,1163000.0,1163000.0,3464111000.0,,3464111000.0,0.0,3464111000.0,,,,,2676352000.0,233478000.0,2343804000.0,,,52566000.0,,,,,,,45746000.0,,,758000.0,331000.0,427000.0,,2023-09-30
147522032.0,147522032.0,3609386000.0,3610000000.0,1403628000.0,5014791000.0,1404473000.0,1403628000.0,1404791000.0,4904791000.0,1404791000.0,1404791000.0,-70429000.0,-1165814000.0,1475220000.0,1475220000.0,4842786000.0,3502422000.0,2422000.0,0.0,3500000000.0,3500000000.0,2422000.0,1340364000.0,2372000.0,110000000.0,110000000.0,2392000.0,68106000.0,0.0,68106000.0,6247577000.0,3502740000.0,5166000.0,16163000.0,0.0,584000.0,584000.0,1163000.0,1163000.0,3484830000.0,-257454000.0,3742284000.0,0.0,3484830000.0,329994000.0,912555000.0,2499735000.0,0.0,2744837000.0,248313000.0,2366667000.0,212000.0,5335000.0,46270000.0,4464000.0,4601000.0,4261000.0,32944000.0,504000.0,242978000.0,82257000.0,0.0,82257000.0,614000.0,716000.0,614000.0,614000.0,2023-03-31
