Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Impairment Of Capital Assets,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Amortization,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.267726,618970000.0,0.0,0.0,396490000.0,77190000.0,859830000.0,618970000.0,541780000.0,-330000.0,330000.0,,396490000.0,396490000.0,1385960000.0,,,,,396490000.0,396490000.0,0.0,396490000.0,,396490000.0,396490000.0,144960000.0,541450000.0,88290000.0,0.0,,,-330000.0,330000.0,,453490000.0,526130000.0,307720000.0,77190000.0,,77190000.0,,,,979620000.0,859830000.0,1839450000.0,1839450000.0,2024-03-31
-25843998.077847,0.265257,613360000.0,-97430000.0,-97430000.0,321090000.0,78550000.0,708510000.0,515930000.0,437380000.0,-370000.0,370000.0,,392676001.922153,321090000.0,1200330000.0,173562162.0,173562162.0,1.85,1.85,321090000.0,321090000.0,0.0,321090000.0,,321090000.0,321090000.0,115920000.0,437010000.0,67540000.0,-97430000.0,97430000.0,,-370000.0,370000.0,,467270000.0,491820000.0,283060000.0,78550000.0,,78550000.0,,,,959090000.0,708510000.0,1667600000.0,1667600000.0,2023-12-31
4934272.543637,0.238256,619480000.0,20710000.0,20710000.0,441210000.0,60490000.0,807240000.0,640190000.0,579690000.0,2180000.0,480000.0,2660000.0,425434272.543637,441210000.0,1249070000.0,173465425.0,173465425.0,2.543504,2.543504,441210000.0,441210000.0,0.0,441210000.0,0.0,441210000.0,441210000.0,138000000.0,579210000.0,690000.0,-13910000.0,13910000.0,0.0,2180000.0,480000.0,2660000.0,542970000.0,441830000.0,144530000.0,60500000.0,0.0,60500000.0,66160000.0,52330000.0,13830000.0,984800000.0,807240000.0,1792040000.0,1792040000.0,2023-06-30
19813781.796332,0.274657,693250000.0,72140000.0,72140000.0,507000000.0,63160000.0,1086940000.0,765390000.0,702230000.0,2600000.0,3250000.0,,454673781.796332,507000000.0,1528350000.0,,,,,507000000.0,507000000.0,0.0,507000000.0,,507000000.0,507000000.0,191980000.0,698980000.0,-163490000.0,1030000.0,,,2600000.0,3250000.0,,640070000.0,441410000.0,-256210000.0,63160000.0,,63160000.0,,,,1081480000.0,1086940000.0,2168420000.0,2168420000.0,2023-03-31
0.0,0.267121,582400000.0,0.0,0.0,375300000.0,66770000.0,759890000.0,582400000.0,515630000.0,-3540000.0,3540000.0,,375300000.0,375300000.0,1238880000.0,173465425.0,173465425.0,2.163544,2.163544,375300000.0,375300000.0,0.0,375300000.0,,375300000.0,375300000.0,136790000.0,512090000.0,64950000.0,0.0,,,-3540000.0,3540000.0,,450680000.0,478990000.0,300970000.0,66770000.0,,66770000.0,,,,929670000.0,759890000.0,1689560000.0,1689560000.0,2022-12-31
0.0,0.23635,529780000.0,0.0,0.0,377770000.0,34820000.0,738140000.0,529780000.0,494960000.0,-270000.0,270000.0,,377770000.0,377770000.0,1221180000.0,173288991.0,173288991.0,2.18,2.18,377770000.0,377770000.0,0.0,377770000.0,,377770000.0,377770000.0,116920000.0,494690000.0,87150000.0,0.0,,,-270000.0,270000.0,,407810000.0,483040000.0,300410000.0,34820000.0,,34820000.0,,,,890850000.0,738140000.0,1628990000.0,1628990000.0,2024-06-30 00:00:00
