Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Derivative Product Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Financial Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investmentsin Associatesat Cost,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
0.0,126237825.0,126237825.0,38193100000.0,41488500000.0,53274500000.0,94534800000.0,11034200000.0,53274500000.0,1036000000.0,54082300000.0,84708400000.0,54460400000.0,378100000.0,54082300000.0,52819900000.0,,,1262400000.0,1262400000.0,63842500000.0,33298400000.0,,471600000.0,31375100000.0,749000000.0,30626100000.0,660600000.0,30544100000.0,1525500000.0,10113400000.0,287000000.0,9826400000.0,600700000.0,13815300000.0,,,966700000.0,12848600000.0,118302900000.0,76724600000.0,2309500000.0,,1442000000.0,,1099300000.0,1099300000.0,,0.0,,2070600000.0,807800000.0,375100000.0,432700000.0,67397100000.0,,67397100000.0,7485400000.0,59911700000.0,,,,,41578300000.0,5383200000.0,,,,11924400000.0,,,,10600000.0,14757500000.0,,,9502600000.0,7243200000.0,2259400000.0,,,2024-03-31
,126237825.0,126237825.0,35769100000.0,40766700000.0,50410200000.0,91825200000.0,10379300000.0,50410200000.0,845900000.0,51904400000.0,81279000000.0,52285700000.0,381300000.0,51904400000.0,50642000000.0,,,1262400000.0,1262400000.0,66644900000.0,31482400000.0,,142400000.0,29915900000.0,541300000.0,29374600000.0,665800000.0,35162500000.0,2012700000.0,10850800000.0,304600000.0,10546200000.0,549400000.0,16632500000.0,,,403400000.0,16229100000.0,118930600000.0,73388800000.0,1887500000.0,,,,1724700000.0,1724700000.0,,,,1987600000.0,1494200000.0,1064100000.0,430100000.0,65067700000.0,,65067700000.0,7258300000.0,57809400000.0,,,,,45541800000.0,6744600000.0,,,,9528400000.0,,,,7300000.0,12499500000.0,,,16762000000.0,12610300000.0,4151700000.0,,,2023-09-30
,126237825.0,126237825.0,33341200000.0,36988800000.0,49858400000.0,86803700000.0,15666400000.0,49858400000.0,855100000.0,50670000000.0,82979800000.0,51932700000.0,1262700000.0,50670000000.0,49407600000.0,37277100000.0,10116300000.0,1262400000.0,1262400000.0,62279400000.0,34105300000.0,10000000.0,8400000.0,32854000000.0,544200000.0,32309800000.0,608700000.0,28174100000.0,1133400000.0,4134800000.0,310900000.0,3823900000.0,589300000.0,22935200000.0,4500500000.0,81700000.0,579400000.0,17773600000.0,114212100000.0,70371600000.0,250000000.0,6259500000.0,0.0,0.0,299500000.0,299200000.0,300000.0,0.0,0.0,2010300000.0,811600000.0,376900000.0,434700000.0,59244000000.0,-12788800000.0,72032800000.0,35265300000.0,1123300000.0,26903700000.0,6011600000.0,2728900000.0,0.0,43840500000.0,2501600000.0,0.0,81700000.0,2395300000.0,12589000000.0,1883000000.0,5200700000.0,5505300000.0,791100000.0,16905300000.0,-601600000.0,17506900000.0,11078100000.0,8285600000.0,2792500000.0,1266500000.0,1526000000.0,2023-03-31
