Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
221446343.0,221446343.0,107104000.0,116024000.0,1217349000.0,1335644000.0,426648000.0,1217349000.0,1219620000.0,1221172000.0,1219620000.0,,1219620000.0,776727000.0,,,442893000.0,442893000.0,187970000.0,3830000.0,,,,1552000.0,1552000.0,2278000.0,184140000.0,31985000.0,114472000.0,114472000.0,140000.0,33611000.0,,,33611000.0,1407590000.0,796802000.0,3244000.0,,441054000.0,92809000.0,92809000.0,2271000.0,2271000.0,257424000.0,,257424000.0,0.0,257424000.0,,,,,610788000.0,180895000.0,,,80105000.0,,,,17367000.0,,253193000.0,,,79228000.0,70308000.0,8920000.0,,2024-03-31
221446343.0,221446343.0,124500000.0,126900000.0,698100000.0,854600000.0,173700000.0,698100000.0,727700000.0,745500000.0,740600000.0,12900000.0,727700000.0,284800000.0,,,442900000.0,442900000.0,232900000.0,20300000.0,,,500000.0,17800000.0,17800000.0,2000000.0,212600000.0,71700000.0,109100000.0,109100000.0,,21300000.0,,1000000.0,20300000.0,973500000.0,587200000.0,115800000.0,,,113600000.0,113600000.0,29600000.0,29600000.0,328200000.0,,328200000.0,79300000.0,248900000.0,,,,,386300000.0,57200000.0,,,215300000.0,,,,22400000.0,,83200000.0,,,8200000.0,5800000.0,2400000.0,,2023-09-30
221446343.0,221446343.0,161899000.0,165615000.0,600499000.0,795835000.0,110818000.0,600499000.0,630220000.0,648268000.0,640220000.0,10000000.0,630220000.0,583881000.0,-4474778000.0,2164274000.0,442893000.0,442893000.0,233778000.0,19965000.0,1000.0,1574000.0,342000.0,18048000.0,18048000.0,1600000.0,213813000.0,13793000.0,147567000.0,147567000.0,,22312000.0,16529000.0,0.0,5783000.0,873998000.0,549368000.0,1400000.0,1380000.0,,15332000.0,15332000.0,29721000.0,29721000.0,502935000.0,-1067294000.0,1570229000.0,70937000.0,21007000.0,1055732000.0,212252000.0,210301000.0,0.0,324631000.0,60400000.0,5775000.0,34598000.0,157587000.0,92985000.0,42076000.0,22526000.0,72968000.0,21830000.0,28157000.0,-328555000.0,356712000.0,3716000.0,5800000.0,3716000.0,3716000.0,2023-03-31
