Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Other Investments,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investmentsin Associatesat Cost,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
,436500000.0,436500000.0,127400000.0,939500000.0,19943500000.0,25122800000.0,6593800000.0,19943500000.0,282600000.0,24465900000.0,24465900000.0,24577100000.0,111200000.0,24465900000.0,24029400000.0,,,436500000.0,436500000.0,8219900000.0,631600000.0,146700000.0,,,108800000.0,154300000.0,154300000.0,153200000.0,7588300000.0,343100000.0,,785200000.0,128300000.0,656900000.0,,1102900000.0,4790000000.0,,,244100000.0,4545900000.0,32797000000.0,18614900000.0,72800000.0,,4379300000.0,1637100000.0,127300000.0,127300000.0,,1167900000.0,1167900000.0,519900000.0,4522400000.0,3840500000.0,681900000.0,6169500000.0,,6169500000.0,67200000.0,6102300000.0,,,,,14182100000.0,1606400000.0,,,,3234000000.0,,,,41700000.0,9300000.0,4942100000.0,,,4348600000.0,3819100000.0,529500000.0,,,2024-03-31
0.0,436500000.0,436500000.0,7000000.0,1074600000.0,19076700000.0,24907700000.0,6727700000.0,19076700000.0,223900000.0,24057000000.0,24057000000.0,24165200000.0,108200000.0,24057000000.0,23620500000.0,,,436500000.0,436500000.0,9028800000.0,791500000.0,155500000.0,,,121900000.0,129600000.0,129600000.0,315300000.0,8237300000.0,332300000.0,,945000000.0,94300000.0,850700000.0,,1157200000.0,5078000000.0,,,305500000.0,4772500000.0,33194000000.0,18229000000.0,61500000.0,,3981400000.0,1920400000.0,205800000.0,205800000.0,,97500000.0,97500000.0,529200000.0,4980300000.0,4298400000.0,681900000.0,6283700000.0,,6283700000.0,34600000.0,6249100000.0,,,,,14965000000.0,1533600000.0,,,11100000.0,3606400000.0,,,,61600000.0,,4799100000.0,,,4953200000.0,4109500000.0,843700000.0,,,2023-09-30
76228.0,441150000.0,441226228.0,268235000.0,905080000.0,17587920000.0,23764084000.0,5629285000.0,17587920000.0,168995000.0,23027999000.0,23027999000.0,23127647000.0,99648000.0,23027999000.0,22586800000.0,14400812000.0,12785000.0,441150000.0,441150000.0,7970873000.0,732018000.0,161300000.0,276992000.0,178172000.0,134448000.0,90485000.0,90485000.0,277000000.0,7238855000.0,1000.0,256513000.0,814595000.0,78510000.0,736085000.0,392313000.0,1189969000.0,4437318000.0,76727000.0,29707000.0,167930000.0,4162954000.0,31098520000.0,18230380000.0,60900000.0,60851000.0,3636767000.0,928000.0,1889455000.0,1111250000.0,778205000.0,108677000.0,108677000.0,533890000.0,5440079000.0,4758179000.0,681900000.0,6542787000.0,-5521242000.0,12064029000.0,57530000.0,6485300000.0,7476872000.0,3912268000.0,617359000.0,0.0,12868140000.0,1680400000.0,68280000.0,501714000.0,1727746000.0,3280393000.0,1748955000.0,46668000.0,1484770000.0,157583000.0,6900000.0,4146036000.0,-110024000.0,4256060000.0,2986388000.0,2518538000.0,467850000.0,180911000.0,286939000.0,2023-03-31
