Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Write Off,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
-173420636.580751,0.260352,96333600000.0,-666100000.0,-666100000.0,51488700000.0,1746890000000.0,95667500000.0,95667500000.0,-21471100000.0,21471100000.0,51981379363.41925,51488700000.0,1907064600000.0,,,,,51488700000.0,51488700000.0,0.0,51488700000.0,-3390500000.0,54879200000.0,54879200000.0,19317200000.0,74196400000.0,14535200000.0,-653200000.0,653200000.0,-21471100000.0,21471100000.0,79433000000.0,160174600000.0,130438900000.0,239607600000.0,1746890000000.0,1986497600000.0,1986497600000.0,2024-03-31
-685723043.860701,0.231601,141013900000.0,-2960800000.0,-2960800000.0,90295600000.0,1721679800000.0,138053100000.0,138053100000.0,-18000300000.0,18000300000.0,92570676956.1393,90295600000.0,1877202000000.0,13764573171.0,13764573171.0,6.56,6.56,90295600000.0,90295600000.0,0.0,90295600000.0,-1952900000.0,92248500000.0,92248500000.0,27804300000.0,120052800000.0,12682300000.0,-2952300000.0,2952300000.0,-18000300000.0,18000300000.0,121854500000.0,155522200000.0,127875100000.0,277376700000.0,1721679800000.0,1999056500000.0,1999056500000.0,2023-12-31
242452844.223245,0.25524,204528000000.0,949900000.0,949900000.0,131143000000.0,1440594600000.0,205477900000.0,205477900000.0,-21350300000.0,21350300000.0,130435552844.22324,131143000000.0,1596218900000.0,13761070304.0,13761070304.0,9.53,9.53,131143000000.0,131143000000.0,0.0,131143000000.0,-5987800000.0,137130800000.0,137130800000.0,46996800000.0,184127600000.0,5064800000.0,957900000.0,-957900000.0,-21350300000.0,21350300000.0,196237800000.0,155624300000.0,126202100000.0,351862100000.0,1440594600000.0,1792456700000.0,1792456700000.0,2023-09-30
-1242471430.471537,0.21204,154077700000.0,-5859600000.0,-5859600000.0,102898200000.0,1867522700000.0,148218100000.0,148218100000.0,14123900000.0,10632000000.0,107515328569.52846,102898200000.0,1864373700000.0,,,,,102898200000.0,102898200000.0,0.0,102898200000.0,-5514100000.0,108412300000.0,108412300000.0,29173800000.0,137586100000.0,-29540100000.0,-1595700000.0,1595700000.0,14123900000.0,10632000000.0,140273200000.0,-3149000000.0,-184751200000.0,137124200000.0,1867522700000.0,2004646900000.0,2004646900000.0,2023-03-31
-363150000.0,0.3,27052000000.0,-1210500000.0,-1210500000.0,7732300000.0,1894888300000.0,25841500000.0,25841500000.0,-21220700000.0,21220700000.0,8579650000.0,7732300000.0,2047414400000.0,13807678571.0,13807678571.0,0.56,0.56,7732300000.0,7732300000.0,0.0,7732300000.0,-1170500000.0,8902800000.0,8902800000.0,-4282000000.0,4620800000.0,15732600000.0,-1206500000.0,1206500000.0,-21220700000.0,21220700000.0,9738800000.0,152526100000.0,132332500000.0,162264900000.0,1894888300000.0,2057153200000.0,2057153200000.0,2022-12-31
-551368570.802968,0.231027,71595200000.0,-2386600000.0,-2386600000.0,35284900000.0,1723454800000.0,69208600000.0,69208600000.0,-20798200000.0,20798200000.0,37120131429.19703,35284900000.0,1877892100000.0,13783164062.0,13783164062.0,2.56,2.56,35284900000.0,35284900000.0,0.0,35284900000.0,-1941400000.0,37226300000.0,37226300000.0,11184100000.0,48410400000.0,5326500000.0,-2363300000.0,2363300000.0,-20798200000.0,20798200000.0,60557000000.0,154437300000.0,126267500000.0,214994300000.0,1723454800000.0,1938449100000.0,1938449100000.0,2024-06-30 00:00:00
-16410839.681626,0.242405,212003600000.0,-67700000.0,-67700000.0,144369600000.0,1637488300000.0,211935900000.0,211935900000.0,-17434800000.0,17434800000.0,144420889160.31836,144369600000.0,1783207800000.0,13775725191.0,13775725191.0,10.48,10.48,144369600000.0,144369600000.0,0.0,144369600000.0,-2983400000.0,147353000000.0,147353000000.0,47148100000.0,194501100000.0,6312300000.0,-58100000.0,58100000.0,-17434800000.0,17434800000.0,202299900000.0,145719500000.0,115815100000.0,348019400000.0,1637488300000.0,1985507700000.0,1985507700000.0,2023-06-30 00:00:00
