Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date,Net Income Discontinuous Operations
63520000.0,0.4,577700000.0,158800000.0,158800000.0,-605500000.0,580600000.0,-11088200000.0,736500000.0,155900000.0,-646900000.0,646900000.0,-700780000.0,-605500000.0,12871500000.0,,,,,-605500000.0,-605500000.0,0.0,-605500000.0,1800000.0,-607300000.0,-607300000.0,9600000.0,-491000000.0,202100000.0,158800000.0,,-646900000.0,646900000.0,-205000000.0,23959700000.0,22381600000.0,580600000.0,580600000.0,23754700000.0,-11088200000.0,12666500000.0,12666500000.0,2024-03-31,
78630000.0,0.3,781500000.0,262100000.0,262100000.0,6700000.0,580700000.0,6159500000.0,1043600000.0,462900000.0,-603900000.0,603900000.0,-176770000.0,6700000.0,11537600000.0,309897201.0,309897201.0,0.02162,0.02162,6700000.0,6700000.0,0.0,6700000.0,-3200000.0,9900000.0,9900000.0,-75200000.0,-141000000.0,293800000.0,262100000.0,,-603900000.0,603900000.0,-93000000.0,5378100000.0,3918500000.0,580700000.0,580700000.0,5285100000.0,6159500000.0,11444600000.0,11444600000.0,2023-12-31,
0.0,0.169111,124300000.0,,,-800700000.0,549900000.0,2589800000.0,124300000.0,-425600000.0,-603900000.0,603900000.0,-800700000.0,-800700000.0,13149700000.0,312773438.0,312773438.0,-2.56,-2.56,-800700000.0,-800700000.0,0.0,-800700000.0,-2800000.0,-797900000.0,-797900000.0,-174100000.0,-1029500000.0,80200000.0,,,-603900000.0,603900000.0,-505800000.0,10559900000.0,9008700000.0,549900000.0,549900000.0,10054100000.0,2589800000.0,12643900000.0,12643900000.0,2023-09-30,
0.0,0.24316,154100000.0,,,-874000000.0,544500000.0,3241700000.0,154100000.0,-390400000.0,-581800000.0,581800000.0,-874000000.0,-874000000.0,14829100000.0,305594406.0,305594406.0,-2.86,-2.86,-874000000.0,-874000000.0,0.0,-874000000.0,-2200000.0,-871800000.0,-871800000.0,-236400000.0,-972200000.0,71300000.0,,,-581800000.0,581800000.0,-461700000.0,11587400000.0,10105100000.0,544500000.0,544500000.0,11125700000.0,3241700000.0,14367400000.0,14367400000.0,2023-06-30,
-57038059.125288,0.054505,-792904000.0,-1046473000.0,-1046473000.0,-2269048000.0,549098000.0,29087900000.0,-1839377000.0,-2388475000.0,-152591000.0,189745000.0,-1279613059.125288,-2269048000.0,15776846000.0,,,,,-2269048000.0,-2269048000.0,0.0,-2269048000.0,22454000.0,-2291502000.0,-2291502000.0,-140526000.0,-2578220000.0,-181276000.0,-1050675000.0,1050675000.0,-152591000.0,189745000.0,-1000486000.0,-13311054000.0,-31064195000.0,549098000.0,549098000.0,-14311540000.0,29087900000.0,14776360000.0,14776360000.0,2023-03-31,
,,,3000000000.0,3000000000.0,,,,,,,,,,,314363208.0,314363208.0,4.24,4.24,,,,,,,,,,,3000000000.0,-3000000000.0,,,,,,,,,,,,2022-12-31,
542055700.571675,0.225218,-91600000.0,2406800000.0,2406800000.0,584700000.0,564500000.0,2356300000.0,2315200000.0,1750700000.0,-823600000.0,823600000.0,-1280044299.428325,584700000.0,11078800000.0,312673797.0,312673797.0,1.87,1.87,584700000.0,584700000.0,0.0,584700000.0,800000.0,713300000.0,588900000.0,208800000.0,927100000.0,155100000.0,2406800000.0,-2406800000.0,-823600000.0,823600000.0,-811200000.0,8722500000.0,7091900000.0,564500000.0,564500000.0,7911300000.0,2356300000.0,10267600000.0,10267600000.0,2024-06-30 00:00:00,0.0
