Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.306254,65512000.0,0.0,0.0,35687000.0,5011000.0,328200000.0,65512000.0,60501000.0,-9060000.0,9060000.0,,35687000.0,35687000.0,347687000.0,,,,,35687000.0,35687000.0,0.0,35687000.0,0.0,35687000.0,,0.0,35687000.0,15754000.0,51441000.0,14267000.0,0.0,-9060000.0,9060000.0,,46235000.0,19487000.0,14925000.0,5011000.0,5011000.0,65722000.0,328200000.0,393922000.0,393922000.0,2024-03-31
0.0,0.058873,5788000.0,0.0,0.0,3373000.0,803000.0,53034000.0,5788000.0,5788000.0,-2204000.0,2204000.0,,3373000.0,3373000.0,63633000.0,22486667.0,22486667.0,0.15,0.15,3373000.0,3373000.0,0.0,3373000.0,0.0,3373000.0,,0.0,3373000.0,211000.0,3584000.0,2167000.0,0.0,-2204000.0,2204000.0,,3622000.0,10599000.0,2372000.0,803000.0,803000.0,14221000.0,53034000.0,67255000.0,67255000.0,2023-12-31
0.0,0.078511,1427000.0,0.0,0.0,2500000.0,803000.0,32304000.0,1427000.0,1427000.0,202000.0,,202000.0,2500000.0,2500000.0,57694000.0,24778571.0,24778571.0,0.14,0.14,3469000.0,3469000.0,0.0,3469000.0,0.0,3469000.0,969000.0,0.0,2500000.0,213000.0,2713000.0,1084000.0,0.0,202000.0,,202000.0,1427000.0,25390000.0,25617000.0,803000.0,803000.0,26817000.0,32304000.0,59121000.0,59121000.0,2023-09-30
0.0,0.109233,11362000.0,0.0,0.0,6377000.0,803000.0,122620000.0,11362000.0,11362000.0,-4203000.0,4203000.0,,6377000.0,6377000.0,130842000.0,25414286.0,25414286.0,0.28,0.28,7116000.0,7116000.0,0.0,7116000.0,0.0,7116000.0,739000.0,0.0,6377000.0,782000.0,7159000.0,12000.0,0.0,-4203000.0,4203000.0,,11351000.0,8222000.0,4707000.0,803000.0,803000.0,19573000.0,122620000.0,142193000.0,142193000.0,2023-06-30
0.0,0.165335,21854000.0,0.0,0.0,15246000.0,1443000.0,88430000.0,21854000.0,20411000.0,-2145000.0,2145000.0,,15246000.0,15246000.0,105159000.0,24993443.0,24993443.0,0.61,0.61,15246000.0,15246000.0,0.0,15246000.0,0.0,15246000.0,0.0,0.0,15246000.0,3020000.0,18266000.0,13002000.0,0.0,-2145000.0,2145000.0,,7410000.0,16729000.0,13194000.0,1443000.0,1443000.0,24139000.0,88430000.0,112569000.0,112569000.0,2024-06-30 00:00:00
0.0,0.098577,47931000.0,0.0,0.0,34849000.0,3542000.0,90100000.0,47931000.0,44389000.0,-5729000.0,5729000.0,,34849000.0,34849000.0,108312000.0,25071223.0,25071223.0,1.39,1.39,34849000.0,34849000.0,0.0,34849000.0,0.0,34849000.0,0.0,0.0,34849000.0,3811000.0,38660000.0,9359000.0,0.0,-5729000.0,5729000.0,,35030000.0,18212000.0,10864000.0,3542000.0,3542000.0,53242000.0,90100000.0,143342000.0,143342000.0,2024-09-30 00:00:00
