Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date,Restructuring And Mergern Acquisition
-324000000.0,0.4,18330000000.0,-810000000.0,-810000000.0,400000000.0,7940000000.0,90090000000.0,17520000000.0,9580000000.0,-9280000000.0,9280000000.0,886000000.0,400000000.0,129640000000.0,,,,,400000000.0,400000000.0,0.0,400000000.0,1200000000.0,-800000000.0,-800000000.0,1100000000.0,300000000.0,1260000000.0,-810000000.0,1050000000.0,-240000000.0,-9280000000.0,9280000000.0,11140000000.0,39550000000.0,21250000000.0,7940000000.0,7940000000.0,50690000000.0,90090000000.0,140780000000.0,140780000000.0,2024-03-31,
-10978391.356543,0.035414,2320000000.0,-310000000.0,-310000000.0,-12170000000.0,6760000000.0,63230000000.0,2010000000.0,-4750000000.0,-11910000000.0,11910000000.0,-11870978391.356544,-12170000000.0,101330000000.0,711279953.0,711279953.0,-17.11,-17.11,-12170000000.0,-12170000000.0,0.0,-12170000000.0,3900000000.0,-16070000000.0,-16070000000.0,-590000000.0,-16660000000.0,1510000000.0,-310000000.0,170000000.0,140000000.0,-11910000000.0,11910000000.0,-2460000000.0,38100000000.0,19790000000.0,6760000000.0,6760000000.0,35640000000.0,63230000000.0,98870000000.0,98870000000.0,2023-12-31,
-308483290.488432,0.246787,12640000000.0,-1250000000.0,-1250000000.0,-1890000000.0,6570000000.0,52320000000.0,11390000000.0,4820000000.0,-8710000000.0,8710000000.0,-948483290.488432,-1890000000.0,92140000000.0,744094488.0,744094488.0,-2.54,-2.54,-1890000000.0,-1890000000.0,0.0,-1890000000.0,1040000000.0,-2930000000.0,-2930000000.0,-960000000.0,-3890000000.0,1050000000.0,-1250000000.0,870000000.0,380000000.0,-8710000000.0,8710000000.0,9560000000.0,39820000000.0,20740000000.0,6570000000.0,6570000000.0,49380000000.0,52320000000.0,101700000000.0,101700000000.0,2023-09-30,
-318000000.0,0.3,14970000000.0,-1060000000.0,-1060000000.0,1660000000.0,6360000000.0,39300000000.0,13910000000.0,7550000000.0,-8170000000.0,8170000000.0,2402000000.0,1660000000.0,79440000000.0,750607641.0,750607641.0,1.33,1.33,1660000000.0,1660000000.0,0.0,1660000000.0,640000000.0,1020000000.0,1020000000.0,-1640000000.0,-620000000.0,1010000000.0,-1060000000.0,430000000.0,630000000.0,-8170000000.0,8170000000.0,10190000000.0,40140000000.0,21380000000.0,6360000000.0,6360000000.0,50330000000.0,39300000000.0,89630000000.0,89630000000.0,2023-06-30,
-120733285.406183,0.22358,30990000000.0,-540000000.0,-540000000.0,7920000000.0,7270000000.0,107220000000.0,30450000000.0,23180000000.0,-7520000000.0,9270000000.0,8339266714.593817,7920000000.0,137930000000.0,,,,,6570000000.0,6570000000.0,1350000000.0,7920000000.0,-2880000000.0,10800000000.0,10800000000.0,3110000000.0,13910000000.0,-1510000000.0,-460000000.0,-410000000.0,380000000.0,-7520000000.0,9270000000.0,23340000000.0,30710000000.0,-15380000000.0,7270000000.0,-4410000000.0,54050000000.0,107220000000.0,161270000000.0,161270000000.0,2023-03-31,
,,,,,,,,,,,,,,,803994083.0,803994083.0,13.52,13.52,,,,,,,,,,,,,,,,,,,,,,,,,2022-12-31,
-408000000.0,0.3,11550000000.0,-1360000000.0,-1360000000.0,-3840000000.0,6600000000.0,45200000000.0,10190000000.0,3590000000.0,-8140000000.0,8140000000.0,-2888000000.0,-3840000000.0,84940000000.0,637873754.0,637873754.0,-6.02,-6.02,-3840000000.0,-3840000000.0,0.0,-3840000000.0,1430000000.0,-5270000000.0,-5270000000.0,720000000.0,-4550000000.0,980000000.0,-1360000000.0,100000000.0,1170000000.0,-8140000000.0,8140000000.0,5730000000.0,39740000000.0,19770000000.0,6600000000.0,6600000000.0,45470000000.0,45200000000.0,90670000000.0,90670000000.0,2024-06-30 00:00:00,90000000.0
