Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.252112,664100000.0,327500000.0,186000000.0,1824100000.0,664100000.0,478100000.0,-40200000.0,40200000.0,327500000.0,327500000.0,2281600000.0,,,,,327500000.0,327500000.0,0.0,327500000.0,327500000.0,327500000.0,110400000.0,437900000.0,-878900000.0,-40200000.0,40200000.0,1357000000.0,457500000.0,186000000.0,186000000.0,1814500000.0,1824100000.0,3638600000.0,3638600000.0,2024-03-31
0.0,0.256349,576100000.0,248900000.0,183600000.0,2299800000.0,576100000.0,392500000.0,-57800000.0,57800000.0,248900000.0,248900000.0,2750000000.0,307283951.0,303536585.0,0.81,0.82,248900000.0,248900000.0,0.0,248900000.0,248900000.0,248900000.0,85800000.0,334700000.0,-1577600000.0,-57800000.0,57800000.0,1970100000.0,450200000.0,183600000.0,183600000.0,2420300000.0,2299800000.0,4720100000.0,4720100000.0,2023-12-31
0.0,0.135135,249100000.0,3200000.0,180800000.0,1180800000.0,249100000.0,68300000.0,-64600000.0,64600000.0,3200000.0,3200000.0,1601100000.0,320000000.0,320000000.0,0.01,0.01,3200000.0,3200000.0,0.0,3200000.0,3200000.0,3200000.0,500000.0,3700000.0,-917200000.0,-64600000.0,64600000.0,985500000.0,420300000.0,180800000.0,180800000.0,1405800000.0,1180800000.0,2586600000.0,2586600000.0,2023-09-30
0.0,0.257547,664100000.0,314800000.0,170700000.0,1649900000.0,664100000.0,493400000.0,-69400000.0,69400000.0,314800000.0,314800000.0,2058000000.0,305631068.0,305631068.0,1.03,1.03,314800000.0,314800000.0,0.0,314800000.0,314800000.0,314800000.0,109200000.0,424000000.0,-986200000.0,-69400000.0,69400000.0,1479600000.0,408100000.0,170700000.0,170700000.0,1887700000.0,1649900000.0,3537600000.0,3537600000.0,2023-06-30
0.0,0.232814,571170000.0,229450000.0,199800000.0,1690200000.0,571170000.0,371370000.0,-72290000.0,72290000.0,229450000.0,229450000.0,2028810000.0,,,,,229450000.0,229450000.0,0.0,229450000.0,229450000.0,229450000.0,69630000.0,299080000.0,-1077330000.0,-72290000.0,72290000.0,1448700000.0,338610000.0,199800000.0,199800000.0,1787310000.0,1690200000.0,3477510000.0,3477510000.0,2023-03-31
,,,,,,,,,,,,,305759494.0,303836478.0,1.58,1.59,,,,,,,,,,,,,,,,,,,,2022-12-31
0.0,0.2555,540100000.0,253800000.0,162400000.0,1595000000.0,540100000.0,377700000.0,-36800000.0,36800000.0,253800000.0,253800000.0,2044200000.0,305783133.0,305783133.0,0.83,0.83,253800000.0,253800000.0,0.0,253800000.0,253800000.0,253800000.0,87100000.0,340900000.0,-969700000.0,-36800000.0,36800000.0,1347400000.0,449200000.0,162400000.0,162400000.0,1796600000.0,1595000000.0,3391600000.0,3391600000.0,2024-06-30 00:00:00
