Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
-462972166.998012,0.342942,64030000000.0,-1350000000.0,-1350000000.0,12990000000.0,21940000000.0,281070000000.0,62680000000.0,40740000000.0,-20620000000.0,20620000000.0,13877027833.001987,12990000000.0,417160000000.0,,,,,12990000000.0,12990000000.0,0.0,12990000000.0,-230000000.0,13220000000.0,13220000000.0,6900000000.0,20120000000.0,3770000000.0,-1350000000.0,1350000000.0,0.0,-20620000000.0,20620000000.0,39300000000.0,136090000000.0,108870000000.0,21940000000.0,21940000000.0,175390000000.0,281070000000.0,456460000000.0,456460000000.0,2024-03-31
0.0,0.25825,73580000000.0,0.0,0.0,24150000000.0,20590000000.0,230980000000.0,73580000000.0,52990000000.0,-19960000000.0,19960000000.0,24150000000.0,24150000000.0,362160000000.0,2444331984.0,2434475806.0,9.88,9.92,24150000000.0,24150000000.0,0.0,24150000000.0,-350000000.0,24500000000.0,24500000000.0,8530000000.0,33030000000.0,1940000000.0,0.0,,,-19960000000.0,19960000000.0,51210000000.0,131180000000.0,104800000000.0,20590000000.0,20590000000.0,182390000000.0,230980000000.0,413370000000.0,413370000000.0,2023-12-31
2327738276.990185,0.395202,80990000000.0,5890000000.0,5890000000.0,27600000000.0,20190000000.0,261810000000.0,86880000000.0,66690000000.0,-20840000000.0,20840000000.0,24037738276.990185,27600000000.0,379670000000.0,2436010591.0,2425307557.0,11.33,11.38,27600000000.0,27600000000.0,0.0,27600000000.0,-130000000.0,27730000000.0,27730000000.0,18120000000.0,45850000000.0,2370000000.0,5890000000.0,1910000000.0,-7800000000.0,-20840000000.0,20840000000.0,58670000000.0,117860000000.0,94200000000.0,20190000000.0,20190000000.0,176530000000.0,261810000000.0,438340000000.0,438340000000.0,2023-09-30
0.0,0.302299,73430000000.0,0.0,0.0,23380000000.0,19000000000.0,242920000000.0,73430000000.0,54430000000.0,-19630000000.0,19630000000.0,23380000000.0,23380000000.0,366250000000.0,2417786970.0,2405349794.0,9.67,9.72,23380000000.0,23380000000.0,0.0,23380000000.0,-900000000.0,24280000000.0,24280000000.0,10520000000.0,34800000000.0,3310000000.0,0.0,,,-19630000000.0,19630000000.0,51460000000.0,123330000000.0,97140000000.0,19000000000.0,19000000000.0,174790000000.0,242920000000.0,417710000000.0,417710000000.0,2023-06-30
95646034.361026,0.119558,77190000000.0,800000000.0,800000000.0,36640000000.0,20090000000.0,346460000000.0,77990000000.0,57900000000.0,-11930000000.0,15410000000.0,35935646034.36102,36640000000.0,383300000000.0,,,,,36640000000.0,36640000000.0,0.0,36640000000.0,-770000000.0,37410000000.0,37410000000.0,5080000000.0,42490000000.0,-4470000000.0,750000000.0,,,-11930000000.0,15410000000.0,80160000000.0,36840000000.0,-85940000000.0,20090000000.0,18400000000.0,117000000000.0,346460000000.0,463460000000.0,463460000000.0,2023-03-31
,,,,,,,,,,,,,,,2413793103.0,2401960784.0,2.03,2.04,,,,,,,,,,,,,,,,,,,,,,,,,2022-12-31
0.0,0.371739,56620000000.0,0.0,0.0,8450000000.0,22090000000.0,258300000000.0,56620000000.0,34530000000.0,-20730000000.0,20730000000.0,8450000000.0,8450000000.0,390360000000.0,2449275362.0,2435158501.0,3.45,3.47,8450000000.0,8450000000.0,0.0,8450000000.0,-220000000.0,8670000000.0,8670000000.0,5130000000.0,13800000000.0,1640000000.0,0.0,,,-20730000000.0,20730000000.0,33010000000.0,132060000000.0,103550000000.0,22090000000.0,22090000000.0,165070000000.0,258300000000.0,423370000000.0,423370000000.0,2024-06-30 00:00:00
