Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Financial Assets Designatedas Fair Value Through Profitor Loss Total
,66948366.0,66948366.0,,1046940000.0,5892910000.0,8930360000.0,4226180000.0,5892910000.0,517930000.0,8401350000.0,8401690000.0,8460810000.0,59460000.0,8401350000.0,7731870000.0,,,669480000.0,669480000.0,6887190000.0,1251080000.0,,,117030000.0,325570000.0,325230000.0,340000.0,496850000.0,5636110000.0,813279000.0,,721370000.0,192700000.0,528670000.0,,401131000.0,872380000.0,,79770000.0,792610000.0,15348000000.0,5485710000.0,54670000.0,,474460000.0,280790000.0,280790000.0,2508440000.0,560540000.0,1947900000.0,1166620000.0,,1166620000.0,103590000.0,1063030000.0,,,,9862290000.0,256270000.0,,,69910000.0,,,496900000.0,5039000000.0,,,4000210000.0,3164050000.0,836160000.0,,,2024-03-31,
,66702688.0,66702688.0,1321030000.0,2643490000.0,5369230000.0,10109470000.0,4962220000.0,5369230000.0,453010000.0,7918990000.0,7918990000.0,7963400000.0,44410000.0,7918990000.0,7251960000.0,,,667030000.0,667030000.0,11427680000.0,2187420000.0,560470000.0,,139410000.0,285190000.0,285190000.0,0.0,,9240260000.0,681280000.0,,2358300000.0,167820000.0,2190480000.0,243690000.0,107540000.0,1080130000.0,,111360000.0,968770000.0,19391080000.0,5188600000.0,37810000.0,,548860000.0,205410000.0,205410000.0,2549760000.0,601860000.0,1947900000.0,1000480000.0,,1000480000.0,4230000.0,996250000.0,,,,14202480000.0,235010000.0,,,73880000.0,,,456430000.0,5280330000.0,,,8156830000.0,7287380000.0,869450000.0,,,2023-09-30,
0.0,52952467.0,52952467.0,618710000.0,2198630000.0,1222700000.0,5574310000.0,1025330000.0,1222700000.0,433250000.0,3808930000.0,3988180000.0,3878110000.0,69180000.0,3808930000.0,53890000.0,2554320000.0,623040000.0,529520000.0,529520000.0,8291360000.0,2299180000.0,539490000.0,1138710000.0,157500000.0,463480000.0,284230000.0,179250000.0,,5992180000.0,683900000.0,60640000.0,1735150000.0,149020000.0,1586130000.0,330970000.0,,3839130000.0,3045820000.0,,793310000.0,12169470000.0,5151960000.0,,153220000.0,488070000.0,98330000.0,98330000.0,2586230000.0,638330000.0,1947900000.0,1025990000.0,-449460000.0,1475450000.0,15960000.0,,978590000.0,480900000.0,0.0,7017510000.0,59920000.0,89290000.0,236360000.0,69860000.0,47510000.0,22350000.0,1602550000.0,3359880000.0,-126910000.0,3486790000.0,1599650000.0,452980000.0,1146670000.0,282030000.0,864640000.0,2023-03-31,
