Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Payables,Other Payable,Dividends Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
2930605850.0,2930605850.0,66451200000.0,66619100000.0,154882500000.0,221400300000.0,-497900000.0,154882500000.0,101400000.0,154882600000.0,197492700000.0,154882600000.0,154882600000.0,125576500000.0,,,29306100000.0,29306100000.0,138800600000.0,67736800000.0,1000000.0,,42710400000.0,100300000.0,42610100000.0,71063800000.0,2078600000.0,23908700000.0,1100000.0,23907600000.0,,25027100000.0,,,25027100000.0,293683200000.0,223117300000.0,706900000.0,,6500600000.0,1032100000.0,1032100000.0,100000.0,100000.0,214877600000.0,,214877600000.0,12148900000.0,202728700000.0,,,,,70565900000.0,25050800000.0,0.0,,,37034200000.0,,,,,,106300000.0,370100000.0,,,8004500000.0,7938000000.0,66500000.0,,2024-03-31
2930605850.0,2930605850.0,48559400000.0,51798100000.0,169174700000.0,220972900000.0,-1478400000.0,169174700000.0,0.0,169174800000.0,212925500000.0,169174800000.0,169174800000.0,139868700000.0,,,29306100000.0,29306100000.0,106350100000.0,68780600000.0,,,43750700000.0,0.0,43750700000.0,37569500000.0,2814200000.0,8047400000.0,0.0,8047400000.0,,7162800000.0,,,7162800000.0,275524900000.0,239433800000.0,21340900000.0,,529200000.0,1033600000.0,1033600000.0,100000.0,100000.0,216530000000.0,,216530000000.0,15673300000.0,200856700000.0,,,,,36091100000.0,2098600000.0,0.0,,,22277700000.0,,,,,,33400000.0,568500000.0,,,11112900000.0,7874200000.0,3238700000.0,,2023-09-30
2930605850.0,2930605850.0,32207400000.0,38418800000.0,170485600000.0,208904600000.0,4993200000.0,170485600000.0,0.0,170485800000.0,208668800000.0,170485800000.0,170485800000.0,,0.0,0.0,29306100000.0,29306100000.0,85196300000.0,63201700000.0,,0.0,38183000000.0,0.0,38183000000.0,21994600000.0,1668800000.0,235800000.0,0.0,235800000.0,0.0,19235500000.0,15334900000.0,0.0,3900600000.0,255682100000.0,228694300000.0,400000.0,3409400000.0,0.0,0.0,,200000.0,200000.0,206636600000.0,-1409800000.0,208046400000.0,195452300000.0,1937700000.0,1225500000.0,7979800000.0,1451100000.0,0.0,26987800000.0,-40000.0,0.0,8580740000.0,3070100000.0,8595400000.0,4400000.0,0.0,0.0,8591000000.0,195800000.0,0.0,0.0,0.0,0.0,6545800000.0,334400000.0,6211400000.0,6211400000.0,2023-03-31
