Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Preferred Securities Outside Stock Equity,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
29437000.0,29437000.0,3349187000.0,3356641000.0,2197031000.0,5553669000.0,1824000000.0,2197031000.0,3547000.0,2200575000.0,2678932000.0,2200575000.0,2200575000.0,1906205000.0,,,294370000.0,294370000.0,5478591000.0,567729000.0,,,,71552000.0,481825000.0,3468000.0,478357000.0,14352000.0,4910862000.0,110437000.0,2874816000.0,79000.0,2874737000.0,,2936000.0,1888449000.0,,,51515000.0,1836934000.0,7679166000.0,944304000.0,57887000.0,,91824000.0,91824000.0,3544000.0,3544000.0,791049000.0,,791049000.0,0.0,791049000.0,,,,,6734862000.0,269890000.0,,,2737993000.0,,,,,3447758000.0,,,279221000.0,275314000.0,3907000.0,,2024-03-31
29437000.0,29437000.0,3484924000.0,3500491000.0,2109638000.0,5609029000.0,1856092000.0,2109638000.0,3582000.0,2112120000.0,2753305000.0,2112120000.0,2112120000.0,1817750000.0,,,294370000.0,294370000.0,5384518000.0,732987000.0,-1000.0,,,74893000.0,644692000.0,3507000.0,641185000.0,13403000.0,4651531000.0,157128000.0,2855799000.0,75000.0,2855724000.0,,2503000.0,1580228000.0,,,46797000.0,1533431000.0,7496638000.0,989015000.0,64571000.0,,113952000.0,113952000.0,2482000.0,2482000.0,808010000.0,,808010000.0,7727000.0,800283000.0,,,,,6507623000.0,240189000.0,,,2630867000.0,,,,,3333342000.0,,,303225000.0,291240000.0,11985000.0,,2023-09-30
29437000.0,29437000.0,2904968000.0,2926494000.0,2062284000.0,4987452000.0,1754355000.0,2062284000.0,3618000.0,2064576000.0,2545914000.0,2064576000.0,2064576000.0,236824000.0,1362110000.0,150000000.0,294370000.0,294370000.0,5221137000.0,745495000.0,1000.0,167325000.0,13339000.0,79946000.0,484885000.0,3547000.0,481338000.0,13339000.0,4475642000.0,13386000.0,2441609000.0,71000.0,2441538000.0,2406000.0,2406000.0,1853045000.0,14068000.0,2084000.0,30304000.0,1806589000.0,7285713000.0,1055716000.0,68430000.0,120133000.0,10416000.0,10416000.0,2292000.0,2292000.0,824521000.0,-517781000.0,1342302000.0,6474000.0,818048000.0,1112546000.0,210752000.0,12530000.0,0.0,6229997000.0,1000.0,134253000.0,270392000.0,2647462000.0,-1000.0,2072786000.0,574677000.0,141986000.0,3017995000.0,-34555000.0,3052551000.0,17908000.0,247344000.0,17908000.0,17908000.0,2023-03-31
