Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Current Assets,Other Current Assets,Restricted Cash,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
0.0,19563986.0,19563986.0,1211361000.0,1379979000.0,1270957000.0,2639900000.0,1160617000.0,1270957000.0,13577000.0,1273498000.0,1273498000.0,1273498000.0,1273498000.0,1077858000.0,,,195640000.0,195640000.0,1464398000.0,51425000.0,15885000.0,31419000.0,,,,4121000.0,1412973000.0,,1379979000.0,13577000.0,1366402000.0,,9224000.0,1705000.0,,,7519000.0,2737896000.0,164306000.0,,,7474000.0,1635000.0,1635000.0,131611000.0,2541000.0,2541000.0,18149000.0,,18149000.0,18149000.0,,2573590000.0,7737000.0,,2268020000.0,,0.0,297833000.0,142792000.0,155041000.0,,2024-03-31
,19313986.0,19313986.0,796879000.0,851178000.0,1148167000.0,1985838000.0,1715841000.0,1148167000.0,14062000.0,1148722000.0,1985838000.0,1148722000.0,1148722000.0,955582000.0,,,193140000.0,193140000.0,928429000.0,880511000.0,5381000.0,,851178000.0,14062000.0,837116000.0,642000.0,47918000.0,,,,,,47918000.0,8659000.0,,39259000.0,,2077151000.0,313392000.0,6450000.0,,5452000.0,151726000.0,151726000.0,131611000.0,555000.0,555000.0,17598000.0,,17598000.0,17598000.0,,1763759000.0,,,1699494000.0,2908000.0,,61357000.0,21120000.0,40237000.0,,2023-09-30
,19313986.0,19313986.0,745403000.0,872408000.0,1119197000.0,1977948000.0,376060000.0,1119197000.0,13893000.0,1119433000.0,1487957000.0,1119433000.0,1119433000.0,926293000.0,390090000.0,358819000.0,193140000.0,193140000.0,911272000.0,378034000.0,78569000.0,0.0,378034000.0,9510000.0,368524000.0,,533238000.0,22132000.0,494374000.0,4383000.0,489991000.0,700000.0,15906000.0,14024000.0,1882000.0,22132000.0,0.0,2030705000.0,1121409000.0,946000.0,9165000.0,4091000.0,156036000.0,156036000.0,131611000.0,236000.0,236000.0,12668000.0,-24870000.0,37538000.0,8320000.0,29218000.0,909298000.0,10175000.0,1876000.0,784135000.0,2908000.0,0.0,113112000.0,1876000.0,113112000.0,113112000.0,2023-03-31
