Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Defined Pension Benefit,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Financial Assets,Other Investments,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Joint Venturesat Cost,Investmentsin Associatesat Cost,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Hedging Assets Current,Assets Held For Sale Current,Restricted Cash,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Treasury Shares Number,Current Debt And Capital Lease Obligation,Current Debt,Current Provisions,Other Current Assets,Prepaid Assets
224663700.0,224663700.0,503124000000.0,535859300000.0,263358700000.0,801429800000.0,617927500000.0,263358700000.0,265570500000.0,801429800000.0,265570500000.0,,265570500000.0,265121200000.0,,,449300000.0,449300000.0,560479500000.0,555348300000.0,4169200000.0,,,,535859300000.0,535859300000.0,1074500000.0,5131200000.0,,5131200000.0,,2186000000.0,2945200000.0,826050000000.0,202991300000.0,4838500000.0,,,28755500000.0,541800000.0,,134770100000.0,134770100000.0,,,,25573000000.0,2211800000.0,2191800000.0,20000000.0,6300600000.0,,6300600000.0,,6300600000.0,,,,,623058700000.0,,17083400000.0,,,,,,549969500000.0,11409000000.0,128800000.0,,,44468000000.0,11732700000.0,32735300000.0,,,2024-03-31,,,,,,
224663700.0,224663700.0,470026700000.0,497999000000.0,285331600000.0,785100300000.0,563642500000.0,285331600000.0,287101300000.0,785100300000.0,287101300000.0,,287101300000.0,286652000000.0,,,449300000.0,449300000.0,529349800000.0,519228500000.0,3329600000.0,,,,497999000000.0,497999000000.0,1568000000.0,10121300000.0,,10121300000.0,,5772600000.0,4348700000.0,816451100000.0,242687300000.0,5103300000.0,,,16709100000.0,480600000.0,,190016000000.0,190016000000.0,,,,23018000000.0,1769700000.0,1749700000.0,20000000.0,5590600000.0,,5590600000.0,5000000.0,5585600000.0,,,,,573763800000.0,,22775400000.0,,,,,,497652800000.0,13799400000.0,374400000.0,,,39161800000.0,11189500000.0,27972300000.0,,,2023-09-30,,,,,,
238663700.0,238663700.0,457818500000.0,495108500000.0,306567600000.0,805699300000.0,537135500000.0,306567600000.0,310590800000.0,805699300000.0,310590800000.0,0.0,310590800000.0,600000.0,156400900000.0,114833800000.0,477300000.0,477300000.0,526930600000.0,515006700000.0,-200000.0,421300000.0,1404300000.0,0.0,495108500000.0,495108500000.0,1225000000.0,11923900000.0,719600000.0,11204300000.0,719600000.0,7211600000.0,3992700000.0,837521400000.0,288462000000.0,3643900000.0,45000000.0,772300000.0,18471800000.0,,190980000000.0,25397800000.0,25397800000.0,16375200000.0,16374800000.0,400000.0,23102600000.0,4023200000.0,1301500000.0,2721700000.0,5564200000.0,-1118100000.0,6682300000.0,0.0,2202500000.0,1578100000.0,2896800000.0,4900000.0,0.0,549059400000.0,981100000.0,22775400000.0,221400000.0,0.0,0.0,0.0,0.0,463946300000.0,14671800000.0,194000000.0,-34600000.0,228600000.0,46269400000.0,8979400000.0,37290000000.0,0.0,37290000000.0,2023-03-31,,,,,,
238663700.0,238663700.0,406770000000.0,467090000000.0,312410000000.0,467090000000.0,,312410000000.0,312410000000.0,779500000000.0,312410000000.0,,312410000000.0,,,,,,467090000000.0,467090000000.0,,,,,467090000000.0,467090000000.0,,467090000000.0,,,,,,779500000000.0,719170000000.0,26180000000.0,,,,583820000000.0,,89550000000.0,89550000000.0,,,,,,,,19620000000.0,,19620000000.0,,19620000000.0,,,,,60320000000.0,648670000000.0,,,,,,,,,,,,60320000000.0,,60320000000.0,,,2022-12-31,,,,,,
