Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Amortization,Depreciation Income Statement,Selling General And Administration,General And Administrative Expense,Rent And Landing Fees,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.318688,2641100000.0,,,1572400000.0,289600000.0,8607200000.0,2641100000.0,2351500000.0,-43600000.0,43600000.0,,1572400000.0,1572400000.0,10900400000.0,,,,,,1572400000.0,1572400000.0,0.0,1572400000.0,1572400000.0,1572400000.0,735500000.0,2307900000.0,241400000.0,,,,,-43600000.0,43600000.0,,2110100000.0,2293200000.0,969000000.0,289600000.0,,289600000.0,1034600000.0,1034600000.0,,4403300000.0,8607200000.0,13010500000.0,13010500000.0,2024-03-31
0.0,0.27566,2672500000.0,,,1702200000.0,271700000.0,8428700000.0,2672500000.0,2400800000.0,-50800000.0,50800000.0,,1702200000.0,1702200000.0,10800600000.0,,406252983.0,405285714.0,4.19,4.2,1702200000.0,1702200000.0,0.0,1702200000.0,1702200000.0,1702200000.0,647800000.0,2350000000.0,306900000.0,,,,,-50800000.0,50800000.0,,2093900000.0,2371900000.0,955800000.0,271700000.0,,271700000.0,1144400000.0,1144400000.0,,4465800000.0,8428700000.0,12894500000.0,12894500000.0,2023-12-31
46526735.088171,0.168149,2622270000.0,276700000.0,276700000.0,2165700000.0,250220000.0,8496390000.0,2898970000.0,2648750000.0,141600000.0,45280000.0,186880000.0,1935526735.088171,2165700000.0,11834800000.0,3790000.0,,,,,2165700000.0,2165700000.0,0.0,2165700000.0,2165700000.0,2165700000.0,437770000.0,2603470000.0,37790000.0,279660000.0,-279660000.0,0.0,0.0,141600000.0,45280000.0,186880000.0,2176240000.0,3338410000.0,908630000.0,250220000.0,48840000.0,201380000.0,1874080000.0,1874080000.0,3790000.0,5514650000.0,8496390000.0,14011040000.0,14011040000.0,2023-03-31
0.0,0.237082,2237700000.0,14470000.0,14470000.0,1483800000.0,239190000.0,6665900000.0,2237700000.0,1998500000.0,-53600000.0,53600000.0,121950000.0,1483800000.0,1483800000.0,9420600000.0,28010000.0,405668530.0,405668530.0,3.657666,3.657666,1483800000.0,1483800000.0,0.0,1483800000.0,1483800000.0,1483800000.0,461100000.0,1944900000.0,180200000.0,14470000.0,-14470000.0,0.0,0.0,-53600000.0,53600000.0,121950000.0,1818300000.0,2754700000.0,1061300000.0,239200000.0,44190000.0,239200000.0,1454200000.0,1454200000.0,28010000.0,4573000000.0,6665900000.0,11238900000.0,11238900000.0,2022-12-31
0.0,0.262293,2540800000.0,,,1620300000.0,297100000.0,8390900000.0,2540800000.0,2243700000.0,-47300000.0,47300000.0,,1620300000.0,1620300000.0,10676000000.0,,406090226.0,406090226.0,3.99,3.99,1620300000.0,1620300000.0,0.0,1620300000.0,1620300000.0,1620300000.0,576100000.0,2196400000.0,230000000.0,,,,,-47300000.0,47300000.0,,2013700000.0,2285100000.0,1082100000.0,297100000.0,,297100000.0,905900000.0,905900000.0,,4298800000.0,8390900000.0,12689700000.0,12689700000.0,2024-06-30 00:00:00
0.0,0.248052,2441420000.0,,,1603710000.0,261710000.0,7559090000.0,2441420000.0,2179710000.0,229440000.0,46970000.0,,1603710000.0,1603710000.0,10783880000.0,,,,,,1603710000.0,1603710000.0,0.0,1603710000.0,1603710000.0,1603710000.0,529030000.0,2132740000.0,-258960000.0,,,,,229440000.0,46970000.0,,1881190000.0,3224790000.0,711660000.0,261710000.0,,183870000.0,1586270000.0,1586270000.0,,5105980000.0,7559090000.0,12665070000.0,12665070000.0,2023-09-30 00:00:00
0.0,0.242905,2813300000.0,,,1915300000.0,235700000.0,7461500000.0,2813300000.0,2577600000.0,-47800000.0,47800000.0,,1915300000.0,1915300000.0,10306400000.0,,405668530.0,405668530.0,4.721342,4.721342,1915300000.0,1915300000.0,0.0,1915300000.0,1915300000.0,1915300000.0,614500000.0,2529800000.0,308700000.0,,,,,-47800000.0,47800000.0,,2268900000.0,2844900000.0,1099600000.0,235700000.0,,235700000.0,1509600000.0,1509600000.0,,5113800000.0,7461500000.0,12575300000.0,12575300000.0,2023-06-30 00:00:00
