Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Fixed Assets Revaluation Reserve,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Long Term Debt And Capital Lease Obligation,Payables,Accounts Payable,Total Assets,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Associatesat Cost,Investmentsin Subsidiariesat Cost,Goodwill And Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Properties,Prepaid Assets,Receivables,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Cash Cash Equivalents And Federal Funds Sold
0.0,8924611934.0,8924611934.0,3130372000000.0,6396095000000.0,4149391700000.0,10545486700000.0,4149391700000.0,4149391700000.0,10545486700000.0,4305571300000.0,156179600000.0,4149391700000.0,,,,8924600000.0,8924600000.0,63032216700000.0,6396095000000.0,,,67337788000000.0,21105482300000.0,21105482300000.0,,,,,,,447081800000.0,,,,,,,,3265723000000.0,,2253563300000.0,2024-03-31,
,8924611934.0,8924611934.0,3089060300000.0,5907590400000.0,4060537500000.0,9968127900000.0,4060537500000.0,4060537500000.0,9968127900000.0,4211109100000.0,150571600000.0,4060537500000.0,,,,8924600000.0,8924600000.0,60719402500000.0,5907590400000.0,,,64930511600000.0,21043447100000.0,21043447100000.0,,,,,,,445532500000.0,,,,,,,,2818530100000.0,,2114161600000.0,2023-12-31,
,8924611934.0,8924611934.0,1856438800000.0,5478991300000.0,3941517600000.0,9420508900000.0,3941517600000.0,3941517600000.0,9420508900000.0,4084585000000.0,143067400000.0,3941517600000.0,,,,8924600000.0,8924600000.0,59085940400000.0,5478991300000.0,,,63170525400000.0,20795317500000.0,20795317500000.0,,,,,,,443856700000.0,,,,,,,,3622552500000.0,,2603458600000.0,2023-09-30,
,8924611934.0,8924611934.0,1477710000000.0,4440414700000.0,3775864800000.0,8216279500000.0,3775864800000.0,3775864800000.0,8216279500000.0,3912789500000.0,136924700000.0,3775864800000.0,,,,8924600000.0,8924600000.0,56160135000000.0,4440414700000.0,,,60072924500000.0,19386144900000.0,19386144900000.0,,,,,,,443560000000.0,,,,,,,,2962704700000.0,,2162911000000.0,2023-06-30,
,8924611934.0,8924611934.0,2028400400000.0,5220926306000.0,3573929554000.0,8810239487000.0,3573929554000.0,3589313181000.0,8810239487000.0,3717679375000.0,128366194000.0,3589313181000.0,277562590000.0,419233028000.0,791154768000.0,8924612000.0,8924612000.0,55826503795000.0,5220926306000.0,274950255000.0,274950255000.0,59544183170000.0,19131078564000.0,18969186428000.0,797507703000.0,161892136000.0,1760239000.0,160131897000.0,15383627000.0,15383627000.0,444073810000.0,-366053269000.0,810127079000.0,3835664000.0,446831650000.0,359459765000.0,168897362000.0,2264466803000.0,5369031044000.0,113481426000.0,216284177000.0,2023-03-31,
,8924611934.0,8924611934.0,3240272900000.0,6273661500000.0,4390575700000.0,10664237200000.0,4390575700000.0,4390575700000.0,10664237200000.0,4558999000000.0,168423300000.0,4390575700000.0,,,,8924600000.0,8924600000.0,63188199000000.0,6273661500000.0,,,67747198000000.0,20956601700000.0,20956601700000.0,,,,,,,446241700000.0,,,,,,,,3033388600000.0,,2152778100000.0,2024-06-30 00:00:00,
