Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Rent And Landing Fees,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS
-96437887.62665,0.216035,5587800000.0,-446400000.0,-446400000.0,2042700000.0,54500000.0,855000000.0,5141400000.0,5086900000.0,-2508400000.0,2481300000.0,2392662112.37335,2042700000.0,1495100000.0,20300000.0,2042700000.0,2042700000.0,0.0,2042700000.0,2042700000.0,2042700000.0,562900000.0,2605600000.0,300000.0,-446400000.0,1000000.0,445400000.0,-2508400000.0,27100000.0,2481300000.0,5560100000.0,640100000.0,251800000.0,54500000.0,54500000.0,141800000.0,61800000.0,80000000.0,20300000.0,6200200000.0,855000000.0,7055200000.0,7055200000.0,2023-12-31,,,,
188976119.402985,0.216418,3061500000.0,873200000.0,873200000.0,1407000000.0,44100000.0,850800000.0,3934700000.0,3890600000.0,-2134600000.0,2095000000.0,722776119.402985,1407000000.0,1435000000.0,19800000.0,1407000000.0,1407000000.0,0.0,1407000000.0,1407000000.0,1407000000.0,388600000.0,1795600000.0,-2000000.0,873200000.0,247800000.0,-1121000000.0,-2134600000.0,39600000.0,2095000000.0,3059000000.0,584200000.0,234700000.0,44100000.0,44100000.0,187300000.0,79400000.0,107900000.0,19800000.0,3643200000.0,850800000.0,4494000000.0,4494000000.0,2023-03-31,,,,
-77679613.3741,0.217773,4460300000.0,-356700000.0,-356700000.0,1586200000.0,42000000.0,749000000.0,4103600000.0,4061600000.0,-2066400000.0,2033800000.0,1865220386.6259,1586200000.0,1211500000.0,15300000.0,1586200000.0,1586200000.0,0.0,1586200000.0,1586200000.0,1586200000.0,441600000.0,2027800000.0,3900000.0,-356700000.0,400000.0,356300000.0,-2066400000.0,32600000.0,2033800000.0,4447000000.0,462500000.0,200600000.0,42000000.0,42000000.0,111200000.0,32300000.0,78900000.0,15300000.0,4909500000.0,749000000.0,5658500000.0,5658500000.0,2022-12-31,,,,
29411250.194371,0.221972,5271100000.0,132500000.0,132500000.0,2001400000.0,61100000.0,1106400000.0,5403600000.0,5342500000.0,-2770100000.0,2770100000.0,1898311250.194371,2001400000.0,1602200000.0,,2001400000.0,2001400000.0,0.0,2001400000.0,2001400000.0,2001400000.0,571000000.0,2572400000.0,100000.0,132500000.0,,-132500000.0,-2770100000.0,,2770100000.0,5209900000.0,495800000.0,434700000.0,61100000.0,61100000.0,,,,,5705700000.0,1106400000.0,6812100000.0,6812100000.0,2024-06-30 00:00:00,429484979.0,411810700.0,4.66,4.86
52654541.142993,0.22022,4644000000.0,239100000.0,239100000.0,1973000000.0,49500000.0,724800000.0,4883100000.0,4833600000.0,-2386200000.0,2303400000.0,1786554541.142993,1973000000.0,1353700000.0,,1973000000.0,1973000000.0,0.0,1973000000.0,1973000000.0,1973000000.0,557200000.0,2530200000.0,,239100000.0,,-240400000.0,-2386200000.0,,2303400000.0,4676100000.0,628900000.0,111000000.0,49500000.0,49500000.0,,,,,5305000000.0,724800000.0,6029800000.0,6029800000.0,2023-09-30 00:00:00,,,,
-21794802.561366,0.219264,4375100000.0,-99400000.0,-99400000.0,1463100000.0,48200000.0,963600000.0,4275700000.0,4227500000.0,-2353500000.0,2353500000.0,1540705197.438634,1463100000.0,1389000000.0,,1463100000.0,1463100000.0,0.0,1463100000.0,1463100000.0,1463100000.0,410900000.0,1874000000.0,,-99400000.0,,99400000.0,-2353500000.0,,2353500000.0,4326900000.0,425400000.0,377200000.0,48200000.0,48200000.0,,,,,4752300000.0,963600000.0,5715900000.0,5715900000.0,2023-06-30 00:00:00,426518505.0,426518505.0,3.430332,3.430332
