Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Current Provisions,Payables,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Investmentin Financial Assets,Investment Properties,Goodwill And Other Intangible Assets,Net PPE,Current Assets,Other Current Assets,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Date,Treasury Shares Number,Retained Earnings,Additional Paid In Capital,Other Current Liabilities,Other Payable,Total Tax Payable,Non Current Prepaid Assets,Held To Maturity Securities,Available For Sale Securities,Long Term Equity Investment,Investmentsin Associatesat Cost,Other Intangible Assets,Accumulated Depreciation,Gross PPE,Machinery Furniture Equipment,Restricted Cash,Prepaid Assets,Inventory,Other Receivables,Cash Equivalents,Cash Financial
29436275.0,29436275.0,21012000.0,300145000.0,321157000.0,165637000.0,300145000.0,300145000.0,321145000.0,300145000.0,300145000.0,152964000.0,147181000.0,147181000.0,178816000.0,139283000.0,3301000.0,1295000.0,21000000.0,21000000.0,113687000.0,39533000.0,12000.0,12000.0,210000.0,26646000.0,26646000.0,478961000.0,273791000.0,30928000.0,225349000.0,13725000.0,0.0,3789000.0,205170000.0,11643000.0,1987000.0,191540000.0,5329000.0,186211000.0,2024-03-31,,,,,,,,,,,,,,,,,,,,,
29436275.0,29436275.0,21000000.0,298180000.0,319190000.0,145058000.0,298180000.0,298190000.0,319190000.0,298190000.0,298190000.0,151009000.0,147181000.0,147181000.0,149987000.0,131528000.0,,1260000.0,21000000.0,21000000.0,105902000.0,18459000.0,,,,9553000.0,9553000.0,448177000.0,284660000.0,33932000.0,232766000.0,13852000.0,10000.0,4100000.0,163517000.0,2321000.0,1550000.0,159646000.0,3982000.0,155664000.0,2023-09-30,,,,,,,,,,,,,,,,,,,,,
29436275.0,29436275.0,21000000.0,228076000.0,249089000.0,154920000.0,228076000.0,228089000.0,249089000.0,228089000.0,228089000.0,,147181000.0,147181000.0,147079000.0,132397000.0,-20000.0,1260000.0,21000000.0,21000000.0,106753000.0,14682000.0,0.0,0.0,210000.0,13078000.0,5568000.0,375168000.0,205566000.0,,167991000.0,13983000.0,13000.0,4370000.0,169602000.0,,4277000.0,94430000.0,,94430000.0,2023-03-31 00:00:00,,-29007000.0,16907000.0,20000.0,7055000.0,455000.0,19209000.0,2525000.0,165466000.0,0.0,0.0,13000.0,-4403000.0,8773000.0,8773000.0,69000000.0,836000.0,0.0,1059000.0,81535000.0,12895000.0
