Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Derivative Product Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Accrued Expenses,Tradeand Other Payables Non Current,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Financial Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Current Deferred Assets,Restricted Cash,Prepaid Assets,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Current Deferred Taxes Liabilities,Defined Pension Benefit,Held To Maturity Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total
22522.0,188975477.0,188997999.0,7386530000.0,23885850000.0,41357700000.0,103381670000.0,24277840000.0,41357700000.0,8450180000.0,87946000000.0,87946000000.0,87946000000.0,87946000000.0,86055950000.0,,,1890050000.0,1890050000.0,53356380000.0,11310150000.0,150080000.0,,,,,1299120000.0,6750160000.0,6750160000.0,687800000.0,42046230000.0,3079590000.0,17135690000.0,1700020000.0,15435670000.0,,2792310000.0,10717450000.0,,,2734320000.0,7983130000.0,141302380000.0,74978310000.0,1307420000.0,,,2856510000.0,,5682360000.0,5682360000.0,46588300000.0,4795620000.0,41792680000.0,9352360000.0,,9352360000.0,136930000.0,9215430000.0,,,,66324070000.0,5939830000.0,,,,,341970000.0,,24255630000.0,,,35786640000.0,27737500000.0,8049140000.0,,,2024-03-31,,,,
,188581060.0,188581060.0,,15803310000.0,41997640000.0,85699820000.0,26592490000.0,41997640000.0,9206520000.0,79103030000.0,79103030000.0,79103030000.0,79103030000.0,77217150000.0,,,1885880000.0,1885880000.0,43977190000.0,12723230000.0,,,518780000.0,,149430000.0,1046770000.0,7532300000.0,7532300000.0,,31253960000.0,2408230000.0,8271010000.0,1674220000.0,6596790000.0,1440450000.0,1991200000.0,11207950000.0,,,3028430000.0,8179520000.0,123080220000.0,65233770000.0,1524370000.0,,,2628400000.0,,5386360000.0,5386360000.0,37105390000.0,3130430000.0,33974960000.0,10180860000.0,,10180860000.0,3720000.0,10177140000.0,,,,57846450000.0,6461300000.0,,,,,136830000.0,,23836200000.0,,,27412120000.0,16959490000.0,10452630000.0,,,2023-09-30,,,,
,188400043.0,188400043.0,,10527660000.0,48199310000.0,81333150000.0,31551890000.0,48199310000.0,8542900000.0,79348390000.0,79348390000.0,79348390000.0,79348390000.0,2034420000.0,59600210000.0,2463630000.0,1884070000.0,1884070000.0,36746200000.0,8767840000.0,,177410000.0,375830000.0,150700000.0,218470000.0,1029610000.0,6815820000.0,6815820000.0,,27978360000.0,2431850000.0,3711840000.0,1727080000.0,1984760000.0,1310500000.0,1110220000.0,15148160000.0,4274560000.0,22530000.0,2210920000.0,8640150000.0,116094590000.0,56564340000.0,1503830000.0,746940000.0,279400000.0,2422400000.0,23250000.0,3849850000.0,3849850000.0,31149080000.0,1563190000.0,29585890000.0,9772720000.0,-8024060000.0,17796780000.0,54600000.0,120000.0,5596600000.0,12145460000.0,0.0,59530250000.0,8387790000.0,159880000.0,769960000.0,22530000.0,3042140000.0,14925570000.0,5139730000.0,11255230000.0,-847030000.0,12102260000.0,24215210000.0,13774080000.0,10441130000.0,427000000.0,10014130000.0,2023-03-31,,,,
56627.0,189168688.0,189225315.0,,18201290000.0,40235420000.0,96496000000.0,24470170000.0,40235420000.0,8397500000.0,86692210000.0,86692210000.0,86692210000.0,86692210000.0,84799880000.0,,,1892330000.0,1892330000.0,49125370000.0,10900390000.0,,,,,,1362380000.0,6601550000.0,6601550000.0,591450000.0,38224980000.0,2656300000.0,11599740000.0,1795950000.0,9803790000.0,,3058220000.0,11799330000.0,,,3139830000.0,8659500000.0,135817580000.0,73122430000.0,1746560000.0,,,3214710000.0,,2632630000.0,2632630000.0,46456790000.0,4300350000.0,42156440000.0,9123520000.0,,9123520000.0,0.0,9123520000.0,,,,62695150000.0,5555240000.0,,,,,164570000.0,,25528270000.0,,,31447070000.0,21322700000.0,10124370000.0,,,2024-09-30 00:00:00,,,,
