Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
11981666.0,11981666.0,,67893000.0,540807000.0,608729000.0,540228000.0,540807000.0,540836000.0,540836000.0,540836000.0,540836000.0,355868000.0,,,184968000.0,184968000.0,92528000.0,1609000.0,,,0.0,0.0,1609000.0,90919000.0,2263000.0,,67893000.0,67893000.0,,11835000.0,7027000.0,,7027000.0,633364000.0,2217000.0,,552000.0,,29000.0,,1636000.0,,,,,631147000.0,37722000.0,,458959000.0,,,,,,45687000.0,,,88779000.0,2572000.0,86207000.0,,2024-03-31
11981666.0,11981666.0,219745000.0,219801000.0,320397000.0,540213000.0,462344000.0,320397000.0,320412000.0,463332000.0,320412000.0,320412000.0,217712000.0,,,102700000.0,102700000.0,252985000.0,144399000.0,,,142920000.0,142920000.0,1479000.0,108586000.0,2718000.0,,76881000.0,76881000.0,,13706000.0,4171000.0,,4171000.0,573397000.0,2467000.0,,611000.0,0.0,15000.0,,1841000.0,,,,,570930000.0,35450000.0,,475897000.0,,,,,,59522000.0,,,61000.0,5000.0,56000.0,,2023-09-30
11981666.0,11981666.0,187025438.13,187180000.0,307351962.77,494554962.77,335664000.0,307351962.77,307374962.77,336944962.77,307374962.77,307374962.77,37.23,101217806.77,103457156.0,102700000.0,102700000.0,213754037.23,30967037.23,37.23,1397000.0,29570000.0,29570000.0,1397000.0,182787000.0,1599581.97,9116091.0,157610000.0,157610000.0,82465.0,40000.0,14338862.03,4016862.03,10322000.0,521129000.0,2678000.0,115.18,613000.0,0.0,23000.0,23000.0,2041884.82,-4754821.27,6796706.09,373650.0,6423056.09,518451000.0,1399.13,14872291.97,338370000.0,-402942068.73,159855951.64,402941644.0,178514473.09,139747.03,164913000.0,-797926.64,165711341.23,154561.87,5000.0,154561.87,154561.87,2023-03-31
