Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Derivative Product Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Non Current Deferred Revenue,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Taxes Assets,Financial Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
824939972.0,824939972.0,97672640000.0,104069130000.0,37889790000.0,142434840000.0,141110300000.0,37889790000.0,,38365710000.0,142434840000.0,38365710000.0,38365710000.0,37540770000.0,,,824940000.0,824940000.0,113131260000.0,111584650000.0,246180000.0,0.0,,,,104069130000.0,,104069130000.0,274900000.0,1546610000.0,,,,,,1546610000.0,211320000.0,,24530000.0,1310760000.0,151496970000.0,8840060000.0,1295170000.0,706250000.0,41050000.0,3110800000.0,3110800000.0,475920000.0,475920000.0,3210870000.0,,3210870000.0,790000.0,3210080000.0,,,,142656910000.0,,,,134264610000.0,279240000.0,1366850000.0,,,6746210000.0,349720000.0,6396490000.0,,,2024-03-31
824611376.0,824611376.0,77532940000.0,88010850000.0,36454560000.0,124843520000.0,120909180000.0,36454560000.0,,36832670000.0,124843520000.0,36832670000.0,36832670000.0,36420360000.0,,,412310000.0,412310000.0,94288510000.0,93103510000.0,106780000.0,56330000.0,,,,88010850000.0,,88010850000.0,253200000.0,1185000000.0,,,,,,1185000000.0,152010000.0,,21770000.0,1011220000.0,131121180000.0,9027000000.0,1341390000.0,554320000.0,,3404870000.0,3404870000.0,378110000.0,378110000.0,3348310000.0,,3348310000.0,2330000.0,3345980000.0,,,,122094180000.0,,,,110209950000.0,239790000.0,821300000.0,,,10823140000.0,345230000.0,10477910000.0,,,2023-09-30
824611376.0,824611376.0,60345060000.0,75112790000.0,35511270000.0,110767450000.0,10803340000.0,35511270000.0,1928870000.0,35654660000.0,89895040000.0,35654660000.0,35654660000.0,253450000.0,12087830000.0,18834530000.0,412310000.0,412310000.0,82291490000.0,56173490000.0,11270000.0,75720000.0,144850000.0,3080000.0,134690000.0,54240380000.0,1928870000.0,54240380000.0,131440000.0,26118000000.0,11270000.0,20872410000.0,20872410000.0,143560000.0,83520000.0,1100260000.0,121520000.0,190000.0,12920000.0,965820000.0,117946150000.0,81024800000.0,333760000.0,476090000.0,,1301830000.0,1301830000.0,143390000.0,143390000.0,2865130000.0,-700300000.0,3565430000.0,25220000.0,2324910000.0,1025900000.0,189400000.0,0.0,36921340000.0,848170000.0,213440000.0,195040000.0,18970550000.0,195040000.0,322340000.0,-11400000.0,333740000.0,16371800000.0,1604070000.0,14767730000.0,11352230000.0,3415500000.0,2023-03-31
