Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Preferred Securities Outside Stock Equity,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Other Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date,Non Current Pension And Other Postretirement Benefit Plans,Current Deferred Taxes Liabilities,Pensionand Other Post Retirement Benefit Plans Current,Other Investments,Long Term Equity Investment,Investments In Other Ventures Under Equity Method,Investmentsin Associatesat Cost
,914066006.0,914066006.0,54207000.0,73766000.0,1171076000.0,1244842000.0,-183204000.0,1171076000.0,1171076000.0,1243532000.0,1171076000.0,1171076000.0,257010000.0,,,914066000.0,914066000.0,845521000.0,75317000.0,,,2519000.0,72456000.0,72456000.0,342000.0,770204000.0,242958000.0,1310000.0,1310000.0,,501129000.0,,,34294000.0,466835000.0,2016597000.0,1429597000.0,10000.0,,0.0,358463000.0,358463000.0,,377916000.0,,,,,,,587000000.0,176533000.0,,,,390373000.0,20094000.0,535000.0,19559000.0,,2024-03-31,,,,,,,
,914066006.0,914066006.0,3034000.0,9977000.0,1117886000.0,1127863000.0,476869000.0,1117886000.0,1117886000.0,1118136000.0,1117886000.0,1117886000.0,660853000.0,,,457033000.0,457033000.0,784284000.0,249000.0,-1000.0,,0.0,250000.0,250000.0,,784035000.0,183306000.0,9727000.0,9727000.0,68000.0,590699000.0,,,35027000.0,555672000.0,1902170000.0,641266000.0,,,27000.0,238314000.0,238314000.0,0.0,396476000.0,,396476000.0,396476000.0,,,,1260904000.0,73294000.0,,,853439000.0,308975000.0,25196000.0,18253000.0,6943000.0,,2023-09-30,,,,,,,
0.0,914066006.0,914066006.0,229428000.0,284500000.0,754089000.0,1038589000.0,230216000.0,754089000.0,754089000.0,754089000.0,754089000.0,754089000.0,297055000.0,-351360000.0,633291000.0,457033000.0,457033000.0,855572000.0,250000.0,,250000.0,0.0,250000.0,250000.0,,855322000.0,3640000.0,284500000.0,284500000.0,90000.0,263672000.0,16892000.0,225000.0,5730000.0,240825000.0,1609661000.0,524123000.0,26000.0,3726000.0,27000.0,120000000.0,123726000.0,0.0,400370000.0,-260000.0,400630000.0,369000.0,100261000.0,300000000.0,0.0,1085538000.0,10141000.0,570000.0,10140000.0,826429000.0,103479000.0,144920000.0,89848000.0,55072000.0,55072000.0,2023-03-31,,,,,,,
