Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Other Special Charges,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Total Revenue,Operating Revenue,Date
0.0,0.262393,,,10652300000.0,751800000.0,23584000000.0,25794000000.0,49378000000.0,10652300000.0,10652300000.0,,,,,10652300000.0,10652300000.0,10652300000.0,,10652300000.0,10652300000.0,3789400000.0,14441700000.0,,,603000000.0,13052700000.0,4549000000.0,751800000.0,751800000.0,29197600000.0,29197600000.0,2024-03-31
0.0,0.245912,,,8720200000.0,457900000.0,21746300000.0,24409900000.0,46156200000.0,8720200000.0,8720200000.0,840906461.0,838480769.0,10.37,10.4,8720200000.0,8720200000.0,8720200000.0,0.0,8720200000.0,8720200000.0,2843700000.0,11563900000.0,,,230700000.0,10984300000.0,3578100000.0,457900000.0,457900000.0,26137700000.0,26137700000.0,2023-12-31
0.0,0.272045,,,7728700000.0,385100000.0,20186900000.0,22041600000.0,42228500000.0,7728700000.0,7728700000.0,824834578.0,822202128.0,9.37,9.4,7728700000.0,7728700000.0,7728700000.0,0.0,7728700000.0,7728700000.0,2888300000.0,10617000000.0,,,334600000.0,10260900000.0,3501400000.0,385100000.0,385100000.0,24910000000.0,24910000000.0,2023-09-30
44954311.874587,0.254554,176600000.0,176600000.0,7099400000.0,385800000.0,18446400000.0,20062000000.0,38508400000.0,6967754311.874587,7099400000.0,823596288.0,821689815.0,8.62,8.64,7099400000.0,7099400000.0,7099400000.0,0.0,7099400000.0,7099400000.0,2424300000.0,9523700000.0,176600000.0,-176600000.0,291500000.0,8364200000.0,4267000000.0,385800000.0,385800000.0,21469300000.0,21469300000.0,2023-06-30
0.0,0.261727,,,8552000000.0,355000000.0,17791800000.0,17194900000.0,34986700000.0,8552000000.0,8552000000.0,,,,,8552000000.0,8552000000.0,8552000000.0,,8552000000.0,8552000000.0,3073700000.0,11743900000.0,,,278500000.0,6108900000.0,-503300000.0,355000000.0,355000000.0,18880600000.0,18880600000.0,2023-03-31
,,,,,,,,,,,823100962.0,821127098.0,8.32,8.34,,,,0.0,,,,,,,,,,,,,,2022-12-31
0.0,0.257172,,,9471500000.0,589600000.0,25786200000.0,27963600000.0,53749800000.0,9471500000.0,9471500000.0,841911111.0,840417036.0,11.25,11.27,9471500000.0,9471500000.0,9471500000.0,0.0,9471500000.0,9471500000.0,3279100000.0,12750600000.0,,,324200000.0,12041900000.0,4513500000.0,589600000.0,589600000.0,30603900000.0,30603900000.0,2024-06-30 00:00:00
