Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Amortization,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Rent And Landing Fees,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.318662,323850000.0,,,89670000.0,74020000.0,1579030000.0,323850000.0,249830000.0,-85110000.0,85110000.0,,89670000.0,89670000.0,1990560000.0,,,,,,89670000.0,89670000.0,0.0,89670000.0,,89630000.0,89630000.0,52490000.0,164720000.0,97930000.0,,-85110000.0,,85110000.0,,151900000.0,411530000.0,303330000.0,74020000.0,,74020000.0,,,,,563430000.0,1579030000.0,2142460000.0,2142460000.0,2024-03-31
0.0,0.307416,493660000.0,,,237760000.0,72580000.0,1635070000.0,493660000.0,421080000.0,-69700000.0,69700000.0,,237760000.0,237760000.0,1911330000.0,,38472492.0,38472492.0,6.18,6.18,237760000.0,237760000.0,0.0,237760000.0,,237760000.0,237760000.0,108020000.0,351380000.0,71310000.0,,-69700000.0,,69700000.0,,349780000.0,276260000.0,169800000.0,72580000.0,,72580000.0,,,,,626040000.0,1635070000.0,2261110000.0,2261110000.0,2023-12-31
0.0,0.17957,454770000.0,,,260210000.0,60470000.0,1574210000.0,454770000.0,394300000.0,-51760000.0,51760000.0,,260210000.0,260210000.0,1842040000.0,,41059677.0,41059677.0,6.337361,6.337361,260210000.0,260210000.0,0.0,260210000.0,10000.0,260200000.0,260270000.0,61510000.0,342540000.0,35130000.0,,-51760000.0,,51760000.0,,359170000.0,267830000.0,180400000.0,60470000.0,,60470000.0,,,,,627000000.0,1574210000.0,2201210000.0,2201210000.0,2023-09-30
945748.766423,0.172582,434210000.0,5480000.0,5480000.0,269060000.0,57660000.0,1716800000.0,439690000.0,382030000.0,-41950000.0,45610000.0,18450000.0,264525748.766423,269060000.0,1934720000.0,76060000.0,410596771.0,410596771.0,0.65529,0.65529,269060000.0,269060000.0,0.0,269060000.0,-10000.0,269050000.0,269050000.0,58060000.0,336420000.0,,0.0,-41950000.0,14790000.0,45610000.0,18450000.0,363000000.0,217920000.0,44030000.0,57660000.0,5340000.0,52320000.0,10080000.0,2780000.0,7300000.0,76060000.0,580920000.0,1716800000.0,2297720000.0,2297720000.0,2023-06-30
0.0,0.334442,111530000.0,,,40550000.0,56420000.0,2201730000.0,111530000.0,55110000.0,3460000.0,4010000.0,,40550000.0,40550000.0,2334370000.0,,,,,,40550000.0,40550000.0,0.0,40550000.0,,40450000.0,40450000.0,17090000.0,51100000.0,,,3460000.0,,4010000.0,,89950000.0,132640000.0,-301840000.0,56420000.0,,31840000.0,,,,,222590000.0,2201730000.0,2424320000.0,2424320000.0,2023-03-31
,,,,,,,,,,,,,,,,,410596771.0,410596771.0,0.483345,0.483345,,,,,,,,,,17150000.0,,,,,,,,,,,,,,,,,,,,2022-12-31
0.0,0.290961,397450000.0,,,187030000.0,81770000.0,1619240000.0,397450000.0,315680000.0,-51040000.0,51040000.0,,187030000.0,187030000.0,2032110000.0,,41015351.0,41015351.0,4.56,4.56,187030000.0,187030000.0,0.0,187030000.0,10000.0,187020000.0,187020000.0,77000000.0,264640000.0,94290000.0,,-51040000.0,,51040000.0,,221390000.0,412870000.0,293710000.0,81770000.0,,81770000.0,,,,,634260000.0,1619240000.0,2253500000.0,2253500000.0,2024-06-30 00:00:00
