Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Amortization,Depreciation Income Statement,Research And Development,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Rent And Landing Fees,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.255454,1348715000.0,,,787244000.0,163190000.0,14313581000.0,1348715000.0,1185525000.0,-128177000.0,128177000.0,,787244000.0,787244000.0,16550862000.0,,,,,,787244000.0,787244000.0,0.0,787244000.0,787244000.0,787244000.0,270104000.0,1057348000.0,193227000.0,,,,-128177000.0,,128177000.0,,989800000.0,2237281000.0,1294143000.0,163190000.0,,163190000.0,,,,,,3227081000.0,14313581000.0,17540662000.0,17540662000.0,2024-03-31
0.0,0.260232,1248273000.0,,,709584000.0,164774000.0,13218971000.0,1248273000.0,1083499000.0,-124301000.0,124301000.0,,709584000.0,709584000.0,15374465000.0,,111921767.0,111745512.0,6.34,6.35,709584000.0,709584000.0,0.0,709584000.0,709584000.0,709584000.0,249614000.0,959198000.0,122443000.0,,,,-124301000.0,,124301000.0,,960729000.0,2155494000.0,1172370000.0,164774000.0,,164774000.0,,,,,,3116223000.0,13218971000.0,16335194000.0,16335194000.0,2023-12-31
0.0,0.294627,1358336000.0,,,740989000.0,166027000.0,12901259000.0,1358336000.0,1192307000.0,-141815000.0,141815000.0,,740989000.0,740989000.0,15053675000.0,,111426917.0,111259610.0,6.65,6.66,740989000.0,740989000.0,0.0,740989000.0,740989000.0,740989000.0,309503000.0,1050492000.0,147643000.0,,,,-141815000.0,,141815000.0,,1043030000.0,2152416000.0,1183673000.0,166029000.0,,166029000.0,,,,,,3195446000.0,12901259000.0,16096705000.0,16096705000.0,2023-09-30
11642776.0,0.2536,1247750000.0,45910000.0,45910000.0,743480000.0,160870000.0,13072750000.0,1293660000.0,1132790000.0,-139050000.0,138910000.0,8410000.0,709212776.0,743480000.0,14829350000.0,5640000.0,112818899.0,112818899.0,6.590031,6.590031,743480000.0,743480000.0,0.0,743480000.0,743480000.0,743480000.0,250400000.0,993880000.0,1940000.0,-230000.0,,230000.0,-139050000.0,8550000.0,138910000.0,8410000.0,975700000.0,1756600000.0,755730000.0,160870000.0,10600000.0,150270000.0,5970000.0,230060000.0,188150000.0,41910000.0,5640000.0,2732300000.0,13072750000.0,15805050000.0,15805050000.0,2023-06-30
9559072.498896,0.260536,1107040000.0,36690000.0,36690000.0,652880000.0,136590000.0,12269750000.0,1143730000.0,1007140000.0,-114320000.0,124230000.0,13640000.0,625749072.498896,652880000.0,14119350000.0,5240000.0,,,,,652880000.0,652880000.0,0.0,652880000.0,652880000.0,652880000.0,230030000.0,882910000.0,1790000.0,-70000.0,-80000.0,980000.0,-114320000.0,3730000.0,124230000.0,13640000.0,872920000.0,1849600000.0,801480000.0,136590000.0,10020000.0,126570000.0,5580000.0,363830000.0,302910000.0,60920000.0,5240000.0,2722520000.0,12269750000.0,14992270000.0,14992270000.0,2023-03-31
,,,,,,,,,,,,,,,,,112818899.0,112818899.0,6.331696,6.331696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-12-31
0.0,0.252664,1139560000.0,,,643787000.0,161987000.0,14942122000.0,1139560000.0,977573000.0,-116130000.0,116130000.0,,643787000.0,643787000.0,17293627000.0,,113143585.0,112747285.0,5.69,5.71,643787000.0,643787000.0,0.0,643787000.0,643787000.0,643787000.0,217656000.0,861443000.0,185217000.0,,,,-116130000.0,,116130000.0,,787475000.0,2351505000.0,1302786000.0,161987000.0,,161987000.0,,,,,,3138980000.0,14942122000.0,18081102000.0,18081102000.0,2024-06-30 00:00:00
