Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Operating Expense,Other Operating Expenses,Total Revenue,Operating Revenue,Date
0.0,0.286782,0.0,0.0,51324500000.0,127631500000.0,183090200000.0,310721700000.0,51324500000.0,51324500000.0,,,,,51324500000.0,51324500000.0,51324500000.0,-278500000.0,51603000000.0,0.0,51603000000.0,20169000000.0,70328600000.0,0.0,94913800000.0,46275300000.0,193015700000.0,193015700000.0,2024-03-31
0.0,0.272425,0.0,0.0,47885200000.0,120397000000.0,180020500000.0,300417500000.0,47885200000.0,47885200000.0,5171187905.0,5171187905.0,9.26,9.26,47885200000.0,47885200000.0,47885200000.0,-260600000.0,48145800000.0,0.0,48145800000.0,17779100000.0,65262300000.0,0.0,86531400000.0,45527700000.0,170819300000.0,170819300000.0,2023-12-31
0.0,0.278887,0.0,0.0,43943100000.0,117350700000.0,175276900000.0,292627600000.0,43943100000.0,43943100000.0,5169776471.0,5169776471.0,8.5,8.5,43943100000.0,43943100000.0,43943100000.0,-320500000.0,44263600000.0,0.0,44263600000.0,16796700000.0,60227700000.0,0.0,84303800000.0,44576800000.0,182383100000.0,182383100000.0,2023-09-30
0.0,0.308039,0.0,0.0,44521000000.0,119422200000.0,160603200000.0,280025400000.0,44521000000.0,44521000000.0,5170847851.0,5170847851.0,8.61,8.61,44521000000.0,44521000000.0,44521000000.0,-155300000.0,44676300000.0,0.0,44676300000.0,19152300000.0,62174900000.0,0.0,77619100000.0,37321400000.0,172578100000.0,172578100000.0,2023-06-30
42992100.0,0.3,143307000.0,143307000.0,52551730000.0,122868602000.0,147904589000.0,270773191000.0,52451415100.0,52551730000.0,,,,,52551730000.0,52551730000.0,52551730000.0,-599305000.0,53151035000.0,0.0,53151035000.0,19857600000.0,15365635000.0,143307000.0,84833535000.0,-17112046000.0,177232673000.0,177232673000.0,2023-03-31
,,,,,,,,,,5168859544.0,5168859544.0,8.33,8.33,,,,,,,,,,,,,,,2022-12-31
0.0,0.277472,0.0,0.0,47278100000.0,125605300000.0,185824800000.0,311430100000.0,47278100000.0,47278100000.0,5172658643.0,5172658643.0,9.14,9.14,47278100000.0,47278100000.0,47278100000.0,-362200000.0,47640300000.0,0.0,47640300000.0,17590400000.0,63395300000.0,0.0,84371500000.0,41329300000.0,172184600000.0,172184600000.0,2024-06-30 00:00:00
