Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Operating Expense,Other Operating Expenses,Total Revenue,Operating Revenue,Date
0.0,0.225739,,,2076208000.0,,7858918000.0,6587615000.0,14446533000.0,2076208000.0,2076208000.0,,,,,2076208000.0,2076208000.0,2076208000.0,2076208000.0,0.0,2076208000.0,605326000.0,2681534000.0,,6515943000.0,2881987000.0,10263466000.0,10263466000.0,2024-03-31
0.0,0.267916,,,2020008000.0,,7851429000.0,6436536000.0,14287965000.0,2020008000.0,2020008000.0,1141247458.0,1128496089.0,1.77,1.79,2020008000.0,2020008000.0,2020008000.0,2020008000.0,0.0,2020008000.0,739251000.0,2759259000.0,,6303123000.0,2842647000.0,9906184000.0,9906184000.0,2023-12-31
0.0,0.257894,0.0,0.0,1981382000.0,,7655862000.0,5934073000.0,13589935000.0,1981382000.0,1981382000.0,1138725287.0,1119424859.0,1.74,1.77,1981382000.0,1981382000.0,1981382000.0,1981382000.0,0.0,1981382000.0,688561000.0,2669943000.0,0.0,6167705000.0,2852557000.0,9469599000.0,9469599000.0,2023-09-30
0.0,0.271311,,,1900377000.0,250185000.0,7069596000.0,4487669000.0,11557265000.0,1900377000.0,1900377000.0,,,,,1900377000.0,1900377000.0,1900377000.0,1900347000.0,0.0,1900347000.0,707553000.0,2607900000.0,,4776009000.0,-1493262000.0,7525713000.0,7525713000.0,2023-03-31
0.0,0.257774,,,1701263000.0,208649000.0,6474998000.0,4158884000.0,10633882000.0,1701263000.0,1701263000.0,1269599254.0,1250928676.0,1.34,1.36,1701263000.0,1701263000.0,1701263000.0,1701263000.0,0.0,1701263000.0,590845000.0,2292108000.0,,5210307000.0,2290290000.0,8001435000.0,8001435000.0,2022-12-31
0.0,0.279734,0.0,0.0,257573000.0,,8014854000.0,6994678000.0,15009532000.0,257573000.0,257573000.0,1170786364.0,1119882609.0,0.22,0.23,257573000.0,257573000.0,257573000.0,257573000.0,0.0,257573000.0,100035000.0,357608000.0,0.0,6697913000.0,2951180000.0,10101892000.0,10101892000.0,2024-06-30 00:00:00
0.0,0.241422,0.0,0.0,1912005000.0,,7431397000.0,5108204000.0,12539601000.0,1912005000.0,1912005000.0,1131363905.0,1111630814.0,1.69,1.72,1912005000.0,1912005000.0,1912005000.0,1912005000.0,0.0,1912005000.0,608507000.0,2520512000.0,0.0,6023897000.0,2745177000.0,9145063000.0,9145063000.0,2023-06-30 00:00:00
