Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date,Minority Interests
-122080000.0,0.4,5683500000.0,-305200000.0,-305200000.0,1012700000.0,1961300000.0,10143900000.0,5378300000.0,3417000000.0,-1142200000.0,1142200000.0,1195820000.0,1012700000.0,22185600000.0,,,,,1012700000.0,1012700000.0,0.0,1012700000.0,1012700000.0,1012700000.0,1262100000.0,2274800000.0,263800000.0,-305200000.0,305200000.0,,-1142200000.0,1142200000.0,3338000000.0,12041700000.0,5138900000.0,1961300000.0,1961300000.0,15379700000.0,10143900000.0,25523600000.0,25523600000.0,2024-03-31,
-96810000.0,0.3,3438300000.0,-322700000.0,-322700000.0,101100000.0,1863200000.0,6751500000.0,3115600000.0,1252400000.0,-1058800000.0,1058800000.0,326990000.0,101100000.0,18765200000.0,1263750000.0,1263750000.0,0.08,0.08,101100000.0,101100000.0,0.0,101100000.0,101100000.0,101100000.0,92500000.0,193600000.0,615100000.0,-322700000.0,322700000.0,0.0,-1058800000.0,1058800000.0,820500000.0,12013700000.0,4912700000.0,1863200000.0,1863200000.0,12834200000.0,6751500000.0,19585700000.0,19585700000.0,2023-12-31,
0.0,0.3,3339400000.0,0.0,0.0,50200000.0,1845100000.0,6377300000.0,3339400000.0,1494300000.0,-1098700000.0,1098700000.0,50200000.0,50200000.0,18302500000.0,1255000000.0,1255000000.0,0.04,0.04,50200000.0,50200000.0,0.0,50200000.0,50200000.0,50200000.0,345400000.0,395600000.0,491900000.0,0.0,,0.0,-1098700000.0,1098700000.0,811300000.0,11925200000.0,4919800000.0,1845100000.0,1845100000.0,12736500000.0,6377300000.0,19113800000.0,19113800000.0,2023-09-30,
0.0,0.079638,1850200000.0,0.0,0.0,-985800000.0,1736100000.0,6267300000.0,1850200000.0,114100000.0,-1185200000.0,1185200000.0,-985800000.0,-985800000.0,17901400000.0,1216130611.0,1216130611.0,-0.810604,-0.810604,-985800000.0,-985800000.0,0.0,-985800000.0,-985800000.0,-985800000.0,-85300000.0,-1071100000.0,383100000.0,0.0,,,-1185200000.0,1185200000.0,-412900000.0,11634100000.0,4942600000.0,1736100000.0,1736100000.0,11221200000.0,6267300000.0,17488500000.0,17488500000.0,2023-06-30,
6240000.0,0.3,3750000000.0,20800000.0,20800000.0,501100000.0,1844100000.0,13483800000.0,3770800000.0,1926700000.0,-1026100000.0,977800000.0,486540000.0,501100000.0,19639800000.0,,,,,501100000.0,501100000.0,0.0,501100000.0,501100000.0,501100000.0,447800000.0,948900000.0,-904700000.0,-4800000.0,,0.0,-1026100000.0,977800000.0,1673400000.0,6156000000.0,-6829300000.0,1844100000.0,1844100000.0,7829400000.0,13483800000.0,21313200000.0,21313200000.0,2023-03-31,
,,,,,,,,,,,,,,,1218648649.0,1218648649.0,-0.74,-0.74,,,,,,,,,,,,0.0,,,,,,,,,,,,2022-12-31,
0.0,0.3,2464300000.0,0.0,0.0,-886400000.0,1845500000.0,6743700000.0,2464300000.0,618800000.0,-1069600000.0,1069600000.0,-886400000.0,-886400000.0,19312000000.0,1322985075.0,1322985075.0,-0.67,-0.67,-886400000.0,-886400000.0,0.0,-886400000.0,-886400000.0,-886400000.0,435600000.0,-450800000.0,195400000.0,0.0,,,-1069600000.0,1069600000.0,199400000.0,12568300000.0,4925900000.0,1845500000.0,1845500000.0,12767700000.0,6743700000.0,19511400000.0,19511400000.0,2024-06-30 00:00:00,0.0
