Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Total Revenue,Operating Revenue,Date,Reconciled Cost Of Revenue,Gross Profit,Cost Of Revenue
0.0,0.253078,589576000.0,435626000.0,5472000.0,589576000.0,584104000.0,-876000.0,876000.0,435626000.0,435626000.0,200951000.0,128125294.0,128125294.0,3.4,3.4,435626000.0,435626000.0,0.0,435626000.0,435626000.0,435626000.0,147602000.0,583228000.0,45897000.0,-876000.0,876000.0,538207000.0,200951000.0,167464000.0,5472000.0,5472000.0,739158000.0,739158000.0,2024-06-30,,,
0.0,0.262293,355115000.0,257633000.0,5044000.0,355115000.0,350071000.0,84385000.0,836000.0,257633000.0,257633000.0,-147797000.0,,,,,257633000.0,257633000.0,0.0,257633000.0,257633000.0,257633000.0,91602000.0,349235000.0,-85938000.0,84385000.0,836000.0,780353000.0,-183002000.0,-368482000.0,5044000.0,5044000.0,632556000.0,632556000.0,2024-03-31,,,
0.0,0.252404,468612000.0,346543000.0,4380000.0,468612000.0,464232000.0,-689000.0,689000.0,346543000.0,346543000.0,218447000.0,128349259.0,128349259.0,2.7,2.7,346543000.0,346543000.0,0.0,346543000.0,346543000.0,346543000.0,117000000.0,463543000.0,34410000.0,-689000.0,689000.0,429822000.0,218447000.0,188086000.0,4380000.0,4380000.0,648269000.0,648269000.0,2023-12-31,,,
0.0,0.250481,534255000.0,396482000.0,4542000.0,534255000.0,529713000.0,-731000.0,731000.0,396482000.0,396482000.0,114992000.0,128311327.0,128311327.0,3.09,3.09,396482000.0,396482000.0,0.0,396482000.0,396482000.0,396482000.0,132500000.0,528982000.0,35966000.0,-731000.0,731000.0,493747000.0,114992000.0,89040000.0,4542000.0,4542000.0,608739000.0,608739000.0,2023-09-30,,,
0.0,0.254461,370488000.0,271013000.0,5746000.0,370488000.0,364742000.0,-1229000.0,1229000.0,271013000.0,271013000.0,181700000.0,128442180.0,128442180.0,2.11,2.11,271013000.0,271013000.0,0.0,271013000.0,271013000.0,271013000.0,92500000.0,363513000.0,20200000.0,-1229000.0,1229000.0,344542000.0,181700000.0,156965000.0,5746000.0,5746000.0,526242000.0,526242000.0,2023-06-30,,,
0.0,0.252504,650585000.0,481610000.0,5499000.0,650585000.0,645086000.0,-788000.0,788000.0,481610000.0,481610000.0,216911000.0,127748011.0,127748011.0,3.77,3.77,481610000.0,481610000.0,0.0,481610000.0,481610000.0,481610000.0,162688000.0,644298000.0,55876000.0,-788000.0,788000.0,589210000.0,78500000.0,45124000.0,5499000.0,5499000.0,806121000.0,806121000.0,2024-09-30 00:00:00,138411000.0,667710000.0,138411000.0
