Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Write Off,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,General And Administrative Expense,Rent And Landing Fees,Total Revenue,Operating Revenue,Date,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS
9643227.629355,0.384192,1062530000.0,25100000.0,25100000.0,488200000.0,197040000.0,1087630000.0,890580000.0,-64460000.0,97800000.0,52190000.0,472743227.629355,488200000.0,5543980000.0,11570000.0,488200000.0,488200000.0,0.0,488200000.0,0.0,488200000.0,0.0,488200000.0,304580000.0,792780000.0,320000.0,0.0,0.0,0.0,-64460000.0,18850000.0,97800000.0,52190000.0,778500000.0,5543980000.0,854200000.0,197050000.0,28970000.0,298460000.0,298460000.0,11570000.0,6322480000.0,6322480000.0,2023-03-31,,,,
0.0,0.266722,1514000000.0,0.0,0.0,877000000.0,201000000.0,1514000000.0,1313000000.0,-117000000.0,117000000.0,,877000000.0,877000000.0,5677000000.0,,877000000.0,877000000.0,0.0,877000000.0,,877000000.0,,877000000.0,319000000.0,1196000000.0,225000000.0,0.0,,,-117000000.0,,117000000.0,,1088000000.0,5677000000.0,1033000000.0,201000000.0,201000000.0,,,,6765000000.0,6765000000.0,2024-06-30 00:00:00,233244681.0,231398417.0,3.76,3.79
0.0,0.260541,1253000000.0,0.0,0.0,684000000.0,202000000.0,1253000000.0,1051000000.0,-126000000.0,126000000.0,,684000000.0,684000000.0,5309000000.0,,684000000.0,684000000.0,0.0,684000000.0,,684000000.0,,684000000.0,241000000.0,925000000.0,285000000.0,0.0,,,-126000000.0,,126000000.0,,766000000.0,5309000000.0,1060000000.0,202000000.0,202000000.0,,,,6075000000.0,6075000000.0,2023-06-30 00:00:00,239268909.0,239268909.0,2.858708,2.858708
