Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Defined Pension Benefit,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Goodwill And Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
26437794.0,26437794.0,89410000.0,1874020000.0,1874020000.0,1801260000.0,1874020000.0,89410000.0,1874020000.0,1874020000.0,1874020000.0,1874020000.0,1741830000.0,,,132190000.0,132190000.0,296760000.0,105480000.0,,20730000.0,75570000.0,75570000.0,9180000.0,191280000.0,26820000.0,13840000.0,13840000.0,,,7520000.0,75960000.0,,0.0,75960000.0,2170780000.0,178240000.0,21060000.0,,,51700000.0,51700000.0,,,,93020000.0,,93020000.0,93020000.0,,,,,1992540000.0,80830000.0,171790000.0,,149970000.0,,,,109510000.0,,,1480440000.0,1352840000.0,127600000.0,,2024-03-31
26198000.0,26198000.0,93100000.0,1694050000.0,1694050000.0,1538010000.0,1694050000.0,93100000.0,1694050000.0,1694050000.0,1694050000.0,1694050000.0,1563060000.0,,,130990000.0,130990000.0,399950000.0,112190000.0,,21730000.0,81630000.0,81630000.0,8830000.0,287760000.0,33170000.0,11470000.0,11470000.0,,,6180000.0,149620000.0,,4620000.0,145000000.0,2094000000.0,268230000.0,21950000.0,,,142200000.0,142200000.0,,,,100960000.0,,100960000.0,100960000.0,,,,,1825770000.0,71490000.0,171790000.0,,201840000.0,,,,262620000.0,,,1118030000.0,1026200000.0,91830000.0,,2023-09-30
26198000.0,26198000.0,60010000.0,1588900000.0,1588900000.0,1369880000.0,1588900000.0,60010000.0,1588900000.0,1588900000.0,1588900000.0,1588900000.0,87650000.0,945370000.0,6000000.0,130990000.0,130990000.0,360560000.0,84850000.0,10750000.0,21630000.0,52470000.0,52470000.0,10750000.0,275710000.0,3570000.0,7540000.0,7540000.0,0.0,3760000.0,3755000.0,248920000.0,85100000.0,190000.0,163630000.0,1949460000.0,303870000.0,20323000.0,20320000.0,3810000.0,33840000.0,33840000.0,0.0,0.0,0.0,242780000.0,-85910000.0,328690000.0,59280000.0,18020000.0,163800000.0,87590000.0,0.0,1645590000.0,80702000.0,,83000000.0,206760000.0,117880000.0,10810000.0,78070000.0,208720000.0,-6000000.0,214720000.0,1147110000.0,1036580000.0,110530000.0,110530000.0,2023-03-31
