Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Long Term Debt And Capital Lease Obligation,Payables,Total Tax Payable,Accounts Payable,Total Assets,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Properties,Receivables,Taxes Receivable,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Cash Cash Equivalents And Federal Funds Sold
1134887279.0,1134887279.0,,17875300000.0,59687019000.0,77562319000.0,59687019000.0,59687019000.0,77562319000.0,59687019000.0,59687019000.0,,,,11348873000.0,11348873000.0,393351680000.0,17875300000.0,,,,453038699000.0,90652723000.0,90652723000.0,,,6047251000.0,,,,,,,,35789516000.0,,35003541000.0,2024-03-31,
1121734262.0,1121734262.0,11579808000.0,24811800000.0,54787501000.0,79599301000.0,54787501000.0,54787501000.0,79599301000.0,54787501000.0,54787501000.0,,,,11217343000.0,11217343000.0,346506883000.0,24811800000.0,,,,401294384000.0,85506461000.0,85506461000.0,,,5595153000.0,,,,,,,,13231992000.0,,13062005000.0,2023-09-30,
1110558154.0,1110558154.0,20797263000.0,33239840000.0,51579477000.0,84819317000.0,51579477000.0,51579477000.0,84819317000.0,51579477000.0,51579477000.0,56895000.0,5986387000.0,26888907000.0,11105582000.0,11105582000.0,298001809000.0,33239840000.0,3752444000.0,0.0,3752444000.0,349581286000.0,66645624000.0,66645624000.0,999950000.0,0.0,3791304000.0,-5490921000.0,9282225000.0,414311000.0,7463921000.0,1403993000.0,5055596000.0,184157000.0,12442577000.0,402225000.0,1227615000.0,2023-03-31,
1253990119.0,1253990119.0,14083504000.0,27395072000.0,46401282000.0,73796354000.0,46401282000.0,46401282000.0,73796354000.0,46401282000.0,46401282000.0,,,,12543061000.0,12543061000.0,271652805000.0,27395072000.0,,,,318054087000.0,61813102000.0,61813102000.0,,,2320922000.0,,,,,,,,13311568000.0,,13029553000.0,2022-12-31,
