Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Fixed Assets Revaluation Reserve,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Accounts Payable,Total Assets,Total Non Current Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Finished Goods,Other Receivables,Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
68639988.0,68639988.0,59881000.0,134741000.0,824310000.0,990473000.0,588598000.0,824310000.0,855732000.0,928528000.0,918287000.0,62555000.0,855732000.0,169342000.0,,,,686390000.0,686390000.0,227723000.0,89414000.0,,2793000.0,72796000.0,72796000.0,859000.0,138309000.0,34134000.0,61945000.0,61945000.0,20415000.0,11742000.0,,11742000.0,1146010000.0,419103000.0,0.0,260091000.0,260091000.0,31422000.0,31422000.0,127590000.0,,127590000.0,34086000.0,93504000.0,,726907000.0,41137000.0,,276220000.0,,,119593000.0,,289957000.0,215097000.0,74860000.0,,2024-03-31
68639988.0,68639988.0,19170000.0,23324000.0,812178000.0,835502000.0,739548000.0,812178000.0,812178000.0,812178000.0,906866000.0,94688000.0,812178000.0,354578000.0,,,,457600000.0,457600000.0,186276000.0,14160000.0,,884000.0,,,310000.0,172116000.0,23354000.0,23324000.0,23324000.0,7469000.0,108019000.0,,108019000.0,1093142000.0,181478000.0,0.0,164966000.0,164966000.0,,,16512000.0,,16512000.0,118000.0,16394000.0,,911664000.0,19597000.0,,154521000.0,,,485181000.0,,252365000.0,248211000.0,4154000.0,,2023-09-30
68639988.0,68639988.0,,2500000.0,732065000.0,734565000.0,661318000.0,732065000.0,732065000.0,732065000.0,812160000.0,80095000.0,732065000.0,274465000.0,-24723000.0,260767000.0,35400000.0,457600000.0,457600000.0,87679000.0,11787000.0,239000.0,,,,239000.0,75892000.0,2514000.0,2500000.0,2500000.0,2162000.0,64852000.0,5768000.0,59084000.0,899839000.0,162629000.0,3335000.0,71053000.0,71053000.0,,,1528000.0,-1181000.0,2709000.0,,,2709000.0,737210000.0,49000.0,13179000.0,175226000.0,175226000.0,194250000.0,323120000.0,323120000.0,31386000.0,194441000.0,31386000.0,31386000.0,2023-03-31
