Treasury Shares Number,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Fixed Assets Revaluation Reserve,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Revenue,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Defined Pension Benefit,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investmentsin Associatesat Cost,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Inventories Adjustments Allowances,Finished Goods,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
,,,320195000.0,2032344000.0,3016924000.0,1512076000.0,2032344000.0,109381000.0,2806110000.0,2815269000.0,2785236000.0,-20874000.0,2806110000.0,2535848000.0,,,,270262000.0,270262000.0,1095386000.0,168599000.0,16985000.0,,,92021000.0,82862000.0,9159000.0,59593000.0,926787000.0,236705000.0,,228174000.0,26519000.0,201655000.0,,13131000.0,342574000.0,,,9293000.0,333281000.0,3880622000.0,1441759000.0,1600000.0,,,170353000.0,116915000.0,116915000.0,,0.0,0.0,27690000.0,773766000.0,619109000.0,154657000.0,164167000.0,,164167000.0,,164167000.0,,,,,2438863000.0,283776000.0,132340000.0,,,126155000.0,,,,8530000.0,649677000.0,,,1238385000.0,825013000.0,413372000.0,,2024-03-31
264303.0,54834233.0,55098536.0,286618000.0,2232798000.0,3028794000.0,1648357000.0,2232798000.0,117514000.0,2859690000.0,2868468000.0,2859792000.0,102000.0,2859690000.0,2584246000.0,,,,275444000.0,275444000.0,1162661000.0,179793000.0,23540000.0,,,96910000.0,88132000.0,8778000.0,59343000.0,982868000.0,289853000.0,,189708000.0,29382000.0,160326000.0,,6883000.0,448301000.0,,,9089000.0,439212000.0,4022453000.0,1391228000.0,2075000.0,,,172364000.0,114080000.0,114080000.0,,67384000.0,,27979000.0,626892000.0,555349000.0,71543000.0,172999000.0,,172999000.0,,172999000.0,,,,,2631225000.0,376438000.0,132340000.0,,,123900000.0,,,,9149000.0,784012000.0,,,1205386000.0,999209000.0,206177000.0,,2023-09-30
,55068312.0,55068312.0,166546000.0,2157323000.0,2852125000.0,1212618000.0,2157323000.0,62131000.0,2747710000.0,2754662000.0,2747837000.0,127000.0,2747710000.0,16020000.0,-226454000.0,-101284000.0,2752213000.0,275342000.0,275342000.0,980448000.0,115674000.0,1000.0,56322000.0,18775000.0,40576000.0,33624000.0,6952000.0,56322000.0,864774000.0,13447000.0,4926000.0,125970000.0,28507000.0,97463000.0,7016000.0,7016000.0,524265000.0,120049000.0,256000.0,4926000.0,403960000.0,3728285000.0,1650893000.0,1000.0,0.0,224574000.0,187100000.0,404217000.0,398217000.0,6000000.0,70742000.0,70742000.0,28266000.0,590387000.0,518844000.0,71543000.0,108284000.0,-172997000.0,281281000.0,1600000.0,134123000.0,112891000.0,32667000.0,0.0,0.0,2077392000.0,6870000.0,132340000.0,899000.0,339374000.0,121588000.0,-1000000.0,118357000.0,4231000.0,144209000.0,696349000.0,-27161000.0,723510000.0,635763000.0,385679000.0,250084000.0,250084000.0,2023-03-31
