Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Defined Pension Benefit,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Held To Maturity Securities,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investmentsin Associatesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
43786413.0,43786413.0,44121800000.0,44684800000.0,39536600000.0,86872700000.0,44780600000.0,39536600000.0,383400000.0,42571300000.0,73890200000.0,42571300000.0,,42571300000.0,42133400000.0,,,437900000.0,437900000.0,65648500000.0,45160400000.0,11791600000.0,,,1586300000.0,31659000000.0,340100000.0,31318900000.0,123500000.0,20488100000.0,2675100000.0,13025800000.0,43300000.0,12982500000.0,25000000.0,3692100000.0,,,13200000.0,3678900000.0,108219800000.0,42951100000.0,564200000.0,,,1806000000.0,3511500000.0,,3511500000.0,,,,3034700000.0,407900000.0,2626800000.0,33854300000.0,,33854300000.0,2028900000.0,31825400000.0,,,,,65268700000.0,923900000.0,,,,11467200000.0,,,,,938400000.0,613700000.0,3549700000.0,,,47775800000.0,47596200000.0,179600000.0,,,2024-03-31
43786413.0,43786413.0,43045700000.0,43561800000.0,40148800000.0,84117900000.0,41979700000.0,40148800000.0,28000000.0,40584100000.0,75906100000.0,40584100000.0,,40584100000.0,40146200000.0,,,437900000.0,437900000.0,59887100000.0,44917900000.0,7957300000.0,,,1630400000.0,35330200000.0,8200000.0,35322000000.0,,14969200000.0,1976900000.0,8231600000.0,19800000.0,8211800000.0,,3223400000.0,,,6600000.0,3216800000.0,100471200000.0,43522300000.0,769400000.0,,,1219500000.0,7309700000.0,,7309700000.0,,,,435300000.0,,,33612500000.0,,33612500000.0,1689200000.0,31923300000.0,,,,,56948900000.0,989400000.0,,,,10694900000.0,,,,,922400000.0,540300000.0,3063200000.0,,,40738700000.0,40250600000.0,488100000.0,,,2023-09-30
43786413.0,43786413.0,40707357000.0,40846543000.0,42062539000.0,82900534000.0,40513675000.0,42062539000.0,21101000.0,42075092000.0,74984210000.0,42075092000.0,0.0,42075092000.0,670001000.0,32315398000.0,3258818000.0,437864000.0,437864000.0,53937205000.0,41450975000.0,-2000.0,0.0,7493159000.0,1036603000.0,32921215000.0,12097000.0,32909118000.0,,12486230000.0,51580000.0,7925328000.0,9004000.0,7916324000.0,,2610792000.0,955467000.0,3909000.0,23187000.0,1628229000.0,96012297000.0,43012393000.0,1000.0,112926000.0,924522000.0,797080000.0,9657374000.0,586760000.0,1053835000.0,8016779000.0,96440000.0,96440000.0,12553000.0,12553000.0,,31411497000.0,-9209281000.0,40620778000.0,924218000.0,30485400000.0,32179584000.0,7283585000.0,233391000.0,0.0,52999905000.0,30000.0,0.0,3909000.0,1032125000.0,10088738000.0,97781000.0,3480952000.0,247067000.0,6262938000.0,11838803000.0,309602000.0,2476349000.0,-45270000.0,2521619000.0,27250349000.0,27132264000.0,118085000.0,0.0,118085000.0,2023-03-31
