Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date,Other Special Charges
0.0,0.095483,124664000.0,0.0,0.0,36316000.0,50195000.0,934395000.0,124664000.0,74469000.0,-40463000.0,40463000.0,36316000.0,36316000.0,1551907000.0,,,,,36316000.0,36316000.0,0.0,36316000.0,36316000.0,36316000.0,3247000.0,34006000.0,38191000.0,0.0,-40463000.0,40463000.0,36278000.0,617512000.0,429489000.0,50195000.0,50195000.0,653790000.0,934395000.0,1588185000.0,1588185000.0,2024-03-31,
0.0,0.358812,106645000.0,0.0,0.0,21501000.0,44189000.0,778497000.0,106645000.0,62456000.0,-34851000.0,34851000.0,21501000.0,21501000.0,1383302000.0,11026154.0,11026154.0,1.95,1.95,21501000.0,21501000.0,0.0,21501000.0,21501000.0,21501000.0,9905000.0,27605000.0,41953000.0,0.0,-34851000.0,34851000.0,20503000.0,604805000.0,428296000.0,44189000.0,44189000.0,625308000.0,778497000.0,1403805000.0,1403805000.0,2023-12-31,
0.0,0.194232,151228000.0,0.0,0.0,59551000.0,44188000.0,1213139000.0,151228000.0,107040000.0,-41608000.0,41608000.0,59551000.0,59551000.0,1765888000.0,11027963.0,11027963.0,5.4,5.4,59551000.0,59551000.0,0.0,59551000.0,59551000.0,59551000.0,12709000.0,65432000.0,20572000.0,0.0,-41608000.0,41608000.0,86468000.0,552749000.0,390190000.0,44188000.0,44188000.0,639217000.0,1213139000.0,1852356000.0,1852356000.0,2023-09-30,
0.0,0.383636,106681000.0,0.0,0.0,20926000.0,42774000.0,986820000.0,106681000.0,63907000.0,-37825000.0,37825000.0,20926000.0,20926000.0,1548857000.0,11013684.0,11013684.0,1.9,1.9,20926000.0,20926000.0,0.0,20926000.0,20926000.0,20926000.0,10006000.0,26082000.0,19003000.0,0.0,-37825000.0,37825000.0,44904000.0,562037000.0,400610000.0,42774000.0,42774000.0,606941000.0,986820000.0,1593761000.0,1593761000.0,2023-06-30,
-2614183.849692,0.226415,141996000.0,-11546000.0,-11546000.0,37967000.0,42570000.0,2091087000.0,130450000.0,87880000.0,-11326000.0,-2335000.0,46898816.150308,37967000.0,1529261000.0,,,,,37967000.0,37967000.0,0.0,37967000.0,75440000.0,75440000.0,20426000.0,90215000.0,-48182000.0,-11546000.0,-11326000.0,-2335000.0,43684000.0,-561826000.0,-1237867000.0,42570000.0,42570000.0,-518142000.0,2091087000.0,1572945000.0,1572945000.0,2023-03-31,
,,,,,,,,,,,,,,,11030670.0,11030670.0,9.26,9.26,,,,,,,,,,,,,,,,,,,,,,2022-12-31,
15502673.151525,0.249975,95773000.0,62017000.0,62017000.0,54083000.0,45377000.0,769071000.0,157790000.0,112413000.0,-43586000.0,43586000.0,7568673.151525,54083000.0,1353012000.0,11014868.0,11014868.0,4.91,4.91,54083000.0,54083000.0,0.0,54083000.0,54083000.0,54083000.0,17205000.0,68827000.0,23276000.0,62017000.0,-43586000.0,43586000.0,27118000.0,583941000.0,376987000.0,45377000.0,45377000.0,611059000.0,769071000.0,1380130000.0,1380130000.0,2024-06-30 00:00:00,-62017000.0
