Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Current Deferred Taxes Assets,Restricted Cash,Prepaid Assets,Other Receivables,Taxes Receivable,Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Other Current Liabilities
149007291.0,149007291.0,84599400000.0,137456100000.0,86978800000.0,224773800000.0,184567200000.0,86978800000.0,87317700000.0,224773800000.0,87687400000.0,369700000.0,87317700000.0,87168700000.0,,,149000000.0,149000000.0,230604700000.0,174536400000.0,1219500000.0,,,3540200000.0,137456100000.0,137456100000.0,859700000.0,56068300000.0,,,,,56068300000.0,,431100000.0,55637200000.0,318292100000.0,77656600000.0,2404700000.0,,582600000.0,68636800000.0,68636800000.0,338900000.0,338900000.0,,5693600000.0,,,,,,,,240635500000.0,,,,,100464400000.0,276800000.0,19181200000.0,19181200000.0,120713100000.0,67856400000.0,52856700000.0,,,2024-03-31,
148237485.0,148237485.0,77428800000.0,119701000000.0,74285600000.0,194346100000.0,163900400000.0,74285600000.0,74645100000.0,194346100000.0,74982400000.0,337300000.0,74645100000.0,74496900000.0,,,148200000.0,148200000.0,216862400000.0,164071200000.0,703300000.0,,,2635400000.0,119701000000.0,119701000000.0,2129800000.0,52791200000.0,,,,,52791200000.0,,577600000.0,52213600000.0,291844800000.0,75153200000.0,2828300000.0,,634600000.0,66355800000.0,66355800000.0,359500000.0,359500000.0,,4975000000.0,,,,,,,,216691600000.0,,,,,95255400000.0,322300000.0,12120600000.0,,108993300000.0,66721100000.0,42272200000.0,,,2023-09-30,
147947126.0,147947126.0,76996200000.0,102759300000.0,62129300000.0,165281600000.0,10756200000.0,62129300000.0,62522300000.0,94745400000.0,62831700000.0,309400000.0,62522300000.0,944900000.0,49895000000.0,4003600000.0,147900000.0,147900000.0,167267700000.0,37762000000.0,-100000.0,510600000.0,2520900000.0,2104600000.0,32223100000.0,32223100000.0,2364400000.0,129505700000.0,366600000.0,70536200000.0,70536200000.0,1853900000.0,32354800000.0,194600000.0,196900000.0,31963300000.0,230099400000.0,89837500000.0,2019200000.0,343100000.0,604000000.0,46073900000.0,46073900000.0,393000000.0,393000000.0,0.0,3790800000.0,-3039000000.0,6829800000.0,21900000.0,2622100000.0,3698500000.0,487300000.0,0.0,140261900000.0,1317900000.0,2700000.0,4000000.0,5600000.0,38665600000.0,348700000.0,7189700000.0,,93076400000.0,67313300000.0,25763100000.0,6508000000.0,19255100000.0,2023-03-31,
