Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Investment Properties,Goodwill And Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
51190625.0,51190625.0,,0.0,499543000.0,499543000.0,344619000.0,499543000.0,499543000.0,499543000.0,505487000.0,5944000.0,499543000.0,422823000.0,,,76720000.0,76720000.0,90175000.0,2888000.0,3000.0,,0.0,0.0,0.0,2309000.0,87287000.0,8456000.0,,0.0,0.0,,2032000.0,76608000.0,,,22555000.0,54053000.0,595662000.0,163756000.0,708000.0,,5192000.0,90981000.0,90981000.0,,0.0,0.0,0.0,62488000.0,,62488000.0,0.0,62488000.0,,,,,431906000.0,13668000.0,,,15317000.0,,,38000000.0,22544000.0,222404000.0,,,119973000.0,32387000.0,87586000.0,,,2024-03-31
51190625.0,51190625.0,2288000.0,8092000.0,464538000.0,472630000.0,379180000.0,464538000.0,464538000.0,464538000.0,470038000.0,5500000.0,464538000.0,387818000.0,,,76720000.0,76720000.0,122215000.0,3431000.0,,,0.0,0.0,0.0,2928000.0,118784000.0,16043000.0,,8092000.0,8092000.0,,,94461000.0,,,31257000.0,63204000.0,592253000.0,94288000.0,670000.0,,6050000.0,38928000.0,38928000.0,,0.0,0.0,0.0,48640000.0,,48640000.0,23150000.0,25490000.0,,,,,497964000.0,38596000.0,,,26572000.0,,,69000000.0,25902000.0,231790000.0,,,106104000.0,100300000.0,5804000.0,,,2023-09-30
51190625.0,51190625.0,,9815000.0,423481000.0,433296000.0,372466000.0,423481000.0,423481000.0,423481000.0,428358000.0,4877000.0,423481000.0,,246378000.0,63502000.0,76720000.0,76720000.0,107968000.0,3391000.0,,2928000.0,,,,,104577000.0,,18085000.0,9815000.0,9815000.0,0.0,,76119000.0,1758000.0,185000.0,,74176000.0,536326000.0,59283000.0,,1110000.0,6668000.0,21883000.0,21883000.0,0.0,,,,29622000.0,-17332000.0,46954000.0,3941000.0,984000.0,21304000.0,7438000.0,13287000.0,0.0,477043000.0,,185000.0,33353000.0,33207000.0,602000.0,32605000.0,45083000.0,,261801000.0,-17600000.0,279401000.0,103414000.0,28401000.0,75013000.0,74956000.0,57000.0,2023-03-31
