Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Write Off,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.0,16992910000.0,-5000000.0,-5000000.0,17014310000.0,17330000.0,47272950000.0,16987910000.0,16970580000.0,17019310000.0,17014310000.0,47601680000.0,,,,,17014310000.0,17014310000.0,0.0,17014310000.0,17014310000.0,,17014310000.0,0.0,17014310000.0,44340000.0,-5000000.0,5000000.0,16970580000.0,328730000.0,311400000.0,17330000.0,17330000.0,17299310000.0,47272950000.0,64572260000.0,64572260000.0,2024-03-31
0.0,0.0,16031230000.0,-5060000.0,-5060000.0,16042270000.0,13320000.0,51074100000.0,16026170000.0,16012850000.0,16047330000.0,16042270000.0,51405780000.0,13042495935.0,13042495935.0,1.23,1.23,16042270000.0,16042270000.0,0.0,16042270000.0,16042270000.0,0.0,16042270000.0,0.0,16042270000.0,34180000.0,-5060000.0,5060000.0,16012850000.0,331680000.0,318360000.0,13320000.0,13320000.0,16344530000.0,51074100000.0,67418630000.0,67418630000.0,2023-12-31
0.0,0.0,15518600000.0,-4970000.0,-4970000.0,15498720000.0,21500000.0,51842010000.0,15513630000.0,15492130000.0,15503690000.0,15498720000.0,52171090000.0,12915600000.0,12915600000.0,1.2,1.2,15498720000.0,15498720000.0,0.0,15498720000.0,15498720000.0,0.0,15498720000.0,0.0,15498720000.0,8490000.0,-4970000.0,4970000.0,15492130000.0,329080000.0,307580000.0,21500000.0,21500000.0,15821210000.0,51842010000.0,67663220000.0,67663220000.0,2023-09-30
0.0,0.0,15480830000.0,54310000.0,54310000.0,15565740000.0,42270000.0,50937360000.0,15535140000.0,15492870000.0,15511430000.0,15565740000.0,51298860000.0,12971450000.0,12971450000.0,1.2,1.2,15565740000.0,15565740000.0,0.0,15565740000.0,15565740000.0,0.0,15565740000.0,0.0,15565740000.0,18560000.0,54310000.0,-54310000.0,15492870000.0,361500000.0,319230000.0,42270000.0,42270000.0,15854370000.0,50937360000.0,66791730000.0,66791730000.0,2023-06-30
0.0,0.0,64540220000.0,-6390000.0,-6390000.0,13277050000.0,33200000.0,-2371470000.0,64533830000.0,64500630000.0,13283440000.0,13277050000.0,-1891250000.0,,,,,13277050000.0,13277050000.0,0.0,13277050000.0,13277050000.0,0.0,13277050000.0,0.0,13277050000.0,361260000.0,-6390000.0,6220000.0,63544800000.0,480220000.0,355090000.0,33200000.0,29320000.0,64025020000.0,-2371470000.0,61653550000.0,61653550000.0,2023-03-31
,,,,,,,,,,,,,13067584000.0,13067584000.0,1.25,1.25,,,,,,0.0,,,,,,,,,,,,,,,,2022-12-31
0.0,0.0,15707750000.0,36270000.0,36270000.0,15768310000.0,15890000.0,51575300000.0,15744020000.0,15728130000.0,15732040000.0,15768310000.0,51928200000.0,13031661157.0,13031661157.0,1.21,1.21,15768310000.0,15768310000.0,0.0,15768310000.0,15768310000.0,0.0,15768310000.0,0.0,15768310000.0,3910000.0,36270000.0,-36270000.0,15728130000.0,352900000.0,337010000.0,15890000.0,15890000.0,16081030000.0,51575300000.0,67656330000.0,67656330000.0,2024-06-30 00:00:00
