Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Gross PPE,Construction In Progress,Other Properties,Current Assets,Other Current Assets,Inventory,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Date,Treasury Shares Number,Retained Earnings,Additional Paid In Capital,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Revenue,Pensionand Other Post Retirement Benefit Plans Current,Other Payable,Dividends Payable,Non Current Prepaid Assets,Accumulated Depreciation,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Hedging Assets Current,Restricted Cash,Prepaid Assets,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Equivalents,Cash Financial
,,8215291000.0,9559304000.0,20568428000.0,30031511000.0,9595474000.0,20568428000.0,418450000.0,20890657000.0,22247280000.0,20890657000.0,20890657000.0,20494549000.0,396108000.0,396108000.0,14795365000.0,2993520000.0,348733000.0,851145000.0,1673076000.0,316453000.0,1356623000.0,120566000.0,11801845000.0,190258000.0,7886228000.0,101997000.0,7784231000.0,27019000.0,3085549000.0,3183000.0,3082366000.0,35686022000.0,14288703000.0,56432000.0,71795000.0,71795000.0,322229000.0,322229000.0,13574948000.0,13574948000.0,246820000.0,13328128000.0,21397319000.0,2195579000.0,11425198000.0,25185000.0,5280673000.0,2470684000.0,1545121000.0,925563000.0,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,
198054340.0,198054340.0,7703700000.0,8496900000.0,19138800000.0,27539200000.0,8702900000.0,19138800000.0,367600000.0,19409900000.0,21085400000.0,19409900000.0,19409900000.0,19013800000.0,396100000.0,396100000.0,12917100000.0,3043300000.0,214200000.0,782600000.0,1929400000.0,253900000.0,1675500000.0,117100000.0,9873800000.0,160900000.0,6567500000.0,113700000.0,6453800000.0,25900000.0,2387700000.0,32000000.0,2355700000.0,32327000000.0,13750300000.0,115000000.0,58800000.0,58800000.0,271100000.0,271100000.0,13052000000.0,13052000000.0,135300000.0,12916700000.0,18576700000.0,1857200000.0,9313300000.0,7700000.0,5564600000.0,1833900000.0,1408300000.0,425600000.0,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,
198054340.0,198054340.0,7492000000.0,8763100000.0,17752900000.0,26335600000.0,7557000000.0,17752900000.0,354500000.0,17927000000.0,19911100000.0,17927000000.0,17927000000.0,17530900000.0,396100000.0,396100000.0,12670100000.0,3093000000.0,81000000.0,693900000.0,2224800000.0,240700000.0,1984100000.0,93300000.0,9577100000.0,215700000.0,6538300000.0,113800000.0,6424500000.0,20400000.0,2249600000.0,0.0,2249600000.0,30597100000.0,13463000000.0,222100000.0,57400000.0,57400000.0,174100000.0,174100000.0,12761800000.0,12761800000.0,1795600000.0,10966200000.0,17134100000.0,1480500000.0,8946900000.0,21700000.0,4088900000.0,2596100000.0,1679500000.0,916600000.0,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,
