Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Other Special Charges,Write Off,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Total Revenue,Operating Revenue,Date
176976311.921847,0.203164,871100000.0,871100000.0,5538800000.0,,19875100000.0,13350900000.0,33226000000.0,4844676311.921847,5538800000.0,,,,,5538800000.0,5538800000.0,5538800000.0,8600000.0,5530200000.0,0.0,5530200000.0,1410000000.0,6940200000.0,871100000.0,,,-4151200000.0,10674100000.0,4518900000.0,,,19256400000.0,19256400000.0,2024-03-31
-65415723.751274,0.224103,-291900000.0,-291900000.0,6401800000.0,291900000.0,19528700000.0,13534300000.0,33063000000.0,6628284276.248726,6401800000.0,2490972763.0,2490972763.0,2.57,2.57,6401800000.0,6401800000.0,6401800000.0,8100000.0,6393700000.0,0.0,6393700000.0,1846700000.0,8240400000.0,-291900000.0,,291900000.0,-1775400000.0,8604100000.0,4097600000.0,291900000.0,291900000.0,20502900000.0,20502900000.0,2023-12-31
17606249.137812,0.254794,69100000.0,69100000.0,5951100000.0,283300000.0,18436300000.0,13249100000.0,31685400000.0,5899606249.137812,5951100000.0,2490000000.0,2479625000.0,2.39,2.4,5951100000.0,5951100000.0,5951100000.0,8900000.0,5942200000.0,0.0,5942200000.0,2031700000.0,7973900000.0,69100000.0,-69100000.0,,-1038600000.0,8597600000.0,3828100000.0,283300000.0,283300000.0,16502400000.0,16502400000.0,2023-09-30
-75909434.120911,0.256537,-295900000.0,-295900000.0,5309300000.0,,17527300000.0,13637600000.0,31164900000.0,5529290565.879089,5309300000.0,2492629108.0,2480981308.0,2.13,2.14,5309300000.0,5309300000.0,5309300000.0,4100000.0,5305200000.0,0.0,5305200000.0,1830600000.0,7135800000.0,-295900000.0,,295900000.0,-1180800000.0,7486200000.0,3422700000.0,,,18300300000.0,18300300000.0,2023-06-30
317542672.543929,0.370615,856800000.0,856800000.0,5010800000.0,,17658100000.0,14448900000.0,32107000000.0,4471542672.543929,5010800000.0,,,,,5010800000.0,5010800000.0,5010800000.0,841500000.0,4169300000.0,0.0,4169300000.0,2455100000.0,6624400000.0,856800000.0,-29700000.0,,-6586900000.0,8704800000.0,-3311200000.0,,,14924400000.0,14924400000.0,2023-03-31
,,,,,282700000.0,,,,,,2478907104.0,2478907104.0,1.83,1.83,,,,,,,,,,,26871700000.0,282700000.0,,,,282700000.0,282700000.0,,,2022-12-31
0.0,0.256996,0.0,0.0,6855100000.0,284400000.0,21012100000.0,13514100000.0,34526200000.0,6855100000.0,6855100000.0,2501861314.0,2492763636.0,2.74,2.75,6855100000.0,6855100000.0,6855100000.0,2600000.0,6852500000.0,,6852500000.0,2370200000.0,9222700000.0,0.0,,,-1140800000.0,9656100000.0,4178300000.0,284400000.0,284400000.0,22780600000.0,22780600000.0,2024-06-30 00:00:00
