Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,General And Administrative Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
5413539.807867,0.243842,351196000.0,22201000.0,22201000.0,246605000.0,6375000.0,163363000.0,373397000.0,367022000.0,180506000.0,40893000.0,221399000.0,229817539.807867,246605000.0,274369000.0,,,,,246605000.0,246605000.0,0.0,246605000.0,246605000.0,246605000.0,79524000.0,326129000.0,2157000.0,-829000.0,0.0,829000.0,180506000.0,40893000.0,221399000.0,118504000.0,111006000.0,6375000.0,6375000.0,104631000.0,104631000.0,229510000.0,163363000.0,392873000.0,392873000.0,2024-03-31
58895332.050539,0.237825,57133000.0,247641000.0,247641000.0,195872000.0,5954000.0,361048000.0,304774000.0,298820000.0,129926000.0,41829000.0,171755000.0,7126332.050539,195872000.0,437450000.0,104187234.0,104187234.0,1.88,1.88,195872000.0,195872000.0,0.0,195872000.0,195872000.0,195872000.0,61119000.0,256991000.0,338000.0,-46000.0,,46000.0,129926000.0,41829000.0,171755000.0,-131260000.0,76402000.0,5954000.0,5954000.0,70448000.0,70448000.0,-54858000.0,361048000.0,306190000.0,306190000.0,2023-12-31
23687749.122981,0.232228,116423000.0,102002000.0,102002000.0,146854000.0,5881000.0,289286000.0,218425000.0,212544000.0,123761000.0,21271000.0,145032000.0,68539749.122981,146854000.0,351729000.0,104151773.0,104151773.0,1.41,1.41,146854000.0,146854000.0,0.0,146854000.0,146854000.0,146854000.0,44419000.0,191273000.0,676000.0,-173000.0,-82000.0,255000.0,123761000.0,21271000.0,145032000.0,-42919000.0,62443000.0,5881000.0,5881000.0,56562000.0,56562000.0,19524000.0,289286000.0,308810000.0,308810000.0,2023-09-30
22103082.050811,0.241145,88447000.0,91659000.0,91659000.0,115774000.0,5846000.0,191128000.0,180106000.0,174260000.0,110807000.0,21696000.0,132503000.0,46218082.050811,115774000.0,259843000.0,104300901.0,104300901.0,1.11,1.11,115774000.0,115774000.0,0.0,115774000.0,115774000.0,115774000.0,36790000.0,152564000.0,1450000.0,0.0,,0.0,110807000.0,21696000.0,132503000.0,-56119000.0,68715000.0,5846000.0,5846000.0,62869000.0,62869000.0,12596000.0,191128000.0,203724000.0,203724000.0,2023-06-30
-4173632.580918,0.280222,72826000.0,-14894000.0,-14894000.0,19547000.0,5509000.0,219780000.0,57932000.0,52423000.0,81099000.0,25266000.0,124203000.0,30267367.419082,19547000.0,222201000.0,,,,,19547000.0,19547000.0,0.0,19547000.0,19547000.0,19547000.0,7610000.0,27157000.0,420000.0,-3257000.0,0.0,-274000.0,81099000.0,25266000.0,124203000.0,-40199000.0,2421000.0,5509000.0,2026000.0,-80081000.0,-91108000.0,-37778000.0,219780000.0,182002000.0,182002000.0,2023-03-31
,,,,,,,,,,,,,,,,103784058.0,103784058.0,0.69,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,2022-12-31
26248565.755717,0.250753,205510000.0,104679000.0,104679000.0,188076000.0,6772000.0,338881000.0,310189000.0,303417000.0,157879000.0,52397000.0,210276000.0,109645565.755717,188076000.0,435160000.0,103909392.0,103909392.0,1.81,1.81,188076000.0,188076000.0,0.0,188076000.0,188076000.0,188076000.0,62944000.0,251020000.0,285000.0,-665000.0,,665000.0,157879000.0,52397000.0,210276000.0,-22971000.0,96279000.0,6772000.0,6772000.0,89507000.0,89507000.0,73308000.0,338881000.0,412189000.0,412189000.0,2024-06-30 00:00:00
