Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date,Total Unusual Items,Total Unusual Items Excluding Goodwill,Special Income Charges,Write Off
0.0,0.273311,15697200000.0,5130600000.0,883000000.0,44137700000.0,15697200000.0,14814200000.0,5130600000.0,5130600000.0,54852400000.0,,,,,5130600000.0,5130600000.0,0.0,5130600000.0,-6306900000.0,11437500000.0,11437500000.0,4301700000.0,15739200000.0,744300000.0,14814200000.0,10714700000.0,10999900000.0,883000000.0,883000000.0,25528900000.0,44137700000.0,69666600000.0,69666600000.0,2024-03-31,,,,
0.0,0.246747,13708000000.0,4671300000.0,552400000.0,43056600000.0,13708000000.0,13155600000.0,4671300000.0,4671300000.0,53276700000.0,187753215.0,187753215.0,24.88,24.88,4671300000.0,4671300000.0,0.0,4671300000.0,-5598700000.0,10270000000.0,10270000000.0,3364200000.0,13634200000.0,473600000.0,13155600000.0,10220100000.0,11182100000.0,552400000.0,552400000.0,23375700000.0,43056600000.0,66432300000.0,66432300000.0,2023-12-31,,,,
0.0,0.267677,11953700000.0,4209000000.0,521000000.0,39886400000.0,11953700000.0,11432700000.0,4209000000.0,4209000000.0,50173700000.0,187817938.0,187817938.0,22.41,22.41,4209000000.0,4209000000.0,0.0,4209000000.0,-4671300000.0,8880300000.0,8880300000.0,3245900000.0,12126200000.0,725200000.0,11432700000.0,10287300000.0,11157000000.0,521000000.0,521000000.0,21720000000.0,39886400000.0,61606400000.0,61606400000.0,2023-09-30,,,,
0.0,0.254409,10282400000.0,3714300000.0,519000000.0,34095700000.0,10282400000.0,9763400000.0,3714300000.0,3714300000.0,45569700000.0,187780586.0,187780586.0,19.78,19.78,3714300000.0,3714300000.0,0.0,3714300000.0,-4203500000.0,7917800000.0,7917800000.0,2701700000.0,10619500000.0,889300000.0,9763400000.0,11474000000.0,11878500000.0,519000000.0,519000000.0,21237400000.0,34095700000.0,55333100000.0,55333100000.0,2023-06-30,,,,
0.0,0.27544,30832800000.0,4079000000.0,495000000.0,17511400000.0,30832800000.0,30337800000.0,4079000000.0,4079000000.0,15563400000.0,,,,,4079000000.0,4079000000.0,0.0,4079000000.0,-4928700000.0,9007700000.0,9007700000.0,3457300000.0,12551900000.0,-1338800000.0,35478400000.0,-1948000000.0,-16509700000.0,495000000.0,495000000.0,33530400000.0,17511400000.0,51041800000.0,51041800000.0,2023-03-31,,,,
,,,,,,,,,,,187721877.0,187721877.0,17.69,17.69,,,,,,,,,,,,,,,,,,,,2022-12-31,,,,
-1004500604.194728,0.256263,23621600000.0,5483600000.0,697500000.0,51190600000.0,19701800000.0,19004300000.0,8398899395.805272,5483600000.0,60775700000.0,187794521.0,187794521.0,29.2,29.2,5483600000.0,5483600000.0,0.0,5483600000.0,-6112000000.0,11595600000.0,11595600000.0,3995400000.0,15591000000.0,447200000.0,19004300000.0,9585100000.0,8887600000.0,697500000.0,697500000.0,28589400000.0,51190600000.0,79780000000.0,79780000000.0,2024-06-30 00:00:00,-3919800000.0,-3919800000.0,-5819500000.0,5819500000.0
