Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.253263,98268000.0,70878000.0,1390746000.0,98268000.0,98268000.0,-3351000.0,3351000.0,,70878000.0,70878000.0,1517899000.0,,,,,70878000.0,70878000.0,0.0,70878000.0,70878000.0,70878000.0,24039000.0,94917000.0,7734000.0,-3351000.0,3351000.0,,90534000.0,127153000.0,62166000.0,217687000.0,1390746000.0,1608433000.0,1608433000.0,2024-03-31
0.0,0.255625,90684000.0,64739000.0,1333742000.0,90684000.0,90684000.0,-3713000.0,3713000.0,,64739000.0,64739000.0,1463455000.0,50975591.0,50975591.0,1.27,1.27,64739000.0,64739000.0,0.0,64739000.0,64739000.0,64739000.0,22232000.0,86971000.0,4515000.0,-3713000.0,3713000.0,,86169000.0,129713000.0,60987000.0,215882000.0,1333742000.0,1549624000.0,1549624000.0,2023-12-31
0.0,0.253873,128375000.0,95311000.0,1368203000.0,128375000.0,128375000.0,-634000.0,634000.0,,95311000.0,95311000.0,1495695000.0,50968449.0,50968449.0,1.87,1.87,95311000.0,95311000.0,0.0,95311000.0,95311000.0,95311000.0,32430000.0,127741000.0,4259000.0,-634000.0,634000.0,,124116000.0,127492000.0,60668000.0,251608000.0,1368203000.0,1619811000.0,1619811000.0,2023-09-30
0.0,0.254536,55322000.0,46177000.0,1577853000.0,55322000.0,55322000.0,3775000.0,,3775000.0,46177000.0,46177000.0,1718365000.0,50743956.0,50743956.0,0.91,0.91,46177000.0,46177000.0,0.0,46177000.0,46177000.0,46177000.0,15767000.0,61944000.0,2847000.0,3775000.0,,3775000.0,55322000.0,140512000.0,65589000.0,195834000.0,1577853000.0,1773687000.0,1773687000.0,2023-06-30
0.0,0.249299,99704000.0,39613000.0,1661985000.0,99704000.0,99704000.0,-32999000.0,,929000.0,39613000.0,39613000.0,1740173000.0,,,,,39613000.0,39613000.0,0.0,39613000.0,39613000.0,39613000.0,13155000.0,52768000.0,-9248000.0,-32999000.0,,929000.0,76307000.0,78188000.0,-133565000.0,154495000.0,1661985000.0,1816480000.0,1816480000.0,2023-03-31
,,,,,,,,8764000.0,,,,,51132432.0,51132432.0,0.74,0.74,,,,,,,,,,,8764000.0,,,,,,,,,2022-12-31
0.0,0.253682,87227000.0,61931000.0,1440906000.0,87227000.0,87227000.0,-4245000.0,4245000.0,,61931000.0,61931000.0,1576987000.0,51182645.0,51182645.0,1.21,1.21,61931000.0,61931000.0,0.0,61931000.0,61931000.0,61931000.0,21051000.0,82982000.0,5103000.0,-4245000.0,4245000.0,,82124000.0,136081000.0,63974000.0,218205000.0,1440906000.0,1659111000.0,1659111000.0,2024-06-30 00:00:00
