Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Revenue,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Current Deferred Taxes Liabilities
,213365899.0,213365899.0,,1115800000.0,6222500000.0,6598000000.0,2017000000.0,6222500000.0,907100000.0,6389300000.0,6389300000.0,6389300000.0,6389300000.0,6175900000.0,,,213400000.0,213400000.0,8120600000.0,943300000.0,86500000.0,,648400000.0,648400000.0,0.0,208400000.0,7177300000.0,514500000.0,467400000.0,258700000.0,208700000.0,304600000.0,5440900000.0,,,1800000.0,5439100000.0,14509900000.0,5315600000.0,126100000.0,,301600000.0,176200000.0,176200000.0,166800000.0,166800000.0,4441900000.0,,4441900000.0,2225700000.0,2216200000.0,,,,,9194300000.0,339300000.0,0.0,,,3150600000.0,,,,,,17000000.0,4619600000.0,,,1067800000.0,410900000.0,656900000.0,,,2024-03-31,
0.0,213365899.0,213365899.0,67100000.0,1239100000.0,5964800000.0,6328600000.0,2352500000.0,5964800000.0,1063100000.0,6152600000.0,6152600000.0,6152600000.0,6152600000.0,5939200000.0,,,213400000.0,213400000.0,6134700000.0,1162300000.0,101400000.0,,865700000.0,865700000.0,0.0,195200000.0,4972400000.0,416500000.0,373400000.0,197400000.0,176000000.0,308500000.0,3484100000.0,,,,3484100000.0,12287300000.0,4962400000.0,285700000.0,,272300000.0,176800000.0,176800000.0,187800000.0,187800000.0,3722200000.0,,3722200000.0,1507400000.0,2214800000.0,,,,,7324900000.0,390200000.0,0.0,,,3466200000.0,,,,,,26100000.0,2958800000.0,,,483600000.0,374700000.0,108900000.0,,,2023-09-30,
,212785578.0,212785578.0,,972500000.0,5630500000.0,5947400000.0,2860100000.0,5630500000.0,871500000.0,5846400000.0,5846400000.0,5846400000.0,5846400000.0,51600000.0,2755700000.0,127500000.0,212800000.0,212800000.0,6799900000.0,964300000.0,111700000.0,111700000.0,667000000.0,667000000.0,0.0,185600000.0,5835600000.0,276300000.0,305500000.0,204500000.0,101000000.0,311400000.0,4824300000.0,288800000.0,5800000.0,,4529700000.0,12646300000.0,3950600000.0,170800000.0,358000000.0,254500000.0,148000000.0,148000000.0,215900000.0,215900000.0,2901700000.0,-2540300000.0,5442000000.0,827100000.0,19900000.0,2769300000.0,1696900000.0,128800000.0,0.0,8695700000.0,345700000.0,161200000.0,5800000.0,335600000.0,2846400000.0,7900000.0,1993600000.0,29800000.0,815100000.0,12100000.0,118600000.0,3559800000.0,-128600000.0,3688400000.0,1656200000.0,19800000.0,1636400000.0,1004500000.0,631900000.0,2023-03-31,
