Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.288618,173200000.0,122500000.0,251500000.0,173200000.0,173200000.0,-1000000.0,1000000.0,122500000.0,122500000.0,398600000.0,,,,,122500000.0,122500000.0,0.0,122500000.0,122500000.0,122500000.0,49700000.0,172200000.0,24600000.0,-1000000.0,1000000.0,148600000.0,147100000.0,85600000.0,295700000.0,251500000.0,547200000.0,547200000.0,2024-03-31
0.0,0.318644,89400000.0,60300000.0,205200000.0,89400000.0,89400000.0,-900000.0,900000.0,60300000.0,60300000.0,371100000.0,15188917.0,15188917.0,3.97,3.97,60300000.0,60300000.0,0.0,60300000.0,60300000.0,60300000.0,28200000.0,88500000.0,24800000.0,-900000.0,900000.0,64600000.0,165900000.0,118200000.0,230500000.0,205200000.0,435700000.0,435700000.0,2023-12-31
0.0,0.256511,127800000.0,94200000.0,187800000.0,127800000.0,127800000.0,-1100000.0,1100000.0,94200000.0,94200000.0,293500000.0,15193548.0,15193548.0,6.2,6.2,94200000.0,94200000.0,0.0,94200000.0,94200000.0,94200000.0,32500000.0,126700000.0,29400000.0,-1100000.0,1100000.0,98400000.0,105700000.0,76800000.0,204100000.0,187800000.0,391900000.0,391900000.0,2023-09-30
0.0,0.337714,77000000.0,50400000.0,153000000.0,77000000.0,77000000.0,-900000.0,900000.0,50400000.0,50400000.0,238300000.0,15226586.0,15226586.0,3.31,3.31,50400000.0,50400000.0,0.0,50400000.0,50400000.0,50400000.0,25700000.0,76100000.0,34100000.0,-900000.0,900000.0,42900000.0,85300000.0,64200000.0,128200000.0,153000000.0,281200000.0,281200000.0,2023-06-30
0.0,0.250228,73497000.0,53482000.0,138961000.0,73497000.0,73497000.0,23408000.0,2166000.0,53482000.0,53482000.0,218195000.0,,,,,53482000.0,53482000.0,0.0,53482000.0,53482000.0,53482000.0,17849000.0,71331000.0,-62322000.0,23408000.0,2166000.0,43639000.0,79234000.0,-6775000.0,122873000.0,138961000.0,261834000.0,261834000.0,2023-03-31
,,,,,,,,,,,,15189621.0,15189621.0,5.01,5.01,,,,,,,,,,,,,,,,,,,2022-12-31
0.0,0.255728,245300000.0,181900000.0,258000000.0,245300000.0,245300000.0,-900000.0,900000.0,181900000.0,181900000.0,412200000.0,15272880.0,15196324.0,11.91,11.97,181900000.0,181900000.0,0.0,181900000.0,181900000.0,181900000.0,62500000.0,244400000.0,22900000.0,-900000.0,900000.0,222400000.0,154200000.0,103400000.0,376600000.0,258000000.0,634600000.0,634600000.0,2024-06-30 00:00:00
