Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Investment Properties,Goodwill And Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Current Deferred Assets,Restricted Cash,Prepaid Assets,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Treasury Shares Number,Financial Assets Designatedas Fair Value Through Profitor Loss Total
86671656.0,86671656.0,429610000.0,72501780000.0,78588410000.0,63716060000.0,72501780000.0,429610000.0,78588410000.0,78588410000.0,78588410000.0,78588410000.0,78155050000.0,,,433360000.0,433360000.0,20769000000.0,7971230000.0,189030000.0,,3338500000.0,,2384500000.0,184860000.0,184860000.0,1853490000.0,12797770000.0,6397020000.0,244750000.0,244750000.0,,1758460000.0,1919040000.0,,,898730000.0,1020310000.0,99357410000.0,22843580000.0,1358100000.0,,,1863130000.0,639350000.0,102000000.0,6086630000.0,6086630000.0,1889620000.0,,1889620000.0,27580000.0,1862040000.0,,,,,76513830000.0,3336350000.0,,,,,279650000.0,13193070000.0,,,59704760000.0,24872180000.0,34832580000.0,,,2024-03-31,,
86602835.0,86602835.0,538100000.0,58876960000.0,64963590000.0,51590460000.0,58876960000.0,538100000.0,64963590000.0,64963590000.0,64963590000.0,64963590000.0,64530580000.0,,,433010000.0,433010000.0,17952300000.0,7608740000.0,93670000.0,,3269260000.0,,2235730000.0,254160000.0,254160000.0,1737120000.0,10343560000.0,5655790000.0,283940000.0,283940000.0,,1704850000.0,556110000.0,,,105020000.0,451090000.0,82915890000.0,20981870000.0,1346800000.0,,,1620410000.0,652690000.0,102000000.0,6086630000.0,6086630000.0,2108940000.0,,2108940000.0,4760000.0,2104180000.0,,,,,61934020000.0,3632490000.0,,,,,431060000.0,10637730000.0,,,47232740000.0,25773930000.0,21458810000.0,,21458810000.0,2023-09-30,,
86397179.0,86397179.0,694020000.0,68502440000.0,74589070000.0,60747470000.0,68502440000.0,694020000.0,74589070000.0,74589070000.0,74589070000.0,74589070000.0,2859000000.0,40462770000.0,17364610000.0,431990000.0,431990000.0,18166330000.0,7225010000.0,81680000.0,18480000.0,2948950000.0,81680000.0,2163100000.0,386620000.0,386620000.0,1626180000.0,10941320000.0,6244850000.0,307400000.0,307400000.0,2712810000.0,1655170000.0,1533220000.0,603310000.0,38050000.0,510720000.0,381140000.0,92755400000.0,21066610000.0,1319430000.0,634530000.0,99730000.0,1567740000.0,633980000.0,102000000.0,6086630000.0,6086630000.0,2285180000.0,-7618770000.0,9903950000.0,5690000.0,2290310000.0,4766860000.0,2404780000.0,436310000.0,0.0,71688790000.0,2540020000.0,72180000.0,1035410000.0,273390000.0,5138950000.0,673180000.0,10833730000.0,-375940000.0,11209670000.0,53661950000.0,33303210000.0,20358740000.0,228090000.0,20130650000.0,2023-03-31,,
