Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Investmentin Financial Assets,Available For Sale Securities,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
,,4325454000.0,4360706000.0,3005907000.0,7357618000.0,1162133000.0,3005907000.0,8995000.0,3005907000.0,4595561000.0,3005907000.0,3005907000.0,2387631000.0,,,618276000.0,618276000.0,5441308000.0,1876600000.0,,189764000.0,1598595000.0,8941000.0,1589654000.0,3779000.0,3564708000.0,171719000.0,,2762111000.0,54000.0,2762057000.0,,2097000.0,595967000.0,,,8904000.0,587063000.0,8447215000.0,3720374000.0,17709000.0,49519000.0,49519000.0,3653146000.0,,3653146000.0,430104000.0,3223042000.0,,,,,4726841000.0,542208000.0,,,1422612000.0,,,1421000.0,,2641418000.0,119182000.0,92925000.0,26257000.0,,2024-03-31
61827600.0,61827600.0,4369416000.0,4393866000.0,2914484000.0,7299593000.0,806877000.0,2914484000.0,8757000.0,2914484000.0,4358773000.0,2914484000.0,2914484000.0,2605346000.0,,,309138000.0,309138000.0,5097559000.0,1715835000.0,,176603000.0,1452997000.0,8708000.0,1444289000.0,2584000.0,3381724000.0,178719000.0,,2940869000.0,49000.0,2940820000.0,,693000.0,229365000.0,,,26959000.0,202406000.0,8012043000.0,3823442000.0,17709000.0,52142000.0,52142000.0,3753591000.0,,3753591000.0,320614000.0,3432977000.0,,,,,4188601000.0,333942000.0,,,1644794000.0,,,1579000.0,,2063601000.0,144685000.0,128992000.0,15693000.0,,2023-09-30
61827600.0,61827600.0,2763421000.0,2772678000.0,2618118000.0,5381753000.0,565294000.0,2618118000.0,9043000.0,2618118000.0,4062235000.0,2618118000.0,2618118000.0,2308980000.0,1604676000.0,705523000.0,309138000.0,309138000.0,3203616000.0,1646718000.0,2584000.0,109148000.0,1453111000.0,8994000.0,1444117000.0,2584000.0,1556898000.0,110756000.0,5016000.0,1319567000.0,49000.0,1319518000.0,13926000.0,693000.0,105682000.0,17220000.0,22000.0,5016000.0,88440000.0,5821734000.0,3699542000.0,32698000.0,50085000.0,50085000.0,3649457000.0,-925057000.0,4574514000.0,71963000.0,33438000.0,3472934000.0,687126000.0,309053000.0,0.0,2122192000.0,128487000.0,22000.0,59581000.0,1108977000.0,312209000.0,796768000.0,9223000.0,83004000.0,740802000.0,120583000.0,120369000.0,214000.0,214000.0,2023-03-31
