Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date,Total Unusual Items,Total Unusual Items Excluding Goodwill,Special Income Charges,Write Off
0.0,0.4,243180000.0,26570000.0,145650000.0,2045100000.0,243180000.0,97530000.0,-75230000.0,75230000.0,26570000.0,26570000.0,3149950000.0,,,,,26570000.0,26570000.0,0.0,26570000.0,26570000.0,26570000.0,-4270000.0,22300000.0,-4770000.0,-75230000.0,75230000.0,102300000.0,1104850000.0,558170000.0,145650000.0,145650000.0,1207150000.0,2045100000.0,3252250000.0,3252250000.0,2024-03-31,,,,
0.0,0.318709,286860000.0,67550000.0,128630000.0,2223700000.0,286860000.0,158230000.0,-59080000.0,59080000.0,67550000.0,67550000.0,3443600000.0,33112745.0,33112745.0,2.04,2.04,67550000.0,67550000.0,0.0,67550000.0,67550000.0,67550000.0,31600000.0,99150000.0,-14100000.0,-59080000.0,59080000.0,172330000.0,1219900000.0,628730000.0,128630000.0,128630000.0,1392230000.0,2223700000.0,3615930000.0,3615930000.0,2023-12-31,,,,
0.0,0.260097,402740000.0,165250000.0,115830000.0,2456480000.0,402740000.0,286910000.0,-63570000.0,63570000.0,165250000.0,165250000.0,3513980000.0,33050000.0,33050000.0,5.0,5.0,165250000.0,165250000.0,0.0,165250000.0,165250000.0,165250000.0,58090000.0,223340000.0,3220000.0,-63570000.0,63570000.0,283690000.0,1057500000.0,529030000.0,115830000.0,115830000.0,1341190000.0,2456480000.0,3797670000.0,3797670000.0,2023-09-30,,,,
0.0,0.246548,66170000.0,-60020000.0,94300000.0,2094560000.0,66170000.0,-28130000.0,-70290000.0,51530000.0,-60020000.0,-60020000.0,2537660000.0,,,,,-60020000.0,-60020000.0,0.0,-60020000.0,-60020000.0,-60020000.0,-19640000.0,-79660000.0,10030000.0,-70290000.0,51530000.0,-19400000.0,443100000.0,-755480000.0,94300000.0,84840000.0,423700000.0,2094560000.0,2518260000.0,2518260000.0,2023-03-31,,,,
0.0,0.234479,225090000.0,77930000.0,83330000.0,2159190000.0,225090000.0,141760000.0,-39960000.0,39960000.0,77930000.0,77930000.0,3074160000.0,33161702.0,32881857.0,2.35,2.37,77930000.0,77930000.0,0.0,77930000.0,77930000.0,77930000.0,23870000.0,101800000.0,-29340000.0,-39960000.0,39960000.0,171100000.0,914970000.0,444010000.0,83330000.0,83330000.0,1086070000.0,2159190000.0,3245260000.0,3245260000.0,2022-12-31,,,,
-1883527.043104,0.249474,334400000.0,82010000.0,150430000.0,1943190000.0,326850000.0,176420000.0,-67150000.0,67150000.0,87676472.956896,82010000.0,2970790000.0,33068548.0,33068548.0,2.48,2.48,82010000.0,82010000.0,0.0,82010000.0,82010000.0,82010000.0,27260000.0,109270000.0,10230000.0,-67150000.0,67150000.0,173740000.0,1027600000.0,457620000.0,150430000.0,150430000.0,1201340000.0,1943190000.0,3144530000.0,3144530000.0,2024-06-30 00:00:00,-7550000.0,-7550000.0,-7550000.0,7550000.0
-7787210.982659,0.259574,285890000.0,81980000.0,102730000.0,1878350000.0,255890000.0,153160000.0,-42440000.0,42440000.0,104192789.017341,81980000.0,2810500000.0,33056452.0,33056452.0,2.48,2.48,81980000.0,81980000.0,0.0,81980000.0,81980000.0,81980000.0,28740000.0,110720000.0,16210000.0,-42440000.0,42440000.0,166950000.0,932150000.0,440070000.0,102730000.0,102730000.0,1099100000.0,1878350000.0,2977450000.0,2977450000.0,2023-06-30 00:00:00,-30000000.0,-30000000.0,-30000000.0,30000000.0
