Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,General And Administrative Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.263259,62569000.0,29895000.0,15463000.0,188466000.0,62569000.0,47106000.0,-6530000.0,6530000.0,29895000.0,29895000.0,229844000.0,,,,,29895000.0,29895000.0,0.0,29895000.0,29895000.0,29895000.0,10682000.0,40576000.0,557000.0,-6530000.0,6530000.0,46549000.0,41378000.0,,15463000.0,15463000.0,16943000.0,16943000.0,87927000.0,188466000.0,276393000.0,276393000.0,2024-03-31
0.0,0.178535,39827000.0,15308000.0,14498000.0,46084000.0,39827000.0,25329000.0,-6694000.0,6694000.0,15308000.0,15308000.0,87869000.0,10827840.0,10827840.0,1.413763,1.413763,15308000.0,15308000.0,0.0,15308000.0,15308000.0,15308000.0,3327000.0,18635000.0,529000.0,-6694000.0,6694000.0,24801000.0,41785000.0,,14498000.0,14498000.0,18488000.0,18488000.0,66586000.0,46084000.0,112670000.0,112670000.0,2023-12-31
0.0,0.3,19958000.0,2954000.0,13829000.0,57658000.0,19958000.0,6129000.0,-5364000.0,5364000.0,2954000.0,2954000.0,89849000.0,11361538.0,11361538.0,0.26,0.26,2954000.0,2954000.0,0.0,2954000.0,2954000.0,2954000.0,-2189000.0,765000.0,831000.0,-5364000.0,5364000.0,5298000.0,32191000.0,,13829000.0,13829000.0,10789000.0,10789000.0,37489000.0,57658000.0,95147000.0,95147000.0,2023-09-30
0.0,0.277042,18317000.0,2239000.0,9388000.0,49207000.0,18317000.0,8929000.0,-5832000.0,5832000.0,2239000.0,2239000.0,77445000.0,9329167.0,9329167.0,0.24,0.24,2239000.0,2239000.0,0.0,2239000.0,2239000.0,2239000.0,858000.0,3097000.0,176000.0,-5832000.0,5832000.0,8753000.0,28238000.0,,9388000.0,9388000.0,10385000.0,10385000.0,36991000.0,49207000.0,86198000.0,86198000.0,2023-06-30
0.0,0.354675,38368000.0,16289000.0,10349000.0,152116000.0,38368000.0,28019000.0,-3843000.0,2779000.0,16289000.0,16289000.0,205350000.0,,,,,16289000.0,16289000.0,0.0,16289000.0,16289000.0,16289000.0,8952000.0,25240000.0,351000.0,-3843000.0,2779000.0,30776000.0,53234000.0,-21787000.0,10349000.0,10349000.0,,,84010000.0,152116000.0,236126000.0,236126000.0,2023-03-31
,,,,,,,,,,,,,11090909.0,11090909.0,0.22,0.22,,,,,,,,,,,,,,10369000.0,,,10369000.0,10369000.0,,,,,2022-12-31
0.0,0.085463,38872000.0,12061000.0,18914000.0,95362000.0,38872000.0,19958000.0,-6771000.0,6771000.0,12061000.0,12061000.0,130478000.0,32306250.0,32306250.0,0.373333,0.373333,12061000.0,12061000.0,0.0,12061000.0,12061000.0,12061000.0,1127000.0,13187000.0,525000.0,-6771000.0,6771000.0,19434000.0,35116000.0,,18914000.0,18914000.0,8764000.0,8764000.0,54550000.0,95362000.0,149912000.0,149912000.0,2024-06-30 00:00:00
