Treasury Shares Number,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Investment Properties,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
0.0,32090000.0,32090000.0,326000.0,2934098000.0,2934098000.0,1860684000.0,2934098000.0,326000.0,2934098000.0,2934098000.0,2934098000.0,,2934098000.0,2902008000.0,,,32090000.0,32090000.0,178548000.0,26081000.0,12225000.0,326000.0,326000.0,152467000.0,,,,21322000.0,48817000.0,,,12457000.0,36360000.0,3112646000.0,1099495000.0,100000.0,,45219000.0,45219000.0,798143000.0,198718000.0,,198718000.0,11252000.0,187466000.0,,,,,2013151000.0,57783000.0,,,223839000.0,,,,1198000.0,136079000.0,,,1594252000.0,396446000.0,1197806000.0,,,2024-03-31
,32090000.0,32090000.0,327000.0,2722239000.0,2722239000.0,1653819000.0,2722239000.0,327000.0,2722239000.0,2722239000.0,2722239000.0,,2722239000.0,2690149000.0,,,32090000.0,32090000.0,159277000.0,28772000.0,14915000.0,327000.0,327000.0,130505000.0,,,,20200000.0,45165000.0,,,17268000.0,27897000.0,2881516000.0,1097192000.0,,,43460000.0,43460000.0,798143000.0,197614000.0,,197614000.0,43436000.0,154178000.0,,,,,1784324000.0,55242000.0,,,389544000.0,,,,1080000.0,124004000.0,,,1214454000.0,234813000.0,979641000.0,,,2023-09-30
,32090000.0,32090000.0,327000.0,2550519000.0,2550519000.0,1507239000.0,2550519000.0,327000.0,2550519000.0,2550519000.0,2550519000.0,0.0,2550519000.0,139000.0,2297159000.0,2720000.0,32090000.0,32090000.0,202536000.0,26505000.0,14388000.0,327000.0,327000.0,176031000.0,0.0,0.0,0.0,19109000.0,148408000.0,89660000.0,2435000.0,22229000.0,34084000.0,2753055000.0,1069785000.0,,4622000.0,34491000.0,34491000.0,798143000.0,175842000.0,-159436000.0,335278000.0,11832000.0,164010000.0,210699000.0,110695000.0,2052000.0,0.0,1683270000.0,37452000.0,5715000.0,16197000.0,578846000.0,5766000.0,5042000.0,568038000.0,9402000.0,127912000.0,0.0,127912000.0,907746000.0,55276000.0,852470000.0,813051000.0,39419000.0,2023-03-31
