Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date,Treasury Shares Number
19609206.0,19609206.0,4934232000.0,4938947000.0,3498714000.0,8631818000.0,13326000.0,3498714000.0,0.0,3692871000.0,5682871000.0,3695177000.0,2306000.0,3692871000.0,3496779000.0,,,196092000.0,196092000.0,6054106000.0,2082518000.0,,,,67602000.0,1990000000.0,0.0,1990000000.0,4416000.0,3971588000.0,12831000.0,2948947000.0,,2948947000.0,,13595000.0,892777000.0,,,892777000.0,9749283000.0,5764369000.0,99679000.0,,17326000.0,17326000.0,,194157000.0,194157000.0,5315830000.0,,5315830000.0,1484655000.0,3831175000.0,,,,,3984914000.0,292068000.0,,,1958466000.0,,,,404000.0,1690040000.0,,,43936000.0,39221000.0,4715000.0,,2024-03-31,
19609206.0,19609206.0,4306440000.0,4313925000.0,3784929000.0,8263975000.0,-244326000.0,3784929000.0,0.0,3950050000.0,5200850000.0,3952174000.0,2124000.0,3950050000.0,,,,196092000.0,196092000.0,5142295000.0,1414898000.0,,,,139466000.0,1250800000.0,0.0,1250800000.0,4782000.0,3727397000.0,9571000.0,3063125000.0,,3063125000.0,,9384000.0,483805000.0,,,483805000.0,9094469000.0,5611398000.0,106972000.0,,16726000.0,16726000.0,,165121000.0,165121000.0,5191628000.0,,5191628000.0,1281677000.0,3909951000.0,,,,,3483071000.0,282172000.0,,,2138286000.0,,,,337000.0,1018107000.0,,,44169000.0,36684000.0,7485000.0,7485000.0,2023-09-30,
19605660.0,19605660.0,3407067000.0,3411801000.0,4034592000.0,7605433000.0,-273469000.0,4034592000.0,0.0,4193632000.0,4302257000.0,4195553000.0,1921000.0,4193632000.0,3580000.0,3261459000.0,607386000.0,196057000.0,196057000.0,5598589000.0,336595000.0,13493000.0,4782000.0,13492000.0,209696000.0,108625000.0,0.0,108625000.0,,5261994000.0,77000.0,3303176000.0,0.0,3303176000.0,3487000.0,7499000.0,1923581000.0,151266000.0,470000.0,1771845000.0,9794142000.0,4805617000.0,-2000.0,245470000.0,53000.0,33703000.0,53000.0,159040000.0,159040000.0,4291719000.0,-1635319000.0,5927038000.0,1123843000.0,172601000.0,3055436000.0,1263582000.0,311576000.0,0.0,4988525000.0,2000.0,16844000.0,465272000.0,2948477000.0,1012391000.0,615523000.0,1320563000.0,1728000.0,1549003000.0,-198000.0,1549201000.0,7199000.0,2465000.0,4734000.0,4734000.0,2023-03-31,
