Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
,243269580.0,243269580.0,103935000.0,175055000.0,1641191000.0,1756230000.0,1011940000.0,1641191000.0,60016000.0,1641191000.0,1641191000.0,1641191000.0,1641191000.0,60720000.0,1093902000.0,24000.0,486545000.0,486545000.0,517263000.0,66106000.0,1000.0,6089000.0,0.0,60016000.0,60016000.0,0.0,6089000.0,451157000.0,28922000.0,82433000.0,115039000.0,115039000.0,90007000.0,28922000.0,1604000.0,82433000.0,59481000.0,2158454000.0,695357000.0,0.0,2447000.0,0.0,27834000.0,665076000.0,-251915000.0,916991000.0,180043000.0,131399000.0,398626000.0,114722000.0,92201000.0,0.0,1463097000.0,221839000.0,93904000.0,222085000.0,460392000.0,-1000.0,191210000.0,269183000.0,6001000.0,0.0,641759000.0,0.0,641759000.0,38956000.0,27852000.0,11104000.0,11104000.0,2024-03-31
0.0,243269580.0,243269580.0,172595000.0,197807000.0,1299413000.0,1474793000.0,894602000.0,1299413000.0,22427000.0,1299413000.0,1299413000.0,1299413000.0,1299413000.0,1137227000.0,,,162186000.0,162186000.0,477407000.0,34808000.0,,,4681000.0,22427000.0,22427000.0,0.0,7700000.0,442599000.0,21813000.0,,175380000.0,175380000.0,126123000.0,,,93909000.0,32214000.0,1776820000.0,439619000.0,,,9271000.0,9271000.0,430348000.0,,430348000.0,116498000.0,313850000.0,,,,,1337201000.0,193542000.0,,,247624000.0,,,,3534000.0,38495000.0,787187000.0,,,66819000.0,64034000.0,2785000.0,,2023-09-30
,243269580.0,243269580.0,276576000.0,303442000.0,1074818000.0,1353852000.0,693066000.0,1074818000.0,24408000.0,1074818000.0,1074818000.0,1074818000.0,1074818000.0,912632000.0,912608000.0,24000.0,162186000.0,162186000.0,419896000.0,35289000.0,,6200000.0,4681000.0,24408000.0,24408000.0,0.0,6200000.0,384607000.0,22203000.0,17370000.0,279034000.0,279034000.0,54314000.0,22203000.0,1574000.0,17370000.0,30537000.0,1494714000.0,417041000.0,0.0,0.0,0.0,18969000.0,398072000.0,-189055000.0,587127000.0,86559000.0,93333000.0,205610000.0,109424000.0,92201000.0,0.0,1077673000.0,148649000.0,1574000.0,219290000.0,445987000.0,,183449000.0,262538000.0,1495000.0,0.0,398383000.0,0.0,398383000.0,10944000.0,8486000.0,2458000.0,2458000.0,2023-03-31
,243269580.0,243269580.0,115924000.0,172670000.0,1968524000.0,2085073000.0,1225235000.0,1968524000.0,56121000.0,1968524000.0,1968524000.0,1968524000.0,1968524000.0,1481979000.0,,,486545000.0,486545000.0,723312000.0,59710000.0,,,0.0,56121000.0,56121000.0,0.0,3589000.0,663602000.0,50736000.0,,116549000.0,116549000.0,279815000.0,,,204274000.0,75541000.0,2691836000.0,802999000.0,,2447000.0,12477000.0,12477000.0,788075000.0,,788075000.0,253737000.0,534338000.0,,,,,1888837000.0,267203000.0,,,597468000.0,,,,5874000.0,3805000.0,929106000.0,,,85381000.0,84756000.0,625000.0,,2024-09-30 00:00:00
