Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Research And Development,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.397825,232800000.0,,,105200000.0,59100000.0,1200400000.0,232800000.0,173700000.0,1000000.0,-1000000.0,105200000.0,105200000.0,1817000000.0,,,,,105200000.0,105200000.0,0.0,105200000.0,105200000.0,105200000.0,69500000.0,174700000.0,39200000.0,,1000000.0,-1000000.0,134600000.0,616600000.0,59100000.0,59100000.0,47800000.0,312700000.0,,312700000.0,751200000.0,1200400000.0,1951600000.0,1951600000.0,2024-03-31
0.0,0.119537,143900000.0,,,68500000.0,65400000.0,891900000.0,143900000.0,78500000.0,-700000.0,700000.0,68500000.0,68500000.0,1379200000.0,13352827.0,13352827.0,5.13,5.13,68500000.0,68500000.0,0.0,68500000.0,68500000.0,68500000.0,9300000.0,77800000.0,23500000.0,,-700000.0,700000.0,55000000.0,487300000.0,65400000.0,65400000.0,27200000.0,221200000.0,,221200000.0,542300000.0,891900000.0,1434200000.0,1434200000.0,2023-12-31
0.0,0.306834,208400000.0,,,99400000.0,64400000.0,975200000.0,208400000.0,144000000.0,-600000.0,600000.0,99400000.0,99400000.0,1563700000.0,13360215.0,13360215.0,7.44,7.44,99400000.0,99400000.0,0.0,99400000.0,99400000.0,99400000.0,44000000.0,143400000.0,30500000.0,,-600000.0,600000.0,113500000.0,588500000.0,64400000.0,64400000.0,44200000.0,294800000.0,294800000.0,294800000.0,702000000.0,975200000.0,1677200000.0,1677200000.0,2023-09-30
0.0,0.3,126600000.0,,,11800000.0,75500000.0,479400000.0,126600000.0,51100000.0,-600000.0,600000.0,11800000.0,11800000.0,923000000.0,13409091.0,13409091.0,0.88,0.88,11800000.0,11800000.0,0.0,11800000.0,11800000.0,11800000.0,38700000.0,50500000.0,22600000.0,,-600000.0,600000.0,28500000.0,443600000.0,75500000.0,75500000.0,39300000.0,169400000.0,169400000.0,169400000.0,472100000.0,479400000.0,951500000.0,951500000.0,2023-06-30
0.0,0.3,277162000.0,,,110558000.0,82878000.0,1013416000.0,277162000.0,194284000.0,20587000.0,-3020000.0,110558000.0,110558000.0,1371866000.0,,,,,110558000.0,110558000.0,0.0,110558000.0,110558000.0,110558000.0,86746000.0,197304000.0,-59415000.0,,20587000.0,-3020000.0,163231000.0,358450000.0,82878000.0,-4760000.0,47646000.0,85753000.0,-29801000.0,-437546000.0,521681000.0,1013416000.0,1535097000.0,1535097000.0,2023-03-31
,,,0.0,0.0,,,,,,,,,,,13373984.0,13373984.0,2.46,2.46,,,,,,,,,,0.0,,,,,,,,,172100000.0,,,,,,2022-12-31
0.0,0.3,128500000.0,,,12200000.0,59800000.0,576300000.0,128500000.0,68700000.0,-200000.0,200000.0,12200000.0,12200000.0,1033300000.0,13260870.0,13260870.0,0.32,0.92,12200000.0,12200000.0,0.0,12200000.0,12200000.0,12200000.0,56300000.0,68500000.0,15900000.0,,-200000.0,200000.0,52800000.0,457000000.0,59800000.0,59800000.0,45800000.0,169300000.0,,169300000.0,509800000.0,576300000.0,1086100000.0,1086100000.0,2024-06-30 00:00:00
