Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Write Off,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
-1784000.0,0.4,484720000.0,230000.0,-4460000.0,412090000.0,61080000.0,5627480000.0,484950000.0,423870000.0,-78030000.0,78030000.0,419456000.0,412090000.0,6800000000.0,,,,,412090000.0,412090000.0,0.0,412090000.0,-450000.0,412540000.0,412540000.0,-66700000.0,345840000.0,283750000.0,-4460000.0,-230000.0,-78030000.0,78030000.0,143630000.0,1172520000.0,747950000.0,61080000.0,61080000.0,1316150000.0,5627480000.0,6943630000.0,6943630000.0,2024-03-31
-330000.0,0.3,129220000.0,-160000.0,-1100000.0,21310000.0,55170000.0,2182030000.0,129060000.0,73890000.0,-53400000.0,53400000.0,23020000.0,21310000.0,2942510000.0,142066667.0,142066667.0,0.15,0.15,21310000.0,21310000.0,0.0,21310000.0,-480000.0,21790000.0,21790000.0,-1300000.0,20490000.0,199450000.0,-1100000.0,160000.0,-53400000.0,53400000.0,-124460000.0,760480000.0,408270000.0,55170000.0,55170000.0,636020000.0,2182030000.0,2818050000.0,2818050000.0,2023-12-31
-1293154.294401,0.158475,-74800000.0,-3790000.0,-8160000.0,-199360000.0,51450000.0,699240000.0,-78590000.0,-130040000.0,-106780000.0,106780000.0,-188123154.294401,-199360000.0,1333530000.0,125383648.0,125383648.0,-1.59,-1.59,-199360000.0,-199360000.0,0.0,-199360000.0,70000.0,-199290000.0,-199290000.0,-37530000.0,-236820000.0,226380000.0,-8160000.0,3790000.0,-106780000.0,106780000.0,-348260000.0,634290000.0,340710000.0,51450000.0,51450000.0,286030000.0,699240000.0,985270000.0,985270000.0,2023-09-30
-11205000.0,0.3,311920000.0,21330000.0,-37350000.0,76090000.0,54550000.0,5774180000.0,333250000.0,278700000.0,164380000.0,59470000.0,160915000.0,76090000.0,6678810000.0,,,,,76090000.0,76090000.0,0.0,76090000.0,-370000.0,76460000.0,76460000.0,142770000.0,219230000.0,-260490000.0,-49770000.0,5590000.0,164380000.0,59470000.0,367640000.0,904630000.0,40120000.0,54550000.0,54550000.0,1272270000.0,5774180000.0,7046450000.0,7046450000.0,2023-03-31
-17799000.0,0.3,16060000.0,-55100000.0,-59330000.0,-449620000.0,60120000.0,1378790000.0,-39040000.0,-99160000.0,-179420000.0,179420000.0,-403859000.0,-449620000.0,1957690000.0,140510691.0,140510691.0,-3.199899,-3.199899,-449620000.0,-449620000.0,0.0,-449620000.0,-670000.0,-448950000.0,-448950000.0,170370000.0,-278580000.0,86270000.0,-4230000.0,0.0,-179420000.0,179420000.0,-126100000.0,578900000.0,296320000.0,60120000.0,60120000.0,452800000.0,1378790000.0,1831590000.0,1831590000.0,2022-12-31
-657000.0,0.3,260390000.0,-1470000.0,-2190000.0,67650000.0,51690000.0,3109840000.0,258920000.0,207230000.0,-74500000.0,74500000.0,69903000.0,67650000.0,4070410000.0,140937500.0,140937500.0,0.48,0.48,67650000.0,67650000.0,0.0,67650000.0,-310000.0,67960000.0,67960000.0,64770000.0,132730000.0,273690000.0,-2190000.0,1470000.0,-74500000.0,74500000.0,-64270000.0,960570000.0,586170000.0,51690000.0,51690000.0,896300000.0,3109840000.0,4006140000.0,4006140000.0,2024-06-30 00:00:00
-753692.525348,0.153502,27080000.0,0.0,-4910000.0,-72210000.0,48470000.0,1209490000.0,27080000.0,-21390000.0,-63430000.0,63430000.0,-63143692.525348,-72210000.0,1805500000.0,140510691.0,140510691.0,-0.513911,-0.513911,-72210000.0,-72210000.0,0.0,-72210000.0,-410000.0,-71800000.0,-71800000.0,-13020000.0,-84820000.0,130430000.0,-4910000.0,0.0,-63430000.0,63430000.0,-146910000.0,596010000.0,279970000.0,48470000.0,48470000.0,449100000.0,1209490000.0,1658590000.0,1658590000.0,2023-06-30 00:00:00
