Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
1589783.281734,0.244582,134500000.0,6500000.0,6500000.0,53200000.0,44300000.0,1181500000.0,141000000.0,96700000.0,-21500000.0,32100000.0,,48289783.281734,53200000.0,1459600000.0,,,,,53200000.0,53200000.0,0.0,53200000.0,4400000.0,48800000.0,48800000.0,15800000.0,64600000.0,-42500000.0,0.0,-21500000.0,32100000.0,,122100000.0,278100000.0,102000000.0,44300000.0,44300000.0,400200000.0,1181500000.0,1581700000.0,1581700000.0,2024-03-31
0.0,0.330838,144500000.0,0.0,0.0,50800000.0,45700000.0,1110000000.0,144500000.0,98800000.0,-32000000.0,32000000.0,,50800000.0,50800000.0,1386400000.0,32151899.0,32151899.0,1.58,1.58,50800000.0,50800000.0,0.0,50800000.0,6100000.0,44700000.0,44700000.0,22100000.0,66800000.0,-28500000.0,0.0,-32000000.0,32000000.0,,127300000.0,276400000.0,109100000.0,45700000.0,45700000.0,403700000.0,1110000000.0,1513700000.0,1513700000.0,2023-12-31
0.0,0.273191,173400000.0,0.0,0.0,76100000.0,45700000.0,1046600000.0,173400000.0,127700000.0,-29600000.0,29600000.0,,76100000.0,76100000.0,1313900000.0,27875458.0,27875458.0,2.73,2.73,76100000.0,76100000.0,0.0,76100000.0,4800000.0,71300000.0,71300000.0,26800000.0,98100000.0,-69500000.0,0.0,-29600000.0,29600000.0,,197200000.0,267300000.0,94700000.0,45700000.0,45700000.0,464500000.0,1046600000.0,1511100000.0,1511100000.0,2023-09-30
69362.745098,0.231209,-38900000.0,300000.0,300000.0,-90300000.0,45000000.0,384100000.0,-38600000.0,-83600000.0,-36900000.0,38800000.0,1900000.0,-90530637.254902,-90300000.0,627200000.0,21706731.0,21706731.0,-4.16,-4.16,-90300000.0,-90300000.0,0.0,-90300000.0,3800000.0,-94100000.0,-94100000.0,-28300000.0,-122400000.0,-34700000.0,0.0,-36900000.0,38800000.0,1900000.0,-51100000.0,243100000.0,83900000.0,45000000.0,45000000.0,192000000.0,384100000.0,576100000.0,576100000.0,2023-06-30
0.0,0.390511,114200000.0,,,38400000.0,44300000.0,1067600000.0,114200000.0,69900000.0,-38000000.0,15100000.0,,38400000.0,38400000.0,1340000000.0,,,,,38400000.0,38400000.0,0.0,38400000.0,5000000.0,33400000.0,33400000.0,21400000.0,54800000.0,88300000.0,,-38000000.0,15100000.0,,147000000.0,272400000.0,23100000.0,44300000.0,43000000.0,419400000.0,1067600000.0,1487000000.0,1487000000.0,2023-03-31
,,,0.0,0.0,,,,,,,,,,,,22000000.0,22000000.0,1.75,1.75,,,,,,,,,,,0.0,,,,,,,,,,,,,2022-12-31
450000.0,0.3,80400000.0,1500000.0,1500000.0,13200000.0,45000000.0,926500000.0,81900000.0,36900000.0,-18500000.0,23400000.0,4900000.0,12150000.0,13200000.0,1295200000.0,27751280.0,27751280.0,0.27,0.27,13200000.0,13200000.0,0.0,13200000.0,5600000.0,7600000.0,7600000.0,5900000.0,13500000.0,,0.0,-18500000.0,23400000.0,4900000.0,30500000.0,368700000.0,172500000.0,45000000.0,45000000.0,399200000.0,926500000.0,1325700000.0,1325700000.0,2024-06-30 00:00:00
